Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1365878215,BrandonAdams (13/18),0,373.25,PG James Harden G Ben Simmons SG Donovan Mitchell UTIL Eric Bledsoe F Jae Crowder PF Ersan Ilyasova SF Royce O'Neale C Mike Muscala,,Ben Simmons,G,52.44%,67
2,1364993705,youdacao (35/77),0,368.25,G James Harden SF Ben Simmons SG Khris Middleton PG Eric Bledsoe UTIL Joe Ingles C Ersan Ilyasova F Royce O'Neale PF Mike Muscala,,Mike Muscala,PF,51.74%,27.75
2,1365292489,ragingphilip (3/77),0,368.25,UTIL James Harden SF Ben Simmons G Bradley Beal SG Eric Bledsoe PG T.J. McConnell F Maxi Kleber C Ersan Ilyasova PF Mike Muscala,,Ersan Ilyasova,F,45.27%,25.25
2,1365343936,mazwa (8/77),0,368.25,G James Harden PG Ben Simmons SF Khris Middleton SG Eric Bledsoe UTIL Joe Ingles C Ersan Ilyasova F Royce O'Neale PF Mike Muscala,,Khris Middleton,SF,40.24%,41.5
2,1365929318,EmpireMaker2 (2/2),0,368.25,UTIL James Harden SF Ben Simmons SG Khris Middleton PG Eric Bledsoe G Joe Ingles PF Ersan Ilyasova F Royce O'Neale C Mike Muscala,,Malcolm Brogdon,SG,36.25%,35
6,1365591793,jeffylube,0,368,PG James Harden SF Ben Simmons G Donovan Mitchell SG Jimmy Butler C Ersan Ilyasova F Royce O'Neale PF Mike Muscala UTIL Jordan Bell,,Jimmy Butler,G,36.02%,46.5
7,1365707127,Crys8U,0,367.5,G James Harden SF Ben Simmons PG Donovan Mitchell C Brook Lopez SG Kevin Huerter PF Jae Crowder F Ersan Ilyasova UTIL Mike Muscala,,James Harden,PG,34.59%,88
8,1364993695,youdacao (25/77),0,365.25,UTIL James Harden G Ben Simmons SF Khris Middleton SG Eric Bledsoe PG Malcolm Brogdon C Ersan Ilyasova F Royce O'Neale PF Mike Muscala,,Donovan Mitchell,G,33.27%,58
8,1365080202,gosixersgo76 (3/4),0,365.25,G James Harden SF Ben Simmons F Khris Middleton SG Eric Bledsoe PG Malcolm Brogdon C Ersan Ilyasova UTIL Royce O'Neale PF Mike Muscala,,Eric Bledsoe,SG,30.52%,48
8,1365211647,TomsDogs,0,365.25,SG James Harden SF Ben Simmons UTIL Khris Middleton PG Eric Bledsoe G Malcolm Brogdon PF Ersan Ilyasova F Royce O'Neale C Mike Muscala,,Joe Ingles,SG,28.93%,38
8,1365402271,Rigby,0,365.25,G James Harden SF Ben Simmons UTIL Khris Middleton PG Eric Bledsoe SG Malcolm Brogdon C Ersan Ilyasova F Royce O'Neale PF Mike Muscala,,Domantas Sabonis,F,28.00%,46.75
8,1365521141,Mangone,0,365.25,UTIL James Harden SF Ben Simmons SG Khris Middleton PG Eric Bledsoe G Malcolm Brogdon PF Ersan Ilyasova F Royce O'Neale C Mike Muscala,,Luke Kornet,C,26.53%,12.75
