Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1365842991,BrandonAdams (10/18),0,373.25,PG James Harden G Ben Simmons SG Donovan Mitchell UTIL Eric Bledsoe F Jae Crowder PF Ersan Ilyasova SF Royce O'Neale C Mike Muscala,,Mike Muscala,PF,63.13%,27.75
2,1365919888,EmpireMaker2 (2/2),0,368.25,UTIL James Harden SF Ben Simmons SG Khris Middleton PG Eric Bledsoe G Joe Ingles PF Ersan Ilyasova F Royce O'Neale C Mike Muscala,,Ben Simmons,G,61.95%,67
3,1365080198,gosixersgo76 (2/2),0,365.25,G James Harden SF Ben Simmons F Khris Middleton SG Eric Bledsoe PG Malcolm Brogdon C Ersan Ilyasova UTIL Royce O'Neale PF Mike Muscala,,Ersan Ilyasova,PF,53.20%,25.25
3,1365702908,MommysMoney420,0,365.25,SG James Harden SF Ben Simmons UTIL Khris Middleton PG Eric Bledsoe G Malcolm Brogdon PF Ersan Ilyasova F Royce O'Neale C Mike Muscala,,Khris Middleton,SG,45.12%,41.5
5,1365747445,squirrelpatroldk (1/10),0,365,UTIL James Harden G Ben Simmons SG Khris Middleton PG Eric Bledsoe SF Trevor Ariza C Ersan Ilyasova F Royce O'Neale PF Mike Muscala,,Jimmy Butler,SF,43.43%,46.5
6,1365285831,ChipotleAddict (11/18),0,362.75,SG James Harden SF Ben Simmons G Donovan Mitchell PG Eric Bledsoe UTIL Jae Crowder F Maxi Kleber C Ersan Ilyasova PF Mike Muscala,,Malcolm Brogdon,SG,38.89%,35
6,1365842992,BrandonAdams (11/18),0,362.75,PG James Harden G Ben Simmons SG Donovan Mitchell UTIL Eric Bledsoe SF Jae Crowder F Maxi Kleber PF Ersan Ilyasova C Mike Muscala,,James Harden,PG,38.22%,88
8,1365839726,EmileHeskey (11/18),0,362,PG Ben Simmons G Bradley Beal UTIL Donovan Mitchell SF Khris Middleton SG Eric Bledsoe C Brook Lopez PF Ersan Ilyasova F Royce O'Neale,,Donovan Mitchell,G,34.68%,58
9,1365296505,Ebonwraith,0,360.5,PG James Harden SF Ben Simmons G Eric Bledsoe SG Malcolm Brogdon UTIL Joe Ingles PF Jae Crowder C Ersan Ilyasova F Royce O'Neale,,Eric Bledsoe,SG,33.33%,48
10,1365940700,bigbrownbass,0,359.75,PG James Harden SG Bradley Beal SF Luka Doncic PF Thaddeus Young G Kevin Huerter C Maxi Kleber F Ersan Ilyasova UTIL Mike Muscala,,Joe Ingles,G,31.31%,38
