Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1365573899,mdeak311,0,357,SG James Harden SF Ben Simmons G Jimmy Butler PG Malcolm Brogdon UTIL Tomas Satoransky PF Ersan Ilyasova F Jonah Bolden C Mike Muscala,,Mike Muscala,C,80.00%,27.75
2,1365525523,cmason,0,355.25,G James Harden F Ben Simmons SF Khris Middleton PG Malcolm Brogdon UTIL Joe Ingles SG T.J. McConnell PF Ersan Ilyasova C Mike Muscala,,Ben Simmons,SF,71.43%,67
3,1364973662,ChipotleAddict,0,351.25,SG James Harden SF Ben Simmons UTIL Rudy Gobert G Joe Ingles F Jae Crowder PG T.J. McConnell C Ersan Ilyasova PF Mike Muscala,,Ersan Ilyasova,C,65.71%,25.25
4,1365524499,jeffy1019,0,349.5,SG James Harden PG Ben Simmons G Donovan Mitchell SF Joe Ingles PF Luke Kornet C Ersan Ilyasova UTIL Royce O'Neale F Mike Muscala,,Malcolm Brogdon,PG,60.00%,35
5,1365054352,jdibiase7,0,349,F Ben Simmons UTIL Donovan Mitchell G Jimmy Butler SF Khris Middleton PG Eric Bledsoe SG Malcolm Brogdon C Ersan Ilyasova PF Mike Muscala,,James Harden,G,54.29%,88
6,1365021935,hoop2410,0,348,UTIL James Harden SF Ben Simmons SG Jimmy Butler PG Eric Bledsoe F Luke Kornet G T.J. McConnell PF Ersan Ilyasova C Mike Muscala,,Khris Middleton,SG,51.43%,41.5
6,1365413180,EmileHeskey,0,348,G James Harden PG Ben Simmons SF Jimmy Butler SG Eric Bledsoe F Luke Kornet PF Ersan Ilyasova UTIL Royce O'Neale C Mike Muscala,,Joe Ingles,UTIL,48.57%,38
8,1365212933,theheaters,0,344.75,G James Harden SF Ben Simmons SG Khris Middleton PG Malcolm Brogdon UTIL Joe Ingles F Maxi Kleber PF Ersan Ilyasova C Mike Muscala,,Eric Bledsoe,SG,45.71%,48
9,1365535454,scott30346,0,344.25,PG Ben Simmons G Donovan Mitchell C Domantas Sabonis SG Jimmy Butler SF Khris Middleton UTIL Jae Crowder PF Ersan Ilyasova F Royce O'Neale,,Donovan Mitchell,UTIL,45.71%,58
10,1365305914,thechovanone,0,343.75,PG James Harden SG Donovan Mitchell SF Khris Middleton UTIL Eric Bledsoe G Malcolm Brogdon C Luke Kornet F Royce O'Neale PF Mike Muscala,,Jimmy Butler,SG,45.71%,46.5
11,1365052760,jjones576,0,341.75,G James Harden SF Ben Simmons PG Eric Bledsoe SG Malcolm Brogdon UTIL Joe Ingles F Luke Kornet PF Ersan Ilyasova C Mike Muscala,,Luke Kornet,F,42.86%,12.75
12,1365192580,curry_burrito,0,340,PG Ben Simmons C Rudy Gobert SG Jimmy Butler SF Khris Middleton G Eric Bledsoe UTIL Joe Ingles PF Ersan Ilyasova F Mike Muscala,,Jonah Bolden,PF,22.86%,13
13,1365577676,kfalik,0,337.25,G Ben Simmons UTIL Donovan Mitchell SG Jimmy Butler SF Khris Middleton PG Eric Bledsoe F Joe Ingles C Ersan Ilyasova PF Jonah Bolden,,Rudy Gobert,UTIL,17.14%,46
14,1365178908,craftylefty,0,335.5,G James Harden PG Ben Simmons SF Khris Middleton SG Malcolm Brogdon UTIL Joe Ingles PF Ersan Ilyasova F Jonah Bolden C Mike Muscala,,T.J. McConnell,PG,17.14%,32.75
15,1365179583,btjordan23,0,334,PG Ben Simmons UTIL Rudy Gobert G Donovan Mitchell SF Khris Middleton SG Malcolm Brogdon F Thaddeus Young PF Ersan Ilyasova C Mike Muscala,,Clint Capela,UTIL,14.29%,32.5
16,1365597038,EmpireMaker2,0,330.5,F Ben Simmons SF Jimmy Butler G Khris Middleton PG Eric Bledsoe PF Otto Porter Jr. SG Malcolm Brogdon UTIL Joe Ingles C Mike Muscala,,Domantas Sabonis,F,14.29%,46.75
17,1364933748,Makisupa,0,329.5,G James Harden SF Ben Simmons SG Eric Bledsoe PG Malcolm Brogdon UTIL Joe Ingles F Luke Kornet PF Jonah Bolden C Mike Muscala,,Royce O'Neale,SF,14.29%,32.75
17,1365448631,TeeJayOrTj,0,329.5,G James Harden SF Ben Simmons PG Eric Bledsoe SG Malcolm Brogdon UTIL Joe Ingles F Luke Kornet PF Jonah Bolden C Mike Muscala,,Otto Porter Jr.,UTIL,11.43%,26.75
19,1365265845,Kcannon,0,328.25,G James Harden SF Ben Simmons SG Jimmy Butler PG Eric Bledsoe UTIL Luke Kornet PF Ersan Ilyasova F Jonah Bolden C Mike Muscala,,Jae Crowder,F,8.57%,26.5
20,1365012421,youdacao,0,326.25,G James Harden UTIL Donovan Mitchell SG Khris Middleton PG Malcolm Brogdon SF Joe Ingles F Luke Kornet C Ersan Ilyasova PF Mike Muscala,,John Collins,PF,5.71%,41.25
20,1365152267,madoublet98,0,326.25,G James Harden UTIL Donovan Mitchell SG Khris Middleton PG Malcolm Brogdon SF Joe Ingles F Luke Kornet C Ersan Ilyasova PF Mike Muscala,,Thaddeus Young,F,5.71%,33.5
22,1365131642,pianoclub,0,325,PG Ben Simmons G Donovan Mitchell C Clint Capela SF Jimmy Butler SG Khris Middleton UTIL Jae Crowder PF Ersan Ilyasova F Mike Muscala,,Bradley Beal,G,2.86%,57.25
22,1365143591,MarkTolb14,0,325,SF Ben Simmons UTIL Rudy Gobert PF John Collins F Serge Ibaka PG Eric Bledsoe SG Malcolm Brogdon G T.J. McConnell C Mike Muscala,,Noah Vonleh,PF,2.86%,20.75
24,1365466177,wilson1,0,323.75,PG Ben Simmons UTIL Donovan Mitchell F Domantas Sabonis SG Jimmy Butler SF Otto Porter Jr. G Joe Ingles PF Jonah Bolden C Mike Muscala,,Serge Ibaka,F,2.86%,27.25
25,1365667735,wschunn6,0,322,PG Donovan Mitchell UTIL John Collins F Domantas Sabonis SG Jimmy Butler SF Khris Middleton G Malcolm Brogdon C Ersan Ilyasova PF Mike Muscala,,Jusuf Nurkic,C,2.86%,51.75
26,1365067330,jonboy1171,0,321.25,G James Harden PG Ben Simmons SG Eric Bledsoe SF Otto Porter Jr. UTIL Joe Ingles F Luke Kornet PF Jonah Bolden C Mike Muscala,,Pascal Siakam,PF,2.86%,28
27,1365025723,aboveandbeyond,0,315.5,UTIL Rudy Gobert G Donovan Mitchell F Jimmy Butler SF Khris Middleton SG Eric Bledsoe PG Malcolm Brogdon C Luke Kornet PF Mike Muscala,,CJ McCollum,G,2.86%,44.5
27,1365055945,MakeItRain84,0,315.5,UTIL Rudy Gobert G Donovan Mitchell F Jimmy Butler SF Khris Middleton SG Eric Bledsoe PG Malcolm Brogdon C Luke Kornet PF Mike Muscala,,Derrick Favors,F,2.86%,36.25
29,1365079455,moklovin,0,313.5,SG James Harden UTIL Clint Capela F Domantas Sabonis PG Malcolm Brogdon G Joe Ingles C Luke Kornet SF Royce O'Neale PF Mike Muscala,,Seth Curry,PG,2.86%,8.75
30,1365351172,drbaldy,0,313.25,PG Donovan Mitchell UTIL Clint Capela F Domantas Sabonis SG Jimmy Butler SF Khris Middleton G Malcolm Brogdon C Ersan Ilyasova PF Mike Muscala,,Allonzo Trier,UTIL,2.86%,10.75
31,1365501820,CMP7,0,307.5,SF Ben Simmons PG Donovan Mitchell C Clint Capela G Malcolm Brogdon SG Joe Ingles F Thaddeus Young UTIL Marvin Williams PF Ersan Ilyasova,,Maxi Kleber,F,2.86%,22.25
32,1365183880,madmaxxh0h0,0,305,SF Ben Simmons C Jusuf Nurkic SG Donovan Mitchell PF Pascal Siakam G CJ McCollum F Derrick Favors PG Seth Curry UTIL Allonzo Trier,,Marvin Williams,UTIL,2.86%,18.25
33,1365038258,LeftyGunslingers,0,301,G Bradley Beal F Jimmy Butler SF Khris Middleton PG Eric Bledsoe UTIL Otto Porter Jr. PF Noah Vonleh SG Malcolm Brogdon C Ersan Ilyasova,,Stephen Curry,G,2.86%,48.25
34,1365698585,kresean3,0,286,PG James Harden SF Ben Simmons SG Klay Thompson PF Lauri Markkanen F Luke Kornet UTIL Ian Mahinmi G T.J. McConnell C Ersan Ilyasova,,Nicolas Batum,SF,2.86%,16.75
35,1365561554,maw7079,0,285.5,SG James Harden G Stephen Curry C Clint Capela SF Nicolas Batum PF Bobby Portis PG T.J. McConnell F Jonas Jerebko UTIL Quinn Cook,,Bobby Portis,PF,2.86%,24
,,,,,,,Jonas Jerebko,F,2.86%,16
,,,,,,,Quinn Cook,UTIL,2.86%,27.25
,,,,,,,Tomas Satoransky,UTIL,2.86%,54.5
,,,,,,,Klay Thompson,SG,2.86%,41.5
,,,,,,,Lauri Markkanen,PF,2.86%,15.5
,,,,,,,Ian Mahinmi,UTIL,2.86%,3.25
