Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Maxi Kleber (11917336),Maxi Kleber,11917336,UTIL,3400,LAL@DAL 01/07/2019 08:30PM ET,DAL,15.52
SG/SF,Ryan Broekhoff (11917337),Ryan Broekhoff,11917337,UTIL,2800,LAL@DAL 01/07/2019 08:30PM ET,DAL,4.92
SF/PF,Dorian Finney-Smith (11917373),Dorian Finney-Smith,11917373,CPT,2700,LAL@DAL 01/07/2019 08:30PM ET,DAL,16.85
SF/PF,Michael Beasley (11917338),Michael Beasley,11917338,UTIL,2400,LAL@DAL 01/07/2019 08:30PM ET,LAL,8.35
C,Tyson Chandler (11917375),Tyson Chandler,11917375,CPT,2100,LAL@DAL 01/07/2019 08:30PM ET,LAL,15.10
SF/PF,Dorian Finney-Smith (11917339),Dorian Finney-Smith,11917339,UTIL,1800,LAL@DAL 01/07/2019 08:30PM ET,DAL,16.85
PG/SG,Devin Harris (11917374),Devin Harris,11917374,CPT,1500,LAL@DAL 01/07/2019 08:30PM ET,DAL,12.77
PF/C,Dirk Nowitzki (11917376),Dirk Nowitzki,11917376,CPT,1500,LAL@DAL 01/07/2019 08:30PM ET,DAL,6.82
PF/C,Johnathan Williams (11917377),Johnathan Williams,11917377,CPT,1500,LAL@DAL 01/07/2019 08:30PM ET,LAL,9.18
PG/SG,Alex Caruso (11917378),Alex Caruso,11917378,CPT,1500,LAL@DAL 01/07/2019 08:30PM ET,LAL,0.62
SG/SF,Svi Mykhailiuk (11917379),Svi Mykhailiuk,11917379,CPT,1500,LAL@DAL 01/07/2019 08:30PM ET,LAL,6.02
PG/SF,Isaac Bonga (11917380),Isaac Bonga,11917380,CPT,1500,LAL@DAL 01/07/2019 08:30PM ET,LAL,3.67
PF/C,Moritz Wagner (11917381),Moritz Wagner,11917381,CPT,1500,LAL@DAL 01/07/2019 08:30PM ET,LAL,7.07
C,Salah Mejri (11917382),Salah Mejri,11917382,CPT,1500,LAL@DAL 01/07/2019 08:30PM ET,DAL,6.62
PF,Ray Spalding (11917383),Ray Spalding,11917383,CPT,1500,LAL@DAL 01/07/2019 08:30PM ET,DAL,0
SF/PF,Kostas Antetokounmpo (11917384),Kostas Antetokounmpo,11917384,CPT,1500,LAL@DAL 01/07/2019 08:30PM ET,DAL,0
PG/SG,Daryl Macon (11917385),Daryl Macon,11917385,CPT,1500,LAL@DAL 01/07/2019 08:30PM ET,DAL,0
C,Tyson Chandler (11917341),Tyson Chandler,11917341,UTIL,1400,LAL@DAL 01/07/2019 08:30PM ET,LAL,15.10
PG/SG,Devin Harris (11917340),Devin Harris,11917340,UTIL,1000,LAL@DAL 01/07/2019 08:30PM ET,DAL,12.77
