Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1363275125,mazwa,21.36,310.5,PG James Harden UTIL Andre Drummond SG Donovan Mitchell C Marc Gasol G Reggie Jackson F Kelly Oubre Jr. SF Garrett Temple PF Richaun Holmes,,James Harden,G,75.68%,70.75
2,1362876171,youdacao,0,305.25,SG Bradley Beal UTIL Rudy Gobert PF John Collins C Marc Gasol SF Khris Middleton F Josh Jackson G Raul Neto PG Shabazz Napier,,Raul Neto,G,56.76%,19.25
3,1362855980,hoop2410,0,303.75,SG James Harden C Clint Capela PF John Collins G Jordan Clarkson F Josh Jackson PG De'Anthony Melton UTIL Raul Neto SF Kelly Oubre Jr.,,Kelly Oubre Jr.,SF,51.35%,21.25
4,1362903216,moklovin,0,300.75,SG James Harden F John Collins PF Domantas Sabonis C Marc Gasol PG Austin Rivers G De'Anthony Melton UTIL Raul Neto SF Kelly Oubre Jr.,,De'Anthony Melton,PG,45.95%,23.75
5,1363173041,ragingphilip,10.68,298.75,PG James Harden UTIL Andre Drummond G Donovan Mitchell PF Domantas Sabonis SG J.J. Barea SF Kelly Oubre Jr. F Richaun Holmes C Maxi Kleber,,Furkan Korkmaz,SF,32.43%,30.25
6,1362947449,MakeItRain84,0,298,SG James Harden C Rudy Gobert PF John Collins F Joe Ingles PG Jordan Clarkson G De'Anthony Melton UTIL Raul Neto SF Kelly Oubre Jr.,,John Collins,PF,29.73%,51.5
7,1363751261,EmpireMaker2,0,295,SG James Harden C Joel Embiid PF Trevor Ariza PG Jordan Clarkson G De'Anthony Melton UTIL Raul Neto SF Kelly Oubre Jr. F Furkan Korkmaz,,Domantas Sabonis,PF,29.73%,35.75
8,1363463583,pgavett,0,289.5,SG James Harden UTIL Clint Capela PF John Collins F Khris Middleton PG De'Anthony Melton G Raul Neto SF Kelly Oubre Jr. C Ed Davis,,Jakob Poeltl,C,27.03%,7.75
9,1363156173,PetrGibbons,10.68,287,SG James Harden PF Giannis Antetokounmpo UTIL Marc Gasol PG Austin Rivers G Raul Neto F Reggie Bullock SF Furkan Korkmaz C Jakob Poeltl,,Donovan Mitchell,PG,24.32%,51.5
10,1362738627,giantsquid,10.68,286.25,G James Harden PG Donovan Mitchell PF John Collins C Marc Gasol F Jaren Jackson Jr. UTIL J.J. Barea SF Kelly Oubre Jr. SG Bruce Brown Jr.,,Andre Drummond,UTIL,21.62%,37.75
