Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1363275126,mazwa,21.36,310.5,PG James Harden UTIL Andre Drummond SG Donovan Mitchell C Marc Gasol G Reggie Jackson F Kelly Oubre Jr. SF Garrett Temple PF Richaun Holmes,,James Harden,G,65.71%,70.75
2,1362876268,youdacao,0,308,G James Harden PF John Collins C Marc Gasol SF Khris Middleton PG Eric Bledsoe UTIL De'Anthony Melton F Evan Turner SG Furkan Korkmaz,,Kelly Oubre Jr.,SF,51.43%,21.25
3,1362843099,hoop2410,0,303.75,SG James Harden C Clint Capela PF John Collins G Jordan Clarkson F Josh Jackson PG De'Anthony Melton UTIL Raul Neto SF Kelly Oubre Jr.,,Raul Neto,G,45.71%,19.25
3,1363270690,aboveandbeyond,0,303.75,SG James Harden C Clint Capela PF John Collins PG Jordan Clarkson SF Josh Jackson G De'Anthony Melton UTIL Raul Neto F Kelly Oubre Jr.,,De'Anthony Melton,PG,45.71%,23.75
5,1362903221,moklovin,0,300.75,SG James Harden F John Collins PF Domantas Sabonis C Marc Gasol PG Austin Rivers G De'Anthony Melton UTIL Raul Neto SF Kelly Oubre Jr.,,Donovan Mitchell,PG,28.57%,51.5
6,1362937245,MakeItRain84,0,298,SG James Harden C Rudy Gobert PF John Collins F Joe Ingles PG Jordan Clarkson G De'Anthony Melton UTIL Raul Neto SF Kelly Oubre Jr.,,John Collins,PF,28.57%,51.5
7,1363545443,cohenspicks,10.68,295,UTIL Andre Drummond G Donovan Mitchell C John Collins PF Domantas Sabonis F Aaron Gordon SF Josh Jackson PG De'Anthony Melton SG Kelly Oubre Jr.,,Furkan Korkmaz,SF,28.57%,30.25
8,1362738628,giantsquid,10.68,286.25,G James Harden PG Donovan Mitchell PF John Collins C Marc Gasol F Jaren Jackson Jr. UTIL J.J. Barea SF Kelly Oubre Jr. SG Bruce Brown Jr.,,Andre Drummond,UTIL,25.71%,37.75
9,1363317066,TheTakeOVER,0,283,SG James Harden PF Giannis Antetokounmpo PG Jordan Clarkson SF Josh Jackson G De'Anthony Melton UTIL Raul Neto F Kelly Oubre Jr. C Jakob Poeltl,,Domantas Sabonis,PF,22.86%,35.75
10,1363075703,wakeywakey,0,282,SG James Harden C Rudy Gobert UTIL Donovan Mitchell SF Harrison Barnes PF Josh Jackson G De'Anthony Melton PG J.J. Barea F Evan Turner,,D'Angelo Russell,PG,20.00%,33.75
11,1363507179,paratrooper49,0,280.75,G Ben Simmons PG D'Angelo Russell SG Donovan Mitchell C John Collins PF DeMarre Carroll UTIL Jordan Clarkson SF Evan Turner F Kelly Oubre Jr.,,Jakob Poeltl,C,20.00%,7.75
12,1362959657,JoeBucksSafeWord,0,280.5,SF Giannis Antetokounmpo G Ben Simmons C Clint Capela SG Donovan Mitchell UTIL Shabazz Napier F Dwight Powell PG Cory Joseph PF Richaun Holmes,,Josh Jackson,F,20.00%,36.5
12,1363156174,PetrGibbons,0,280.5,SG James Harden PF Giannis Antetokounmpo PG D'Angelo Russell G De'Anthony Melton UTIL Raul Neto SF Furkan Korkmaz C Jakob Poeltl F Maxi Kleber,,J.J. Barea,UTIL,17.14%,12.5
14,1363503031,hencoup,0,279.75,SG James Harden C Joel Embiid F John Collins UTIL Austin Rivers PG Raul Neto SF Rodions Kurucs G Jalen Brunson PF Kyle O'Quinn,,Giannis Antetokounmpo,F,17.14%,62.75
