NBA_Stats_ID,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,DDpts,DDreb,DDast,DDblk,DDstl,#ofDDig,DoubDoub,TripDoub,ActFP,concatNameandTeam
1628420,Monte Morris,DEN,23.0,1.0,1.0,0.0,24.0,14.0,6.0,12.0,50.0,2.0,4.0,50.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,22.4,0.0,0.0,-1,1,0,0,0,0,1,0,0,23.5,Monte MorrisDEN
1628963,Marvin Bagley III,SAC,19.0,1.0,1.0,0.0,20.0,10.0,4.0,5.0,80.0,0.0,0.0,0.0,2.0,2.0,100.0,2.0,5.0,7.0,1.0,2.0,2.0,0.0,1.0,23.9,0.0,0.0,-4,1,0,0,0,0,1,0,0,23.25,Marvin Bagley IIISAC
203471,Dennis Schroder,OKC,25.0,1.0,0.0,1.0,36.0,14.0,5.0,14.0,35.7,2.0,5.0,40.0,2.0,2.0,100.0,1.0,1.0,2.0,4.0,1.0,0.0,0.0,4.0,21.4,0.0,0.0,-10,1,0,0,0,0,1,0,0,23.0,Dennis SchroderOKC
2548,Dwyane Wade,MIA,36.0,1.0,1.0,0.0,23.0,19.0,8.0,12.0,66.7,3.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,21.5,0.0,0.0,8.0,1,0,0,0,0,1,0,0,23.0,Dwyane WadeMIA
1626169,Stanley Johnson,DET,22.0,1.0,0.0,1.0,23.0,16.0,5.0,10.0,50.0,2.0,6.0,33.3,4.0,4.0,100.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,20.9,0.0,0.0,-17,1,0,0,0,0,1,0,0,22.0,Stanley JohnsonDET
1627741,Buddy Hield,SAC,26.0,1.0,1.0,0.0,29.0,18.0,8.0,13.0,61.5,2.0,5.0,40.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,19.4,0.0,0.0,17.0,1,0,0,0,0,1,0,0,21.0,Buddy HieldSAC
200794,Paul Millsap,DEN,33.0,1.0,1.0,0.0,24.0,8.0,2.0,9.0,22.2,0.0,1.0,0.0,4.0,4.0,100.0,2.0,7.0,9.0,0.0,1.0,1.0,0.0,3.0,20.8,0.0,0.0,3.0,0,0,0,0,0,0,0,0,20.75,Paul MillsapDEN
203079,Dion Waiters,MIA,27.0,1.0,1.0,0.0,20.0,8.0,3.0,12.0,25.0,2.0,7.0,28.6,0.0,0.0,0.0,1.0,3.0,4.0,3.0,0.0,1.0,0.0,2.0,20.3,0.0,0.0,10.0,0,0,0,0,0,0,0,0,20.5,Dion WaitersMIA
203992,Bogdan Bogdanovic,SAC,26.0,1.0,1.0,0.0,21.0,6.0,3.0,9.0,33.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,2.0,0.0,1.0,21.6,0.0,0.0,5.0,0,0,0,0,0,0,0,0,19.75,Bogdan BogdanovicSAC
202697,Iman Shumpert,SAC,28.0,1.0,1.0,0.0,22.0,13.0,5.0,10.0,50.0,3.0,4.0,75.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,17.4,0.0,0.0,9.0,1,0,0,0,0,1,0,0,19.5,Iman ShumpertSAC
204020,Tyler Johnson,MIA,26.0,1.0,1.0,0.0,15.0,11.0,4.0,8.0,50.0,3.0,5.0,60.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,16.1,0.0,0.0,14.0,1,0,0,0,0,1,0,0,17.75,Tyler JohnsonMIA
201976,Patrick Beverley,LAC,30.0,1.0,0.0,1.0,23.0,2.0,1.0,3.0,33.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,1.0,0.0,3.0,0.0,19.6,0.0,0.0,-11,0,0,0,0,0,0,0,0,17.25,Patrick BeverleyLAC
101181,Jose Calderon,DET,37.0,1.0,0.0,1.0,20.0,2.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,6.0,3.0,2.0,0.0,1.0,17.6,0.0,0.0,1.0,0,0,0,0,0,0,0,0,17.25,Jose CalderonDET
1627812,Yogi Ferrell,SAC,25.0,1.0,1.0,0.0,24.0,11.0,4.0,6.0,66.7,2.0,3.0,66.7,1.0,1.0,100.0,0.0,3.0,3.0,1.0,2.0,0.0,0.0,1.0,14.1,0.0,0.0,-7,1,0,0,0,0,1,0,0,16.25,Yogi FerrellSAC
