Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1364801371,FattyBill,0,375.75,UTIL Russell Westbrook SF DeMar DeRozan C LaMarcus Aldridge PF Nemanja Bjelica SG Dwyane Wade PG Derrick White F Mason Plumlee G Patty Mills,,Reggie Jackson,G,71.52%,13.5
2,1364599772,mitt334,0,368,PG Russell Westbrook PF LaMarcus Aldridge SF Danilo Gallinari C Steven Adams UTIL Derrick White F Jerami Grant SG Terry Rozier G Patty Mills,,Nikola Jokic,UTIL,67.02%,58.5
2,1364601719,Justlewis7,0,368,PG Russell Westbrook PF LaMarcus Aldridge SF Danilo Gallinari C Steven Adams G Derrick White F Jerami Grant SG Terry Rozier UTIL Patty Mills,,Andre Drummond,C,66.10%,28.75
4,1364488657,baller201992,0,367.75,PG Russell Westbrook UTIL Nikola Jokic C LaMarcus Aldridge G Josh Richardson PF Jerami Grant SG Malik Beasley F Luke Kennard SF Stanley Johnson,,Stanley Johnson,PF,57.40%,22
5,1364261276,Jeremy331,0,367.25,PG Russell Westbrook C Nikola Jokic UTIL LaMarcus Aldridge G Reggie Jackson PF Jerami Grant SF Torrey Craig SG Malik Beasley F Marco Belinelli,,LaMarcus Aldridge,PF,46.64%,78.75
6,1364438712,snapchatking,0,364.25,UTIL Russell Westbrook C Nikola Jokic F LaMarcus Aldridge G Reggie Jackson PF Jerami Grant SG Bryn Forbes PG Malik Beasley SF Stanley Johnson,,DeMar DeRozan,SF,44.00%,46
6,1364571958,mtlockl2,0,364.25,G Russell Westbrook C Nikola Jokic F LaMarcus Aldridge PG Reggie Jackson PF Jerami Grant UTIL Bryn Forbes SG Malik Beasley SF Stanley Johnson,,Jon Leuer,F,40.69%,27.25
8,1364780010,big_pimpin,0,363.75,G Russell Westbrook SF DeMar DeRozan PG De'Aaron Fox C LaMarcus Aldridge UTIL Derrick White SG Bryn Forbes PF Jon Leuer F Stanley Johnson,,De'Aaron Fox,G,30.28%,30.75
9,1364519951,xXxPLOSIVE,0,363.25,UTIL Russell Westbrook C Nikola Jokic F LaMarcus Aldridge SG Reggie Jackson PF Jerami Grant PG Malik Beasley G Monte Morris SF Marco Belinelli,,Russell Westbrook,PG,29.38%,83.25
10,1364119384,Primrose_877,0,361.5,G Russell Westbrook C Nikola Jokic F LaMarcus Aldridge UTIL Reggie Jackson PF Jerami Grant PG Bryn Forbes SF Davis Bertans SG Marco Belinelli,,Malik Beasley,PG,20.13%,31.25
