Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1365302861,ryan7962,0,365.25,PG James Harden SF Ben Simmons G Khris Middleton UTIL Eric Bledsoe SG Malcolm Brogdon C Ersan Ilyasova F Royce O'Neale PF Mike Muscala,,Mike Muscala,C,74.11%,27.75
1,1365321349,MillionaireMatt89 (1/4),0,365.25,UTIL James Harden SF Ben Simmons G Khris Middleton SG Eric Bledsoe PG Malcolm Brogdon C Ersan Ilyasova F Royce O'Neale PF Mike Muscala,,Ersan Ilyasova,C,66.21%,25.25
1,1365321350,MillionaireMatt89 (2/4),0,365.25,UTIL James Harden SF Ben Simmons G Khris Middleton SG Eric Bledsoe PG Malcolm Brogdon C Ersan Ilyasova F Royce O'Neale PF Mike Muscala,,Ben Simmons,SF,65.94%,67
1,1365321351,MillionaireMatt89 (3/4),0,365.25,UTIL James Harden SF Ben Simmons G Khris Middleton SG Eric Bledsoe PG Malcolm Brogdon C Ersan Ilyasova F Royce O'Neale PF Mike Muscala,,Malcolm Brogdon,PG,64.31%,35
1,1365321352,MillionaireMatt89 (4/4),0,365.25,UTIL James Harden SF Ben Simmons G Khris Middleton SG Eric Bledsoe PG Malcolm Brogdon C Ersan Ilyasova F Royce O'Neale PF Mike Muscala,,James Harden,G,60.22%,88
1,1365501542,RoYzH,0,365.25,SG James Harden F Ben Simmons G Khris Middleton PG Eric Bledsoe UTIL Malcolm Brogdon PF Ersan Ilyasova SF Royce O'Neale C Mike Muscala,,Khris Middleton,G,50.95%,41.5
1,1365809186,Jrake (1/2),0,365.25,UTIL James Harden SF Ben Simmons SG Khris Middleton PG Eric Bledsoe G Malcolm Brogdon PF Ersan Ilyasova F Royce O'Neale C Mike Muscala,,Joe Ingles,UTIL,43.60%,38
1,1365809187,Jrake (2/2),0,365.25,UTIL James Harden SF Ben Simmons SG Khris Middleton PG Eric Bledsoe G Malcolm Brogdon PF Ersan Ilyasova F Royce O'Neale C Mike Muscala,,Luke Kornet,F,42.51%,12.75
9,1365889229,iampanalo,0,361.75,UTIL James Harden G Ben Simmons SF Jimmy Butler SG Eric Bledsoe F Jae Crowder PG T.J. McConnell C Ersan Ilyasova PF Mike Muscala,,Eric Bledsoe,SG,41.96%,48
10,1365645816,martini159 (3/11),0,361,G James Harden SF Ben Simmons UTIL Rudy Gobert SG Khris Middleton PG T.J. McConnell C Ersan Ilyasova F Royce O'Neale PF Mike Muscala,,Jimmy Butler,SF,37.60%,46.5
11,1365162132,mattmarsh (1/5),0,357.75,PG James Harden G Ben Simmons UTIL Donovan Mitchell SG Malcolm Brogdon C Bobby Portis F Ersan Ilyasova SF Royce O'Neale PF Mike Muscala,,Donovan Mitchell,UTIL,37.33%,58
11,1365162135,mattmarsh (2/5),0,357.75,PG James Harden G Ben Simmons UTIL Donovan Mitchell SG Malcolm Brogdon C Bobby Portis F Ersan Ilyasova SF Royce O'Neale PF Mike Muscala,,Royce O'Neale,F,29.97%,32.75
11,1365529820,mattmarsh (3/5),0,357.75,PG James Harden G Ben Simmons UTIL Donovan Mitchell SG Malcolm Brogdon C Bobby Portis F Ersan Ilyasova SF Royce O'Neale PF Mike Muscala,,Domantas Sabonis,F,15.80%,46.75
11,1365774331,mattmarsh (4/5),0,357.75,PG James Harden G Ben Simmons UTIL Donovan Mitchell SG Malcolm Brogdon C Bobby Portis F Ersan Ilyasova SF Royce O'Neale PF Mike Muscala,,Rudy Gobert,UTIL,15.53%,46
11,1365825195,mattmarsh (5/5),0,357.75,PG James Harden G Ben Simmons UTIL Donovan Mitchell SG Malcolm Brogdon C Bobby Portis F Ersan Ilyasova SF Royce O'Neale PF Mike Muscala,,Jae Crowder,F,14.71%,26.5
16,1365573926,mdeak311 (1/8),0,357,SG James Harden SF Ben Simmons G Jimmy Butler PG Malcolm Brogdon UTIL Tomas Satoransky PF Ersan Ilyasova F Jonah Bolden C Mike Muscala,,Jonah Bolden,PF,13.35%,13
16,1365573927,mdeak311 (2/8),0,357,SG James Harden SF Ben Simmons G Jimmy Butler PG Malcolm Brogdon UTIL Tomas Satoransky PF Ersan Ilyasova F Jonah Bolden C Mike Muscala,,Clint Capela,UTIL,9.81%,32.5
16,1365573928,mdeak311 (3/8),0,357,SG James Harden SF Ben Simmons G Jimmy Butler PG Malcolm Brogdon UTIL Tomas Satoransky PF Ersan Ilyasova F Jonah Bolden C Mike Muscala,,Bradley Beal,UTIL,9.26%,57.25
16,1365573929,mdeak311 (4/8),0,357,SG James Harden SF Ben Simmons G Jimmy Butler PG Malcolm Brogdon UTIL Tomas Satoransky PF Ersan Ilyasova F Jonah Bolden C Mike Muscala,,Serge Ibaka,F,8.17%,27.25
16,1365573930,mdeak311 (5/8),0,357,SG James Harden SF Ben Simmons G Jimmy Butler PG Malcolm Brogdon UTIL Tomas Satoransky PF Ersan Ilyasova F Jonah Bolden C Mike Muscala,,Brook Lopez,C,6.27%,32.25
16,1365573931,mdeak311 (6/8),0,357,SG James Harden SF Ben Simmons G Jimmy Butler PG Malcolm Brogdon UTIL Tomas Satoransky PF Ersan Ilyasova F Jonah Bolden C Mike Muscala,,Otto Porter Jr.,SF,5.99%,26.75
16,1365573932,mdeak311 (7/8),0,357,SG James Harden SF Ben Simmons G Jimmy Butler PG Malcolm Brogdon UTIL Tomas Satoransky PF Ersan Ilyasova F Jonah Bolden C Mike Muscala,,Noah Vonleh,PF,5.45%,20.75
16,1365573933,mdeak311 (8/8),0,357,SG James Harden SF Ben Simmons G Jimmy Butler PG Malcolm Brogdon UTIL Tomas Satoransky PF Ersan Ilyasova F Jonah Bolden C Mike Muscala,,Maxi Kleber,UTIL,4.90%,22.25
24,1365826361,njddog21,0,356,UTIL Ben Simmons SG Bradley Beal PG Donovan Mitchell G Jimmy Butler SF Khris Middleton PF Ersan Ilyasova F Royce O'Neale C Mike Muscala,,T.J. McConnell,PG,4.63%,32.75
25,1365300009,a0l_messenger,0,355.5,G Ben Simmons SG Donovan Mitchell PF Domantas Sabonis SF Jimmy Butler PG Eric Bledsoe F Derrick Favors C Ersan Ilyasova UTIL Mike Muscala,,Kyle Korver,F,3.54%,16.5
