Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1365310366,ryan7962,0,365.25,PG James Harden SF Ben Simmons G Khris Middleton UTIL Eric Bledsoe SG Malcolm Brogdon C Ersan Ilyasova F Royce O'Neale PF Mike Muscala,,Mike Muscala,C,75.82%,27.75
1,1365321319,MillionaireMatt89 (1/4),0,365.25,UTIL James Harden SF Ben Simmons G Khris Middleton SG Eric Bledsoe PG Malcolm Brogdon C Ersan Ilyasova F Royce O'Neale PF Mike Muscala,,Malcolm Brogdon,PG,72.11%,35
1,1365321320,MillionaireMatt89 (2/4),0,365.25,UTIL James Harden SF Ben Simmons G Khris Middleton SG Eric Bledsoe PG Malcolm Brogdon C Ersan Ilyasova F Royce O'Neale PF Mike Muscala,,Ersan Ilyasova,C,67.32%,25.25
1,1365321321,MillionaireMatt89 (3/4),0,365.25,UTIL James Harden SF Ben Simmons G Khris Middleton SG Eric Bledsoe PG Malcolm Brogdon C Ersan Ilyasova F Royce O'Neale PF Mike Muscala,,James Harden,G,64.05%,88
1,1365321322,MillionaireMatt89 (4/4),0,365.25,UTIL James Harden SF Ben Simmons G Khris Middleton SG Eric Bledsoe PG Malcolm Brogdon C Ersan Ilyasova F Royce O'Neale PF Mike Muscala,,Ben Simmons,SF,61.66%,67
1,1365511742,RoYzH,0,365.25,SG James Harden F Ben Simmons G Khris Middleton PG Eric Bledsoe UTIL Malcolm Brogdon PF Ersan Ilyasova SF Royce O'Neale C Mike Muscala,,Khris Middleton,G,52.29%,41.5
1,1365575062,Jrake (1/6),0,365.25,UTIL James Harden SF Ben Simmons SG Khris Middleton PG Eric Bledsoe G Malcolm Brogdon PF Ersan Ilyasova F Royce O'Neale C Mike Muscala,,Eric Bledsoe,SG,46.84%,48
1,1365575063,Jrake (2/6),0,365.25,UTIL James Harden SF Ben Simmons SG Khris Middleton PG Eric Bledsoe G Malcolm Brogdon PF Ersan Ilyasova F Royce O'Neale C Mike Muscala,,Joe Ingles,UTIL,44.23%,38
1,1365575064,Jrake (3/6),0,365.25,UTIL James Harden SF Ben Simmons SG Khris Middleton PG Eric Bledsoe G Malcolm Brogdon PF Ersan Ilyasova F Royce O'Neale C Mike Muscala,,Donovan Mitchell,PG,41.61%,58
1,1365575065,Jrake (4/6),0,365.25,UTIL James Harden SF Ben Simmons SG Khris Middleton PG Eric Bledsoe G Malcolm Brogdon PF Ersan Ilyasova F Royce O'Neale C Mike Muscala,,Luke Kornet,F,41.18%,12.75
1,1365575066,Jrake (5/6),0,365.25,UTIL James Harden SF Ben Simmons SG Khris Middleton PG Eric Bledsoe G Malcolm Brogdon PF Ersan Ilyasova F Royce O'Neale C Mike Muscala,,Jimmy Butler,SF,37.25%,46.5
1,1365575067,Jrake (6/6),0,365.25,UTIL James Harden SF Ben Simmons SG Khris Middleton PG Eric Bledsoe G Malcolm Brogdon PF Ersan Ilyasova F Royce O'Neale C Mike Muscala,,Royce O'Neale,F,23.75%,32.75
