Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG/SF,Lance Stephenson (11938850),Lance Stephenson,11938850,SG/SF/F/G/UTIL,3700,LAL@UTA 01/11/2019 10:00PM ET,LAL,15.79
PG/SG,Delon Wright (11938846),Delon Wright,11938846,PG/SG/G/UTIL,3700,BKN@TOR 01/11/2019 07:30PM ET,TOR,14.88
PF/C,Kyle O'Quinn (11938842),Kyle O'Quinn,11938842,PF/C/F/UTIL,3700,IND@NY 01/11/2019 07:30PM ET,IND,10.41
PG/SG,T.J. McConnell (11938855),T.J. McConnell,11938855,PG/SG/G/UTIL,3700,ATL@PHI 01/11/2019 07:00PM ET,PHI,16.57
PF/C,Maxi Kleber (11938863),Maxi Kleber,11938863,PF/C/F/UTIL,3600,DAL@MIN 01/11/2019 08:00PM ET,DAL,15.61
PF/C,Dwight Powell (11938875),Dwight Powell,11938875,PF/C/F/UTIL,3600,DAL@MIN 01/11/2019 08:00PM ET,DAL,17.29
PG/SG,Malik Monk (11938867),Malik Monk,11938867,PG/SG/G/UTIL,3600,CHA@POR 01/11/2019 10:00PM ET,CHA,17.58
PG/SG,Seth Curry (11938871),Seth Curry,11938871,PG/SG/G/UTIL,3600,CHA@POR 01/11/2019 10:00PM ET,POR,10.12
SF/PF,Wilson Chandler (11938879),Wilson Chandler,11938879,SF/PF/F/UTIL,3600,ATL@PHI 01/11/2019 07:00PM ET,PHI,16.77
PG,Tony Parker (11938896),Tony Parker,11938896,PG/G/UTIL,3500,CHA@POR 01/11/2019 10:00PM ET,CHA,17.90
SF/PF,Jake Layman (11938907),Jake Layman,11938907,SF/PF/F/UTIL,3500,CHA@POR 01/11/2019 10:00PM ET,POR,10.77
SG/SF,Kyle Korver (11938887),Kyle Korver,11938887,SG/SF/F/G/UTIL,3500,LAL@UTA 01/11/2019 10:00PM ET,UTA,13.20
C,Ivica Zubac (11938899),Ivica Zubac,11938899,C/UTIL,3500,LAL@UTA 01/11/2019 10:00PM ET,LAL,14.16
PG/SG,Cameron Payne (11938883),Cameron Payne,11938883,PG/SG/G/UTIL,3500,CLE@HOU 01/11/2019 08:00PM ET,CLE,13.57
PG/SG,Matthew Dellavedova (11938892),Matthew Dellavedova,11938892,PG/SG/G/UTIL,3500,CLE@HOU 01/11/2019 08:00PM ET,CLE,12.27
C,Greg Monroe (11938901),Greg Monroe,11938901,C/UTIL,3500,BKN@TOR 01/11/2019 07:30PM ET,TOR,11.36
PF/C,Kenneth Faried (11938903),Kenneth Faried,11938903,PF/C/F/UTIL,3500,BKN@TOR 01/11/2019 07:30PM ET,BKN,11.02
SG/SF,Sterling Brown (11938911),Sterling Brown,11938911,SG/SF/F/G/UTIL,3400,MIL@WAS 01/11/2019 07:00PM ET,MIL,11.81
PF/C,Ersan Ilyasova (11938920),Ersan Ilyasova,11938920,PF/C/F/UTIL,3400,MIL@WAS 01/11/2019 07:00PM ET,MIL,17.56
PF/C,D.J. Wilson (11938928),D.J. Wilson,11938928,PF/C/F/UTIL,3400,MIL@WAS 01/11/2019 07:00PM ET,MIL,15.83
PG/SG,George Hill (11938967),George Hill,11938967,PG/SG/G/UTIL,3400,MIL@WAS 01/11/2019 07:00PM ET,MIL,16.66
SF/PF,Anthony Tolliver (11938932),Anthony Tolliver,11938932,SF/PF/F/UTIL,3400,DAL@MIN 01/11/2019 08:00PM ET,MIN,11.12
