Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1365606566,FAVRE721,0,373.75,G James Harden SF Ben Simmons PG D'Angelo Russell SG Eric Bledsoe F Joe Ingles PF Ersan Ilyasova UTIL Royce O'Neale C Mike Muscala,,Ersan Ilyasova,F,46.85%,25.25
2,1365802140,ferriero23,0,370.25,G James Harden UTIL Ben Simmons SG Donovan Mitchell PG Eric Bledsoe PF Jae Crowder C Maxi Kleber SF Royce O'Neale F Mike Muscala,,Khris Middleton,SG,46.72%,41.5
3,1365583592,HAHasuckmyclintondix,0,368.25,SG James Harden PG Ben Simmons F Khris Middleton UTIL Eric Bledsoe G Joe Ingles PF Ersan Ilyasova SF Royce O'Neale C Mike Muscala,,Malcolm Brogdon,PG,44.89%,35
3,1365658753,jfmann0,0,368.25,G James Harden SF Ben Simmons SG Khris Middleton PG Eric Bledsoe UTIL Joe Ingles C Ersan Ilyasova F Royce O'Neale PF Mike Muscala,,Donovan Mitchell,SG,42.69%,58
3,1365742147,EchoCharlie4,0,368.25,UTIL James Harden G Ben Simmons SG Khris Middleton PG Eric Bledsoe SF Joe Ingles PF Ersan Ilyasova F Royce O'Neale C Mike Muscala,,Ben Simmons,PG,38.87%,67
6,1365617885,jeffylube,0,368,PG James Harden SF Ben Simmons G Donovan Mitchell SG Jimmy Butler C Ersan Ilyasova F Royce O'Neale PF Mike Muscala UTIL Jordan Bell,,James Harden,G,37.54%,88
7,1365084348,glitch,0,367.75,SG James Harden SF Ben Simmons C Domantas Sabonis PG Eric Bledsoe G Kevin Huerter UTIL Maxi Kleber F Ersan Ilyasova PF Mike Muscala,,Mike Muscala,C,32.75%,27.75
8,1365856463,ghubb79,0,367,G Ben Simmons SG Bradley Beal F Luka Doncic UTIL Rudy Gobert PG Eric Bledsoe PF Ersan Ilyasova SF Royce O'Neale C Mike Muscala,,Domantas Sabonis,C,30.71%,46.75
9,1365820601,pjfrap,0,365.75,F Ben Simmons SG Bradley Beal G Luka Doncic UTIL Donovan Mitchell PG Malcolm Brogdon SF Mario Hezonja PF Ersan Ilyasova C Mike Muscala,,Joe Ingles,UTIL,26.57%,38
10,1365044848,Orochi,0,365.25,UTIL James Harden SF Ben Simmons SG Khris Middleton PG Eric Bledsoe G Malcolm Brogdon PF Ersan Ilyasova F Royce O'Neale C Mike Muscala,,Eric Bledsoe,SG,25.81%,48
10,1365065661,cannedfruit,0,365.25,SG James Harden SF Ben Simmons UTIL Khris Middleton PG Eric Bledsoe G Malcolm Brogdon PF Ersan Ilyasova F Royce O'Neale C Mike Muscala,,Jimmy Butler,SG,24.51%,46.5
10,1365079876,Stockmannn,0,365.25,SG James Harden SF Ben Simmons UTIL Khris Middleton PG Eric Bledsoe G Malcolm Brogdon PF Ersan Ilyasova F Royce O'Neale C Mike Muscala,,Luke Kornet,F,20.81%,12.75
10,1365080340,gosixersgo76,0,365.25,G James Harden SF Ben Simmons F Khris Middleton SG Eric Bledsoe PG Malcolm Brogdon C Ersan Ilyasova UTIL Royce O'Neale PF Mike Muscala,,Bradley Beal,G,17.95%,57.25
10,1365081637,sparkjacob,0,365.25,SG James Harden SF Ben Simmons UTIL Khris Middleton PG Eric Bledsoe G Malcolm Brogdon PF Ersan Ilyasova F Royce O'Neale C Mike Muscala,,Royce O'Neale,SF,16.27%,32.75
10,1365096022,KlairVoyant,0,365.25,PG James Harden G Ben Simmons F Khris Middleton SG Eric Bledsoe UTIL Malcolm Brogdon C Ersan Ilyasova SF Royce O'Neale PF Mike Muscala,,Jae Crowder,F,15.58%,26.5
10,1365193568,gdaddy80,0,365.25,PG James Harden SF Ben Simmons SG Khris Middleton UTIL Eric Bledsoe G Malcolm Brogdon PF Ersan Ilyasova F Royce O'Neale C Mike Muscala,,Otto Porter Jr.,SF,15.51%,26.75
10,1365211155,03SonicBlur,0,365.25,SG James Harden SF Ben Simmons UTIL Khris Middleton PG Eric Bledsoe G Malcolm Brogdon PF Ersan Ilyasova F Royce O'Neale C Mike Muscala,,Rudy Gobert,UTIL,12.80%,46
10,1365216846,sasmallen,0,365.25,SG James Harden G Ben Simmons SF Khris Middleton PG Eric Bledsoe UTIL Malcolm Brogdon PF Ersan Ilyasova F Royce O'Neale C Mike Muscala,,Tristan Thompson,C,11.04%,18.75
10,1365318931,Tcutroop,0,365.25,SG James Harden SF Ben Simmons UTIL Khris Middleton PG Eric Bledsoe G Malcolm Brogdon PF Ersan Ilyasova F Royce O'Neale C Mike Muscala,,Maxi Kleber,F,10.81%,22.25
10,1365325122,charliee55,0,365.25,SG James Harden SF Ben Simmons UTIL Khris Middleton PG Eric Bledsoe G Malcolm Brogdon PF Ersan Ilyasova F Royce O'Neale C Mike Muscala,,Kyle O'Quinn,PF,10.64%,11.5
