Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1361925926,moklovin,14.7,267.5,SG Lou Williams SF Danilo Gallinari G Kemba Walker F Tobias Harris UTIL Enes Kanter PG Trey Burke PF Montrezl Harrell C Guillermo Hernang?mez,,Kemba Walker,G,100.00%,27.5
2,1361685279,Makisupa,17.15,259.5,SF Marvin Williams SG Lou Williams PF Danilo Gallinari G Kemba Walker UTIL Tobias Harris PG Trey Burke F Montrezl Harrell C Guillermo Hernang?mez,,Guillermo Hernang?mez,C,90.00%,14.5
2,1361920928,mrgoodseats,17.15,259.5,SF Marvin Williams SG Lou Williams F Danilo Gallinari G Kemba Walker UTIL Tobias Harris PG Trey Burke PF Montrezl Harrell C Guillermo Hernang?mez,,Tobias Harris,UTIL,80.00%,36.5
2,1362659961,ryanmax,17.15,259.5,SF Marvin Williams G Lou Williams PF Danilo Gallinari PG Kemba Walker UTIL Tobias Harris SG Trey Burke F Montrezl Harrell C Guillermo Hernang?mez,,Trey Burke,PG,80.00%,12.75
5,1361774669,ChipotleAddict,9.8,248.75,SG Lou Williams F Kevin Durant SF Danilo Gallinari G Kemba Walker UTIL Enes Kanter PG Quinn Cook C Guillermo Hernang?mez PF Kevon Looney,,Danilo Gallinari,PF,60.00%,39.75
6,1362380846,Awesemo,12.25,244,SF Kevin Durant SG Nicolas Batum PG Kemba Walker G Jeremy Lamb UTIL Enes Kanter F Montrezl Harrell C Guillermo Hernang?mez PF Kevon Looney,,Marvin Williams,SF,50.00%,29
7,1362395139,Rothstein109,12.25,239.5,PF Marvin Williams SG Stephen Curry UTIL Danilo Gallinari G Kemba Walker F Tobias Harris PG Trey Burke C Guillermo Hernang?mez SF Mario Hezonja,,Lou Williams,SG,50.00%,50.25
8,1362122540,ragingphilip,7.35,222,PF Kevin Durant SG Nicolas Batum PG Kemba Walker SF Tobias Harris C Enes Kanter G Trey Burke F Kevon Looney UTIL Emmanuel Mudiay,,Montrezl Harrell,F,50.00%,49.25
9,1362739362,BamCatfish23,7.35,217,SG Stephen Curry PG Kemba Walker SF Tobias Harris C Enes Kanter G Trey Burke PF Noah Vonleh UTIL Guillermo Hernang?mez F Kevon Looney,,Enes Kanter,UTIL,50.00%,37
10,1362176658,youdacao,12.25,212,PF Marvin Williams SG Stephen Curry SF Nicolas Batum UTIL Kemba Walker F Tobias Harris PG Trey Burke C Guillermo Hernang?mez G Emmanuel Mudiay,,Kevon Looney,PF,40.00%,23.5
,,,,,,,Kevin Durant,F,30.00%,41.25
,,,,,,,Nicolas Batum,SG,30.00%,27.5
,,,,,,,Stephen Curry,SG,30.00%,48.25
,,,,,,,Emmanuel Mudiay,UTIL,20.00%,16
,,,,,,,Quinn Cook,PG,10.00%,15
,,,,,,,Jeremy Lamb,G,10.00%,23.5
,,,,,,,Mario Hezonja,SF,10.00%,31.25
,,,,,,,Noah Vonleh,PF,10.00%,17
