Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1361848602,LuckyPapa,0,305,C Karl-Anthony Towns SG Bradley Beal UTIL Willie Cauley-Stein SF Andrew Wiggins PF Dewayne Dedmon F Josh Jackson G De'Anthony Melton PG Jeremy Lin,,Josh Jackson,SF,85.00%,30
2,1361888773,jdoskorus,4.9,303.5,PF Kevin Durant PG De'Aaron Fox SG Klay Thompson G Josh Richardson F Andrew Wiggins C Enes Kanter SF Nicolas Batum UTIL Michael Kidd-Gilchrist,,Bogdan Bogdanovic,SG,55.00%,18.75
3,1362160243,petteytheft89,0,279.25,G Russell Westbrook C Hassan Whiteside SG Andrew Wiggins PG Trae Young PF Larry Nance Jr. F Nemanja Bjelica SF Josh Jackson UTIL De'Anthony Melton,,De'Anthony Melton,PG,55.00%,37.5
4,1362205344,Kobe4MVP,2.45,279,PG Russell Westbrook C Domantas Sabonis PF Serge Ibaka UTIL Willie Cauley-Stein F Josh Jackson SG Alec Burks G Nicolas Batum SF Cedi Osman,,Joel Embiid,C,45.00%,41.5
5,1361898028,youdacao,0,274.5,PG Russell Westbrook PF Domantas Sabonis C Hassan Whiteside UTIL Willie Cauley-Stein F Bogdan Bogdanovic SF Josh Jackson G De'Anthony Melton SG Delon Wright,,De'Aaron Fox,G,45.00%,40.75
6,1361925656,moklovin,0,272.75,G Russell Westbrook C Joel Embiid F Bogdan Bogdanovic SG Fred VanVleet PF Josh Jackson UTIL De'Anthony Melton PG Jeremy Lin SF Furkan Korkmaz,,Russell Westbrook,PG,45.00%,59.75
7,1361918310,gosixersgo76,0,270.5,C Joel Embiid PF Domantas Sabonis G De'Aaron Fox F John Collins SF Bogdan Bogdanovic PG De'Anthony Melton SG Jeremy Lin UTIL Trey Burke,,Nemanja Bjelica,F,35.00%,15.25
8,1362087540,Awesemo,0,262,PF Kawhi Leonard PG Ben Simmons G Bradley Beal SF Trevor Ariza F Josh Okogie UTIL Jeremy Lin C Kevon Looney SG Furkan Korkmaz,,Willie Cauley-Stein,UTIL,30.00%,40.25
9,1362043904,craftylefty,2.45,261,C Joel Embiid PG De'Aaron Fox F John Collins SG Andrew Wiggins G Bogdan Bogdanovic SF Josh Jackson UTIL Guillermo Hernang?mez PF Kyle O'Quinn,,Jeremy Lin,PG,30.00%,36.5
10,1362226731,BamCatfish23,2.45,259.25,G Russell Westbrook UTIL Karl-Anthony Towns PF Domantas Sabonis SF Josh Jackson C Guillermo Hernang?mez F Kelly Oubre Jr. SG Furkan Korkmaz PG Malik Beasley,,Domantas Sabonis,PF,30.00%,38.25
11,1361923403,MakeItRain84,0,258.5,PG Russell Westbrook UTIL De'Aaron Fox C Willie Cauley-Stein SG Bogdan Bogdanovic F Nemanja Bjelica SF Josh Jackson PF Jerami Grant G De'Anthony Melton,,Kyle O'Quinn,PF,20.00%,6.5
12,1361943813,pianoclub,0,255.5,G Russell Westbrook C Hassan Whiteside PF Thomas Bryant UTIL Willie Cauley-Stein F Larry Nance Jr. SF Josh Jackson PG Alec Burks SG Jeremy Lin,,Andrew Wiggins,SF,20.00%,64.5
13,1362135500,giantsquid,2.45,251.25,G Russell Westbrook UTIL Joel Embiid F Nemanja Bjelica SF Josh Jackson PF Jerami Grant C Guillermo Hernang?mez PG De'Anthony Melton SG Jeremy Lin,,Hassan Whiteside,C,20.00%,33.25
14,1361918320,mrgoodseats,2.45,248.5,PG Russell Westbrook C Joel Embiid SG Bogdan Bogdanovic PF Nemanja Bjelica SF Josh Jackson UTIL Guillermo Hernang?mez G De'Anthony Melton F Mario Hezonja,,Guillermo Hernang?mez,UTIL,20.00%,14.5
15,1361677317,Makisupa,0,244.75,C Joel Embiid G De'Aaron Fox F T.J. Warren UTIL Willie Cauley-Stein SG Bogdan Bogdanovic SF Josh Jackson PG De'Anthony Melton PF Kyle O'Quinn,,Bradley Beal,SG,15.00%,40.25
