Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1361898023,youdacao (1/3),0,328.75,PG Russell Westbrook PF Domantas Sabonis UTIL De'Aaron Fox SG Andrew Wiggins G Bogdan Bogdanovic F Josh Jackson SF Kelly Oubre Jr. C Richaun Holmes,,Josh Jackson,SF,71.00%,30
2,1362128503,srn828,3.73,307.75,UTIL Russell Westbrook F Paul George SF Andrew Wiggins PG Fred VanVleet PF Josh Jackson C Guillermo Hernangómez G De'Anthony Melton SG Jeremy Lin,,Bogdan Bogdanovic,SG,54.00%,18.75
3,1361848611,LuckyPapa,0,305,C Karl-Anthony Towns SG Bradley Beal UTIL Willie Cauley-Stein SF Andrew Wiggins PF Dewayne Dedmon F Josh Jackson G De'Anthony Melton PG Jeremy Lin,,De'Anthony Melton,G,47.00%,37.5
3,1361893481,petteytheft89 (1/3),0,305,SF Paul George UTIL De'Aaron Fox PF John Collins C Willie Cauley-Stein PG Trae Young F Josh Jackson G De'Anthony Melton SG Jeremy Lin,,Russell Westbrook,G,44.00%,59.75
5,1362163594,moklovin (2/3),0.54,304.25,F Paul George G De'Aaron Fox PF John Collins SG Jamal Murray C Willie Cauley-Stein SF Andrew Wiggins PG Cory Joseph UTIL Quinn Cook,,De'Aaron Fox,PG,39.00%,40.75
6,1362131087,mazwa (2/3),0,293.5,C Nikola Jokic SF Kawhi Leonard PF Serge Ibaka UTIL Willie Cauley-Stein SG Fred VanVleet F Josh Jackson PG Jeremy Lin G Malik Beasley,,Jeremy Lin,SG,37.00%,36.5
7,1361943817,pianoclub (3/3),1.08,292.25,UTIL Kevin Durant SF Ben Simmons PF John Collins C Enes Kanter PG Fred VanVleet F Josh Jackson G De'Anthony Melton SG Jeremy Lin,,Joel Embiid,C,34.00%,41.5
8,1362168247,ERIII,4.27,289.5,G Russell Westbrook SF Paul George C Willie Cauley-Stein SG Andrew Wiggins PF Josh Jackson UTIL Guillermo Hernangómez PG Cory Joseph F Jonas Jerebko,,Kyle O'Quinn,PF,31.00%,6.5
8,1361831349,shawnzhan,0,289.5,SF Paul George UTIL De'Aaron Fox PF John Collins C Willie Cauley-Stein G Bogdan Bogdanovic F Josh Jackson PG De'Anthony Melton SG Jeremy Lin,,Willie Cauley-Stein,C,30.00%,40.25
10,1362205358,cheddabisque (2/3),0,286.75,PG Russell Westbrook C Domantas Sabonis UTIL Willie Cauley-Stein G Andrew Wiggins F Bogdan Bogdanovic PF Josh Jackson SF Cedi Osman SG Malik Beasley,,Nemanja Bjelica,F,27.00%,15.25
11,1362283254,JmoFoShoSUCKA (2/2),3.73,285.75,PG Ben Simmons G De'Aaron Fox C Hassan Whiteside UTIL Willie Cauley-Stein F Montrezl Harrell SF Nemanja Bjelica PF Josh Jackson SG Jeremy Lin,,Deandre Ayton,UTIL,19.00%,39.5
12,1361943815,pianoclub (1/3),4.27,285,G Russell Westbrook F Draymond Green PF John Collins C Willie Cauley-Stein PG Fred VanVleet SF Josh Jackson UTIL Guillermo Hernangómez SG Jeremy Lin,,Domantas Sabonis,PF,19.00%,38.25
13,1362246622,TheTakeOVER,0,284.5,PG Russell Westbrook C Deandre Ayton PF T.J. Warren SG Bogdan Bogdanovic SF Josh Jackson F DeAndre' Bembry UTIL De'Anthony Melton G Jeremy Lin,,T.J. Warren,PF,18.00%,29.5
14,1361893483,petteytheft89 (3/3),0,283,G Russell Westbrook SF Paul George C Willie Cauley-Stein F Nemanja Bjelica PF Josh Jackson UTIL De'Anthony Melton SG Kelly Oubre Jr. PG Malik Beasley,,Paul George,SF,16.00%,41.25
15,1362192747,ebor1973 (1/2),11.73,280.5,PG Russell Westbrook PF Tobias Harris SG Lou Williams C Enes Kanter UTIL Marvin Williams SF Josh Jackson F Taj Gibson G Furkan Korkmaz,,Fred VanVleet,G,16.00%,23.75
16,1362243468,chess_is_ok (3/3),3.73,280.25,PF Paul George PG De'Aaron Fox UTIL Willie Cauley-Stein SG Bogdan Bogdanovic C Tristan Thompson F Marvin Williams SF Josh Jackson G De'Anthony Melton,,Malik Beasley,UTIL,15.00%,12.25
17,1362204652,Kobe4MVP (3/3),3.73,279,PG Russell Westbrook C Domantas Sabonis PF Serge Ibaka UTIL Willie Cauley-Stein F Josh Jackson SG Alec Burks G Nicolas Batum SF Cedi Osman,,Guillermo Hernangómez,UTIL,14.00%,14.5
18,1362378557,wilson1 (1/2),4.27,276.5,G Russell Westbrook SG Bradley Beal C Deandre Ayton F Montrezl Harrell SF Josh Jackson PG De'Anthony Melton PF Kyle O'Quinn UTIL Quinn Cook,,Otto Porter Jr.,F,13.00%,18.75
19,1362131088,mazwa (3/3),0,276.25,UTIL Russell Westbrook C Nikola Jokic SF Andrew Wiggins PF Larry Nance Jr. F Josh Jackson SG Alec Burks PG Monte Morris G Malik Beasley,,John Collins,PF,11.00%,44.5
19,1362170688,fantasyfever (1/2),0,276.25,PF Paul George SF Jimmy Butler C Domantas Sabonis F Andrew Wiggins G Bogdan Bogdanovic UTIL Josh Jackson PG De'Anthony Melton SG Malik Beasley,,Andrew Wiggins,SF,11.00%,64.5
21,1361893482,petteytheft89 (2/3),0,274.75,C Joel Embiid SF Paul George UTIL Hassan Whiteside F Nemanja Bjelica PF Josh Jackson G De'Anthony Melton PG Jeremy Lin SG Torrey Craig,,Bradley Beal,SG,10.00%,40.25
22,1362206153,cheddabisque (3/3),0.54,274.25,F Kevin Durant C Domantas Sabonis PF Serge Ibaka UTIL Willie Cauley-Stein PG Trae Young SF Otto Porter Jr. G De'Anthony Melton SG Jeremy Lin,,Hassan Whiteside,C,10.00%,33.25
23,1362163593,moklovin (1/3),0,272.75,G Russell Westbrook C Joel Embiid F Bogdan Bogdanovic SG Fred VanVleet PF Josh Jackson UTIL De'Anthony Melton PG Jeremy Lin SF Furkan Korkmaz,,Kemba Walker,G,9.00%,27.5
24,1362407713,grip1king (2/2),8.54,272,G Russell Westbrook UTIL Kemba Walker F T.J. Warren SF Andrew Wiggins PG Trae Young C Guillermo Hernangómez SG Trey Burke PF Mario Hezonja,,Furkan Korkmaz,SF,9.00%,25
25,1362125799,ragingphilip (1/2),0.54,271.5,G Russell Westbrook UTIL Karl-Anthony Towns PF Domantas Sabonis C Enes Kanter SG Jeremy Lin SF Furkan Korkmaz PG Malik Beasley F Richaun Holmes,,Karl-Anthony Towns,C,8.00%,32.75
25,1362181467,ragingphilip (2/2),0.54,271.5,G Russell Westbrook UTIL Karl-Anthony Towns PF Domantas Sabonis C Enes Kanter SG Jeremy Lin SF Furkan Korkmaz PG Malik Beasley F Richaun Holmes,,Victor Oladipo,SG,8.00%,28.5
27,1361934151,gosixersgo76 (2/2),0.54,270.5,C Joel Embiid PF Domantas Sabonis G De'Aaron Fox F John Collins SF Bogdan Bogdanovic PG De'Anthony Melton SG Jeremy Lin UTIL Trey Burke,,Enes Kanter,C,8.00%,37
27,1362042885,clintavious,0.54,270.5,G Russell Westbrook SF Ben Simmons PG De'Aaron Fox C Enes Kanter SG Fred VanVleet UTIL Josh Jackson PF Dario Saric F Vince Carter,,Jimmy Butler,SG,7.00%,33.75
29,1362201191,Kobe4MVP (2/3),0,269.5,C Joel Embiid PF John Collins UTIL Willie Cauley-Stein SF Bogdan Bogdanovic PG Trae Young G Fred VanVleet F Josh Jackson SG Jeremy Lin,,Jamal Murray,PG,7.00%,34
30,1362064557,IamPGM,0.54,267.5,G Russell Westbrook UTIL Joel Embiid C Willie Cauley-Stein SG Fred VanVleet PF Josh Jackson PG De'Anthony Melton F Andre Iguodala SF Daniel Hamilton,,Trey Burke,UTIL,7.00%,12.75
31,1361880075,McJester,0.54,267.25,PG Russell Westbrook SG Victor Oladipo SF Jimmy Butler C Hassan Whiteside G Fred VanVleet F Kelly Oubre Jr. PF Dario Saric UTIL Trey Burke,,Ben Simmons,SF,7.00%,41.75
32,1362283253,JmoFoShoSUCKA (1/2),0,266.5,SF Paul George C Domantas Sabonis UTIL De'Aaron Fox PG Jeff Teague F Nemanja Bjelica PF Josh Jackson G De'Anthony Melton SG Jeremy Lin,,Dario Saric,PF,6.00%,28.75
33,1361883252,ChipotleAddict,0,264.75,G Russell Westbrook UTIL Deandre Ayton C Willie Cauley-Stein F Bogdan Bogdanovic PG Trae Young PF Josh Jackson SG Jeremy Lin SF Tyreke Evans,,Norman Powell,SG,6.00%,9.25
34,1362207836,twomindsbluff (1/2),4.27,264.5,PG Russell Westbrook UTIL De'Aaron Fox SF T.J. Warren SG Jamal Murray F Bogdan Bogdanovic C Marcin Gortat G De'Anthony Melton PF Mario Hezonja,,Alec Burks,PG,6.00%,32.75
35,1362131086,mazwa (1/3),0,264.25,UTIL Russell Westbrook C Karl-Anthony Towns F Bogdan Bogdanovic G Fred VanVleet SF Josh Jackson PG Alec Burks SG Jeremy Lin PF Richaun Holmes,,Jeff Teague,G,6.00%,27
