Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1362340921,moloch29,0,337.75,PG Russell Westbrook F T.J. Warren C Hassan Whiteside UTIL Willie Cauley-Stein SF Andrew Wiggins SG Jordan Clarkson G Kelly Oubre Jr. PF Dario Saric,,Josh Jackson,SF,60.56%,30
2,1362430703,djleet,0,329.25,F Domantas Sabonis PG De'Aaron Fox SF T.J. Warren PF John Collins C Willie Cauley-Stein G Andrew Wiggins SG Jordan Clarkson UTIL Jeremy Lin,,Bogdan Bogdanovic,SG,49.43%,18.75
3,1362590535,falkarelli,0,320.25,C Joel Embiid SF Kawhi Leonard UTIL Deandre Ayton F Andrew Wiggins PG Jeremy Lin G Kelly Oubre Jr. SG Furkan Korkmaz PF Kyle O'Quinn,,Joel Embiid,C,41.24%,41.5
4,1362453465,Gunner_chris,0,317.25,PG Russell Westbrook SG Bradley Beal PF John Collins C Tristan Thompson F Josh Jackson G De'Anthony Melton UTIL Jeremy Lin SF Justin Jackson,,De'Anthony Melton,PG,40.43%,37.5
5,1362222075,2TALLBILLY,0,316.75,SF Ben Simmons PF Domantas Sabonis PG De'Aaron Fox C Willie Cauley-Stein SG Andrew Wiggins UTIL Fred VanVleet F Josh Jackson G De'Anthony Melton,,Russell Westbrook,PG,34.21%,59.75
6,1362213670,l800Eddie,0,313.25,G Russell Westbrook C Deandre Ayton UTIL Willie Cauley-Stein SF Andrew Wiggins F Bogdan Bogdanovic PF Josh Jackson SG Jeremy Lin PG Cory Joseph,,De'Aaron Fox,G,33.22%,40.75
7,1361799477,EmileHeskey,0,311.75,PG Russell Westbrook UTIL De'Aaron Fox C Willie Cauley-Stein SF Andrew Wiggins F Nemanja Bjelica SG Fred VanVleet PF Josh Jackson G De'Anthony Melton,,Kyle O'Quinn,PF,32.08%,6.5
8,1362243565,Airtime226,0,309.25,C Nikola Jokic PF Domantas Sabonis PG De'Aaron Fox UTIL T.J. Warren G Andrew Wiggins SF Josh Jackson SG Jeremy Lin F Kyle O'Quinn,,Domantas Sabonis,C,27.50%,38.25
9,1362277305,srn828,1.92,307.75,UTIL Russell Westbrook F Paul George SF Andrew Wiggins PG Fred VanVleet PF Josh Jackson C Guillermo Hernangómez G De'Anthony Melton SG Jeremy Lin,,Jeremy Lin,SG,24.06%,36.5
10,1362387455,tj2312,1.92,307.5,UTIL Deandre Ayton F Tobias Harris SG Klay Thompson PF Thomas Bryant G Andrew Wiggins SF Otto Porter Jr. C Enes Kanter PG Jeremy Lin,,Nemanja Bjelica,F,22.42%,15.25
10,1362454290,broccoli166,1.92,307.5,PG Russell Westbrook SG Jamal Murray C Hassan Whiteside UTIL Willie Cauley-Stein F Montrezl Harrell SF Josh Jackson G De'Anthony Melton PF Kevon Looney,,T.J. Warren,F,21.11%,29.5
12,1362562148,shadfox30,0,306.5,F Domantas Sabonis PG De'Aaron Fox PF T.J. Warren G Andrew Wiggins SF Bogdan Bogdanovic C Tristan Thompson UTIL Enes Kanter SG Jordan Clarkson,,Willie Cauley-Stein,UTIL,19.97%,40.25
13,1362137447,hitemup20,0,306.25,SF Paul George C Nikola Jokic G De'Aaron Fox F Andrew Wiggins UTIL Fred VanVleet PG De'Anthony Melton SG Norman Powell PF Justin Jackson,,Guillermo Hernangómez,UTIL,18.82%,14.5
14,1361890037,Jrake,1.92,305,PG Russell Westbrook G De'Aaron Fox UTIL Willie Cauley-Stein SF Andrew Wiggins F Bogdan Bogdanovic PF Josh Jackson C Guillermo Hernangómez SG Jeremy Lin,,Furkan Korkmaz,G,17.51%,25
14,1361914347,KlairVoyant,1.92,305,PG Russell Westbrook G De'Aaron Fox UTIL Willie Cauley-Stein F Andrew Wiggins SF Bogdan Bogdanovic PF Josh Jackson C Guillermo Hernangómez SG Jeremy Lin,,Otto Porter Jr.,SF,16.53%,18.75
14,1362145509,rikkidee,1.92,305,PG Russell Westbrook G De'Aaron Fox C Willie Cauley-Stein SF Andrew Wiggins F Bogdan Bogdanovic PF Josh Jackson UTIL Guillermo Hernangómez SG Jeremy Lin,,Andrew Wiggins,SF,16.04%,64.5
14,1361862905,LuckyPapa,0,305,C Karl-Anthony Towns SG Bradley Beal UTIL Willie Cauley-Stein SF Andrew Wiggins PF Dewayne Dedmon F Josh Jackson G De'Anthony Melton PG Jeremy Lin,,Deandre Ayton,UTIL,15.55%,39.5
18,1361830945,jdoskorus,3.84,304.75,PF Kevin Durant PG De'Aaron Fox SG Klay Thompson G Josh Richardson F Andrew Wiggins C Enes Kanter SF Nicolas Batum UTIL Michael Kidd-Gilchrist,,Malik Beasley,SG,15.22%,12.25
19,1362110679,tinderella,0,300.25,SF Paul George UTIL De'Aaron Fox PG Jamal Murray SG Andrew Wiggins C Enes Kanter F Nemanja Bjelica PF Josh Jackson G De'Anthony Melton,,Paul George,F,14.89%,41.25
20,1362268728,papagates,0,298.75,G Russell Westbrook C Karl-Anthony Towns F Andrew Wiggins UTIL Enes Kanter PF Josh Jackson SF Josh Okogie SG Jeremy Lin PG Cory Joseph,,Bradley Beal,SG,14.24%,40.25
21,1361975997,thatdudesheff,3.84,298.25,SF Ben Simmons PG De'Aaron Fox G Klay Thompson F Montrezl Harrell UTIL Bogdan Bogdanovic C Enes Kanter PF Josh Jackson SG Shai Gilgeous-Alexander,,Fred VanVleet,SG,12.93%,23.75
22,1362459526,ackarmasports,0,298,C Joel Embiid SG Bradley Beal G Andrew Wiggins F Bogdan Bogdanovic UTIL Trae Young PF Josh Jackson PG De'Anthony Melton SF Mario Hezonja,,Jeff Teague,G,8.84%,27
23,1362000196,tholdwth28,0,297.75,F Kevin Durant G Stephen Curry PF John Collins PG Trae Young UTIL Josh Jackson SF DeAndre' Bembry SG Jeremy Lin C Richaun Holmes,,Hassan Whiteside,C,8.51%,33.25
24,1362555216,jandreozzi,1.92,297.25,PG Russell Westbrook C Joel Embiid UTIL De'Aaron Fox F Nicolas Batum G De'Anthony Melton SG Jeremy Lin PF Dario Saric SF Furkan Korkmaz,,Kemba Walker,G,8.02%,27.5
24,1362136488,JeffElJefe,0,297.25,SG Stephen Curry G De'Aaron Fox C Hassan Whiteside UTIL Willie Cauley-Stein F Bogdan Bogdanovic PF Paul Millsap PG Jeremy Lin SF Kelly Oubre Jr.,,Ben Simmons,PG,8.02%,41.75
26,1362186280,DangL96,0,296.75,G Russell Westbrook UTIL Deandre Ayton C Willie Cauley-Stein F Andrew Wiggins SG Bogdan Bogdanovic SF Josh Jackson PG De'Anthony Melton PF Kyle O'Quinn,,John Collins,PF,7.69%,44.5
27,1362391323,Lemerex,0,296.5,C Nikola Jokic PG Ben Simmons SF Andrew Wiggins PF Paul Millsap G Bojan Bogdanovic F Josh Jackson UTIL James Johnson SG T.J. McConnell,,Monte Morris,G,7.53%,9
28,1361733588,SlowQueen,1.92,296.25,PG Russell Westbrook C Domantas Sabonis UTIL Willie Cauley-Stein F Montrezl Harrell PF Larry Nance Jr. SF Josh Jackson G De'Anthony Melton SG Jeremy Lin,,Karl-Anthony Towns,C,6.55%,32.75
29,1362076309,fjbourne,0,295.75,PG Russell Westbrook C Joel Embiid UTIL Willie Cauley-Stein F Andrew Wiggins G De'Anthony Melton SG Jeremy Lin SF Norman Powell PF Kyle O'Quinn,,Dario Saric,UTIL,6.55%,28.75
30,1362110545,manonacloud79,1.92,295.25,PG Stephen Curry PF T.J. Warren SG Klay Thompson SF Andrew Wiggins G Bogdan Bogdanovic F Josh Jackson UTIL Alec Burks C Marcin Gortat,,Larry Nance Jr.,PF,6.22%,4.75
31,1362266255,Blomo3221,0,295,C Karl-Anthony Towns UTIL Deandre Ayton PG De'Aaron Fox SG Andrew Wiggins SF Otto Porter Jr. F Josh Jackson G De'Anthony Melton PF Mario Hezonja,,Mario Hezonja,F,5.89%,31.25
