Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1362197690,cheddabisque (20/50),1.92,356,C Nikola Jokic F Tobias Harris PF Domantas Sabonis UTIL Willie Cauley-Stein SG Andrew Wiggins SF Josh Jackson PG Jeremy Lin G Kelly Oubre Jr.,,Josh Jackson,SF,57.70%,30
2,1361831338,shawnzhan (40/50),0,347,PF Paul George UTIL Deandre Ayton G De'Aaron Fox C Willie Cauley-Stein SF Andrew Wiggins PG De'Anthony Melton SG Jeremy Lin F Kelly Oubre Jr.,,Bogdan Bogdanovic,SG,46.20%,18.75
3,1362551444,EmileHeskey (8/10),0,345,PG Russell Westbrook UTIL De'Aaron Fox SF Josh Richardson C Willie Cauley-Stein SG Andrew Wiggins PF Josh Jackson G De'Anthony Melton F Kelly Oubre Jr.,,De'Anthony Melton,PG,39.42%,37.5
4,1362192563,Kobe4MVP (19/50),0,339.5,SF Kawhi Leonard PF John Collins UTIL Hassan Whiteside F Andrew Wiggins C Tristan Thompson G Trae Young SG Fred VanVleet PG Jeremy Lin,,Russell Westbrook,G,36.97%,59.75
5,1361893474,petteytheft89 (44/50),0,338.25,PG Russell Westbrook C Deandre Ayton UTIL De'Aaron Fox PF John Collins F Josh Jackson G De'Anthony Melton SF Kelly Oubre Jr. SG Torrey Craig,,Jeremy Lin,SG,35.23%,36.5
6,1362047094,bric75 (18/20),1.92,338,F Kawhi Leonard PF Domantas Sabonis C Steven Adams G Klay Thompson UTIL Montrezl Harrell SF DeAndre' Bembry PG Jeremy Lin SG Furkan Korkmaz,,De'Aaron Fox,G,33.61%,40.75
7,1362170409,nas30,0,336.5,SG Victor Oladipo PG De'Aaron Fox C Steven Adams PF John Collins SF Andrew Wiggins UTIL Enes Kanter G Jordan Clarkson F Kelly Oubre Jr.,,Joel Embiid,C,33.13%,41.5
8,1361883155,ChipotleAddict (22/50),0,333.75,G Russell Westbrook F Paul George SF Andrew Wiggins PG Trae Young PF Josh Jackson UTIL De'Anthony Melton SG Jeremy Lin C Richaun Holmes,,Willie Cauley-Stein,UTIL,28.46%,40.25
9,1362616508,papagates (33/50),1.92,333.25,PG Russell Westbrook C Willie Cauley-Stein F Montrezl Harrell SF Andrew Wiggins G Emmanuel Mudiay UTIL Enes Kanter PF Josh Jackson SG Jeremy Lin,,Nemanja Bjelica,F,23.19%,15.25
10,1362223095,ThatStunna (11/11),0,331.5,PG Russell Westbrook PF Domantas Sabonis C Hassan Whiteside UTIL Willie Cauley-Stein F Andrew Wiggins SF DeAndre' Bembry G De'Anthony Melton SG Furkan Korkmaz,,Kyle O'Quinn,PF,21.09%,6.5
11,1361872170,youdacao (34/50),0,331.25,PG Russell Westbrook UTIL De'Aaron Fox C Hassan Whiteside SG Andrew Wiggins F Bogdan Bogdanovic PF Josh Jackson G De'Anthony Melton SF Kelly Oubre Jr.,,Domantas Sabonis,PF,19.59%,38.25
12,1361893453,petteytheft89 (23/50),0,329.25,C Joel Embiid UTIL De'Aaron Fox SG Jamal Murray SF Andrew Wiggins PG Trae Young PF Josh Jackson G De'Anthony Melton F Kelly Oubre Jr.,,Fred VanVleet,UTIL,18.69%,23.75
13,1362627320,nabs1976 (7/11),0,326,UTIL Nikola Jokic PF Domantas Sabonis G Klay Thompson C Pascal Siakam SG Andrew Wiggins SF Otto Porter Jr. PG Jeremy Lin F Daniel Hamilton,,Andrew Wiggins,SF,18.33%,64.5
14,1361883143,ChipotleAddict (10/50),0,324.75,G Russell Westbrook C Deandre Ayton UTIL De'Aaron Fox SF Andrew Wiggins SG Fred VanVleet F Josh Jackson PG Jeremy Lin PF Richaun Holmes,,Guillermo Hernangómez,C,18.27%,14.5
15,1361872145,youdacao (9/50),0,324.25,G Russell Westbrook C John Collins SF Andrew Wiggins F Bogdan Bogdanovic PG Trae Young SG Jordan Clarkson PF Josh Jackson UTIL De'Anthony Melton,,Deandre Ayton,C,17.97%,39.5
16,1362407982,DarkPools,0,324,PF Paul George G De'Aaron Fox C Hassan Whiteside UTIL Willie Cauley-Stein SF Andrew Wiggins F Josh Jackson PG De'Anthony Melton SG Jeremy Lin,,Bradley Beal,SG,16.42%,40.25
17,1361883137,ChipotleAddict (4/50),0,323.25,PG Russell Westbrook UTIL Deandre Ayton C Willie Cauley-Stein SF Andrew Wiggins PF Nemanja Bjelica F Josh Jackson G De'Anthony Melton SG Jeremy Lin,,Paul George,SF,15.46%,41.25
18,1362017070,ERIII (1/2),3.84,322.25,SF Paul George G De'Aaron Fox C John Collins F Montrezl Harrell SG Andrew Wiggins PF Josh Jackson UTIL Guillermo Hernangómez PG De'Anthony Melton,,Furkan Korkmaz,SG,15.10%,25
19,1362197708,cheddabisque (38/50),1.92,320.75,PG Russell Westbrook PF John Collins C Willie Cauley-Stein SG Andrew Wiggins F Nemanja Bjelica UTIL Marvin Williams SF Josh Jackson G De'Anthony Melton,,Malik Beasley,SG,14.92%,12.25
19,1362268660,papagates (9/50),0,320.75,G Russell Westbrook SG Bradley Beal SF Andrew Wiggins C Enes Kanter F Nemanja Bjelica PF Josh Jackson UTIL De'Anthony Melton PG Jeremy Lin,,T.J. Warren,F,13.54%,29.5
21,1362047079,bric75 (3/20),1.92,320,SF Kawhi Leonard SG Bradley Beal UTIL Klay Thompson G Jamal Murray F Andrew Wiggins C Bismack Biyombo PG Jeremy Lin PF Jonas Jerebko,,Hassan Whiteside,C,12.64%,33.25
21,1362146433,TeeJayOrTj (16/20),1.92,320,SF Paul George G De'Aaron Fox PF John Collins C Willie Cauley-Stein UTIL Montrezl Harrell F Josh Jackson PG De'Anthony Melton SG Jeremy Lin,,Otto Porter Jr.,SF,12.34%,18.75
21,1362192570,Kobe4MVP (26/50),1.92,320,SF Tobias Harris PF Domantas Sabonis G De'Aaron Fox F John Collins SG Andrew Wiggins C Tristan Thompson UTIL Jerami Grant PG Jeremy Lin,,John Collins,PF,11.14%,44.5
24,1362298247,RoyaleWthCheez3,0,319.75,PF Paul George C Nikola Jokic UTIL Deandre Ayton F Andrew Wiggins PG De'Anthony Melton G Jeremy Lin SF Furkan Korkmaz SG Malik Beasley,,Karl-Anthony Towns,C,9.41%,32.75
25,1361910481,mrgoodseats (23/50),0,318.5,PG Russell Westbrook C Deandre Ayton UTIL De'Aaron Fox SG Andrew Wiggins PF Nemanja Bjelica SF Josh Jackson G De'Anthony Melton F Mario Hezonja,,Trae Young,PG,9.23%,34.25
26,1362297775,fluffhead3,0,318,PG Russell Westbrook PF John Collins C Hassan Whiteside UTIL Willie Cauley-Stein G Andrew Wiggins SG Alec Burks SF Josh Okogie F Dario Saric,,Alec Burks,PG,7.73%,32.75
27,1361831325,shawnzhan (27/50),3.84,317.75,G Russell Westbrook C Deandre Ayton F Montrezl Harrell SF Andrew Wiggins SG Fred VanVleet PF Josh Jackson UTIL Guillermo Hernangómez PG Jeremy Lin,,Enes Kanter,C,7.37%,37
