Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1362410990,squirrelpatroldk (2/2),0,327.75,G Russell Westbrook UTIL Draymond Green C John Collins F Andrew Wiggins SG Fred VanVleet PF Josh Jackson SF DeAndre' Bembry PG Jeremy Lin,,Josh Jackson,SF,76.27%,30
2,1361899210,csmaniac,0,320.25,PG Russell Westbrook UTIL Deandre Ayton C Willie Cauley-Stein SG Andrew Wiggins F Bogdan Bogdanovic SF Josh Jackson G De'Anthony Melton PF Richaun Holmes,,Bogdan Bogdanovic,SG,54.24%,18.75
3,1361858400,LuckyPapa,0,305,C Karl-Anthony Towns SG Bradley Beal UTIL Willie Cauley-Stein SF Andrew Wiggins PF Dewayne Dedmon F Josh Jackson G De'Anthony Melton PG Jeremy Lin,,Russell Westbrook,PG,54.24%,59.75
4,1362268797,papagates (1/2),0,298.75,G Russell Westbrook C Karl-Anthony Towns F Andrew Wiggins UTIL Enes Kanter PF Josh Jackson SF Josh Okogie SG Jeremy Lin PG Cory Joseph,,De'Anthony Melton,PG,50.85%,37.5
5,1362127860,JeffElJefe (1/2),0,297.25,SG Stephen Curry G De'Aaron Fox C Hassan Whiteside UTIL Willie Cauley-Stein F Bogdan Bogdanovic PF Paul Millsap PG Jeremy Lin SF Kelly Oubre Jr.,,Jeremy Lin,SG,45.76%,36.5
6,1362122738,JoeBucksSafeWord (1/2),0,292.75,G Russell Westbrook UTIL Nikola Jokic F Domantas Sabonis C Tristan Thompson SG Alec Burks SF Norman Powell PG Delon Wright PF Richaun Holmes,,De'Aaron Fox,G,38.98%,40.75
7,1361831426,shawnzhan (1/2),0,289.5,SF Paul George UTIL De'Aaron Fox PF John Collins C Willie Cauley-Stein G Bogdan Bogdanovic F Josh Jackson PG De'Anthony Melton SG Jeremy Lin,,Joel Embiid,C,33.90%,41.5
8,1362410989,squirrelpatroldk (1/2),0,288.75,UTIL Russell Westbrook C Joel Embiid G Andrew Wiggins SG Fred VanVleet SF Josh Jackson PF Taj Gibson PG Jeremy Lin F Harry Giles,,Willie Cauley-Stein,UTIL,32.20%,40.25
9,1362616516,papagates (2/2),0,288.5,G Russell Westbrook C Deandre Ayton SG Andrew Wiggins F Bogdan Bogdanovic UTIL Emmanuel Mudiay SF Josh Jackson PG Jeremy Lin PF Kevon Looney,,Nemanja Bjelica,PF,23.73%,15.25
10,1361827223,JmoFoShoSUCKA (2/2),1.92,287,PG Ben Simmons G De'Aaron Fox C Hassan Whiteside UTIL Willie Cauley-Stein F Montrezl Harrell SF Nemanja Bjelica PF Josh Jackson SG Jeremy Lin,,Fred VanVleet,SG,22.03%,23.75
11,1362203000,cheddabisque (1/2),0,286.75,PG Russell Westbrook C Domantas Sabonis UTIL Willie Cauley-Stein G Andrew Wiggins F Bogdan Bogdanovic PF Josh Jackson SF Cedi Osman SG Malik Beasley,,T.J. Warren,F,20.34%,29.5
12,1362332560,ebor1973 (1/2),5.76,285.25,PG Russell Westbrook UTIL Tobias Harris SG Lou Williams C Enes Kanter PF Marvin Williams SF Josh Jackson F Taj Gibson G Furkan Korkmaz,,Kyle O'Quinn,PF,20.34%,6.5
13,1362640791,ChipotleAddict (2/2),0,280.75,G Russell Westbrook UTIL Deandre Ayton PF Serge Ibaka C Willie Cauley-Stein SG Fred VanVleet SF Josh Jackson PG Jeremy Lin F Kevon Looney,,Deandre Ayton,UTIL,20.34%,39.5
