Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1362046473,bric75 (33/55),0,366,G Russell Westbrook C Nikola Jokic UTIL Willie Cauley-Stein SG Andrew Wiggins PF Josh Jackson PG Jeremy Lin F Kelly Oubre Jr. SF Furkan Korkmaz,,Josh Jackson,SF,58.87%,30
2,1362160424,moklovin (36/55),1.92,358.5,PG Russell Westbrook UTIL De'Aaron Fox C Willie Cauley-Stein F Montrezl Harrell SF Andrew Wiggins PF Josh Jackson G De'Anthony Melton SG Jeremy Lin,,Bogdan Bogdanovic,SG,43.61%,18.75
3,1362197739,cheddabisque (20/50),1.92,356,C Nikola Jokic F Tobias Harris PF Domantas Sabonis UTIL Willie Cauley-Stein SG Andrew Wiggins SF Josh Jackson PG Jeremy Lin G Kelly Oubre Jr.,,De'Anthony Melton,PG,42.53%,37.5
4,1361806137,EmileHeskey (28/55),0,349.5,PG Russell Westbrook PF Domantas Sabonis UTIL Willie Cauley-Stein SF Andrew Wiggins C Tristan Thompson F Josh Jackson G De'Anthony Melton SG Jeremy Lin,,Russell Westbrook,G,35.42%,59.75
5,1361831409,shawnzhan (40/55),0,347,PF Paul George UTIL Deandre Ayton G De'Aaron Fox C Willie Cauley-Stein SF Andrew Wiggins PG De'Anthony Melton SG Jeremy Lin F Kelly Oubre Jr.,,Jeremy Lin,PG,33.58%,36.5
6,1361806117,EmileHeskey (8/55),0,345,PG Russell Westbrook UTIL De'Aaron Fox SF Josh Richardson C Willie Cauley-Stein SG Andrew Wiggins PF Josh Jackson G De'Anthony Melton F Kelly Oubre Jr.,,De'Aaron Fox,G,32.94%,40.75
7,1362192613,Kobe4MVP (19/50),0,339.5,SF Kawhi Leonard PF John Collins UTIL Hassan Whiteside F Andrew Wiggins C Tristan Thompson G Trae Young SG Fred VanVleet PG Jeremy Lin,,Joel Embiid,C,31.27%,41.5
8,1361893547,petteytheft89 (44/55),0,338.25,PG Russell Westbrook C Deandre Ayton UTIL De'Aaron Fox PF John Collins F Josh Jackson G De'Anthony Melton SF Kelly Oubre Jr. SG Torrey Craig,,Willie Cauley-Stein,UTIL,30.30%,40.25
9,1361806151,EmileHeskey (42/55),1.92,337,PG Russell Westbrook C Deandre Ayton UTIL Willie Cauley-Stein SF Andrew Wiggins F Marvin Williams PF Josh Jackson G De'Anthony Melton SG Jeremy Lin,,Nemanja Bjelica,F,21.94%,15.25
9,1361883082,ChipotleAddict (4/55),1.92,337,PG Russell Westbrook UTIL Deandre Ayton C Willie Cauley-Stein SF Andrew Wiggins F Marvin Williams PF Josh Jackson G De'Anthony Melton SG Jeremy Lin,,Andrew Wiggins,SF,20.05%,64.5
11,1362268624,papagates (28/55),0,334.5,C Nikola Jokic SF Kawhi Leonard UTIL Willie Cauley-Stein F Andrew Wiggins G Emmanuel Mudiay PF Josh Jackson SG Jeremy Lin PG Cory Joseph,,Fred VanVleet,SG,19.95%,23.75
12,1362046460,bric75 (20/55),0,334,G Russell Westbrook C Deandre Ayton UTIL Klay Thompson SF Andrew Wiggins PF Dewayne Dedmon F Josh Jackson SG Jeremy Lin PG Cory Joseph,,Domantas Sabonis,F,18.27%,38.25
13,1362268631,papagates (35/55),1.92,333.25,PG Russell Westbrook C Willie Cauley-Stein F Montrezl Harrell SF Andrew Wiggins G Emmanuel Mudiay UTIL Enes Kanter PF Josh Jackson SG Jeremy Lin,,Kyle O'Quinn,PF,17.90%,6.5
14,1362160416,moklovin (28/55),0,332.25,SF Kawhi Leonard G De'Aaron Fox PF John Collins C Hassan Whiteside UTIL Willie Cauley-Stein F Andrew Wiggins SG Furkan Korkmaz PG Cory Joseph,,Deandre Ayton,UTIL,17.30%,39.5
15,1362223075,ThatStunna (11/19),0,331.5,PG Russell Westbrook PF Domantas Sabonis C Hassan Whiteside UTIL Willie Cauley-Stein F Andrew Wiggins SF DeAndre' Bembry G De'Anthony Melton SG Furkan Korkmaz,,Paul George,SF,17.20%,41.25
16,1361893526,petteytheft89 (23/55),0,329.25,C Joel Embiid UTIL De'Aaron Fox SG Jamal Murray SF Andrew Wiggins PG Trae Young PF Josh Jackson G De'Anthony Melton F Kelly Oubre Jr.,,Furkan Korkmaz,SG,16.23%,25
