Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1362329072,pianoclub,0,264.75,G Russell Westbrook C Deandre Ayton UTIL Willie Cauley-Stein SF Otto Porter Jr. PG Fred VanVleet F Josh Jackson PF Jerami Grant SG Jeremy Lin,,Josh Jackson,SF,100.00%,30
2,1362308305,MakeItRain84,0,258.5,PG Russell Westbrook UTIL De'Aaron Fox C Willie Cauley-Stein SG Bogdan Bogdanovic F Nemanja Bjelica SF Josh Jackson PF Jerami Grant G De'Anthony Melton,,Russell Westbrook,PG,80.00%,59.75
3,1362370277,youdacao,2.45,255.75,PG Russell Westbrook PF Domantas Sabonis UTIL De'Aaron Fox SG Bogdan Bogdanovic SF Josh Jackson F Jerami Grant C Guillermo Hernang?mez G De'Anthony Melton,,Bogdan Bogdanovic,SG,80.00%,18.75
4,1362574926,EmpireMaker2,0,245.75,PG Russell Westbrook C Joel Embiid SF Bogdan Bogdanovic F Nemanja Bjelica UTIL Josh Jackson G De'Anthony Melton SG Jeremy Lin PF Kyle O'Quinn,,De'Anthony Melton,G,80.00%,37.5
5,1362586512,wakeywakey,0,229.75,C Joel Embiid UTIL Deandre Ayton PG De'Aaron Fox SG Bogdan Bogdanovic F Nemanja Bjelica SF Josh Jackson G De'Anthony Melton PF Kyle O'Quinn,,De'Aaron Fox,UTIL,60.00%,40.75
,,,,,,,Nemanja Bjelica,F,60.00%,15.25
,,,,,,,Jerami Grant,PF,60.00%,16.25
,,,,,,,Willie Cauley-Stein,C,40.00%,40.25
,,,,,,,Deandre Ayton,C,40.00%,39.5
,,,,,,,Jeremy Lin,SG,40.00%,36.5
,,,,,,,Joel Embiid,C,40.00%,41.5
,,,,,,,Kyle O'Quinn,PF,40.00%,6.5
,,,,,,,Otto Porter Jr.,SF,20.00%,18.75
,,,,,,,Fred VanVleet,PG,20.00%,23.75
,,,,,,,Domantas Sabonis,PF,20.00%,38.25
,,,,,,,Guillermo Hernang?mez,C,20.00%,14.5
