Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1361893563,petteytheft89,0,274.5,SF Paul George UTIL De'Aaron Fox C Hassan Whiteside SG Josh Richardson PG Trae Young PF Nemanja Bjelica G De'Anthony Melton F Kelly Oubre Jr.,,Bogdan Bogdanovic,SG,87.50%,18.75
1,1361898027,youdacao,0,274.5,PG Russell Westbrook PF Domantas Sabonis C Hassan Whiteside UTIL Willie Cauley-Stein F Bogdan Bogdanovic SF Josh Jackson G De'Anthony Melton SG Delon Wright,,Josh Jackson,SF,75.00%,30
3,1362163378,moklovin,0,272.75,G Russell Westbrook C Joel Embiid F Bogdan Bogdanovic SG Fred VanVleet PF Josh Jackson UTIL De'Anthony Melton PG Jeremy Lin SF Furkan Korkmaz,,De'Anthony Melton,G,75.00%,37.5
4,1361923399,MakeItRain84,0,258.5,PG Russell Westbrook UTIL De'Aaron Fox C Willie Cauley-Stein SG Bogdan Bogdanovic F Nemanja Bjelica SF Josh Jackson PF Jerami Grant G De'Anthony Melton,,De'Aaron Fox,PG,50.00%,40.75
5,1362165179,thekingofqueens,0,256.75,C Joel Embiid UTIL Deandre Ayton G De'Aaron Fox F Bogdan Bogdanovic SG Fred VanVleet PF Josh Jackson PG De'Anthony Melton SF Furkan Korkmaz,,Russell Westbrook,PG,50.00%,59.75
6,1362087541,Awesemo,0,244.5,SG Bradley Beal PF Domantas Sabonis F T.J. Warren C Serge Ibaka G Bogdan Bogdanovic PG Fred VanVleet SF Josh Jackson UTIL Jeremy Lin,,Fred VanVleet,PG,50.00%,23.75
7,1361943814,pianoclub,0,240.75,UTIL Russell Westbrook G Kyle Lowry F John Collins SF Bogdan Bogdanovic PF Larry Nance Jr. PG Fred VanVleet SG Jeremy Lin C Jonas Jerebko,,Joel Embiid,C,37.50%,41.5
8,1361823324,hoop2410,0,229.75,C Joel Embiid UTIL Deandre Ayton PG De'Aaron Fox SG Bogdan Bogdanovic F Nemanja Bjelica SF Josh Jackson G De'Anthony Melton PF Kyle O'Quinn,,Nemanja Bjelica,F,37.50%,15.25
,,,,,,,Jeremy Lin,SG,37.50%,36.5
,,,,,,,Deandre Ayton,UTIL,25.00%,39.5
,,,,,,,Hassan Whiteside,C,25.00%,33.25
,,,,,,,Domantas Sabonis,PF,25.00%,38.25
,,,,,,,Willie Cauley-Stein,UTIL,25.00%,40.25
,,,,,,,Furkan Korkmaz,SF,25.00%,25
,,,,,,,Kyle O'Quinn,PF,12.50%,6.5
,,,,,,,Paul George,SF,12.50%,41.25
,,,,,,,Josh Richardson,SG,12.50%,25.5
,,,,,,,Trae Young,PG,12.50%,34.25
,,,,,,,Kelly Oubre Jr.,F,12.50%,46.75
,,,,,,,Delon Wright,SG,12.50%,16.75
,,,,,,,Jerami Grant,PF,12.50%,16.25
,,,,,,,Kyle Lowry,G,12.50%,37.5
,,,,,,,John Collins,F,12.50%,44.5
,,,,,,,Larry Nance Jr.,PF,12.50%,4.75
,,,,,,,Jonas Jerebko,C,12.50%,15.25
,,,,,,,Bradley Beal,SG,12.50%,40.25
,,,,,,,T.J. Warren,F,12.50%,29.5
,,,,,,,Serge Ibaka,C,12.50%,27.5
