Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1362329073,pianoclub,2.45,288.25,C Joel Embiid SF Kawhi Leonard PF John Collins PG Fred VanVleet F Josh Jackson UTIL Guillermo Hernang?mez G De'Anthony Melton SG Jeremy Lin,,Josh Jackson,SF,100.00%,30
2,1362278526,moklovin,0,272.75,G Russell Westbrook C Joel Embiid F Bogdan Bogdanovic SG Fred VanVleet PF Josh Jackson UTIL De'Anthony Melton PG Jeremy Lin SF Furkan Korkmaz,,De'Anthony Melton,G,100.00%,37.5
3,1362313280,MakeItRain84,0,258.5,PG Russell Westbrook UTIL De'Aaron Fox C Willie Cauley-Stein SG Bogdan Bogdanovic F Nemanja Bjelica SF Josh Jackson PF Jerami Grant G De'Anthony Melton,,Russell Westbrook,PG,83.33%,59.75
4,1362370278,youdacao,2.45,255.75,PG Russell Westbrook PF Domantas Sabonis UTIL De'Aaron Fox SG Bogdan Bogdanovic SF Josh Jackson F Jerami Grant C Guillermo Hernang?mez G De'Anthony Melton,,Bogdan Bogdanovic,SG,83.33%,18.75
5,1362232602,mrgoodseats,2.45,248.5,PG Russell Westbrook C Joel Embiid SG Bogdan Bogdanovic PF Nemanja Bjelica SF Josh Jackson UTIL Guillermo Hernang?mez G De'Anthony Melton F Mario Hezonja,,Joel Embiid,C,66.67%,41.5
6,1362250920,EmpireMaker2,0,245.75,PG Russell Westbrook C Joel Embiid SF Bogdan Bogdanovic F Nemanja Bjelica UTIL Josh Jackson G De'Anthony Melton SG Jeremy Lin PF Kyle O'Quinn,,Nemanja Bjelica,PF,50.00%,15.25
,,,,,,,Guillermo Hernang?mez,UTIL,50.00%,14.5
,,,,,,,Jeremy Lin,SG,50.00%,36.5
,,,,,,,Fred VanVleet,SG,33.33%,23.75
,,,,,,,De'Aaron Fox,UTIL,33.33%,40.75
,,,,,,,Jerami Grant,PF,33.33%,16.25
,,,,,,,Mario Hezonja,F,16.67%,31.25
,,,,,,,Kyle O'Quinn,PF,16.67%,6.5
,,,,,,,Furkan Korkmaz,SF,16.67%,25
,,,,,,,Willie Cauley-Stein,C,16.67%,40.25
,,,,,,,Kawhi Leonard,SF,16.67%,60
,,,,,,,John Collins,PF,16.67%,44.5
,,,,,,,Domantas Sabonis,PF,16.67%,38.25
