Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1367404279,acs108,0,353.5,G Russell Westbrook C Karl-Anthony Towns PF Aaron Gordon UTIL Derrick Favors SG Dennis Schroder SF Kelly Oubre Jr. F Royce O'Neale PG Tyus Jones,,Royce O'Neale,SF,82.94%,33.25
1,1368175094,codarius,0,353.5,G Russell Westbrook C Karl-Anthony Towns PF Aaron Gordon UTIL Derrick Favors SG Dennis Schroder SF Kelly Oubre Jr. F Royce O'Neale PG Tyus Jones,,Anthony Davis,C,52.48%,53.5
3,1367809052,MILE_HIGH21,0,350.5,PF Anthony Davis C Karl-Anthony Towns SG Donovan Mitchell UTIL Kelly Oubre Jr. G Bryn Forbes F Royce O'Neale PG Tyus Jones SF Marco Belinelli,,Donovan Mitchell,SG,45.00%,55.5
4,1367421161,DJV5490,0,345.25,C Karl-Anthony Towns G DeMar DeRozan SG Jrue Holiday PF Julius Randle PG Dennis Schroder F Kelly Oubre Jr. UTIL Royce O'Neale SF Davis Bertans,,Jeff Teague,G,43.60%,17.75
4,1368051412,B_Heals152,0,345.25,C Karl-Anthony Towns G DeMar DeRozan SG Jrue Holiday PF Julius Randle PG Dennis Schroder F Kelly Oubre Jr. UTIL Royce O'Neale SF Davis Bertans,,Derrick Favors,F,43.60%,24.75
6,1366645687,jburian,0,342.5,PF Anthony Davis SG Donovan Mitchell C Rudy Gobert UTIL De'Anthony Melton G Dennis Schroder F Kelly Oubre Jr. SF Royce O'Neale PG Tyus Jones,,Joe Ingles,SF,41.60%,26
7,1368164557,DShowers85,0,339,UTIL Karl-Anthony Towns C Nikola Vucevic PG Donovan Mitchell G De'Anthony Melton SG Dennis Schroder SF Kelly Oubre Jr. PF Taj Gibson F Royce O'Neale,,Karl-Anthony Towns,C,37.08%,78.75
8,1368207371,bmosley21,0,338,C Karl-Anthony Towns F Buddy Hield SF Aaron Gordon SG Joe Ingles UTIL Josh Jackson PG Elfrid Payton PF Al Horford G Kelly Oubre Jr.,,Dennis Schroder,SG,34.90%,37.25
9,1368128571,bdeakins4,0,337.5,UTIL Russell Westbrook C Karl-Anthony Towns SF Josh Jackson PF Derrick Favors SG Dennis Schroder G Kelly Oubre Jr. F Royce O'Neale PG Tyus Jones,,Richaun Holmes,PF,24.98%,24.25
10,1366592345,tr1balman,0,336.75,PG Russell Westbrook C Karl-Anthony Towns PF Aaron Gordon SG Dennis Schroder SF Evan Fournier F Kelly Oubre Jr. UTIL Guillermo Hernangómez G Tyus Jones,,Jae Crowder,PF,22.28%,18.75
10,1366710136,AllyAngel44,0,336.75,G Russell Westbrook C Karl-Anthony Towns PF Aaron Gordon SG Dennis Schroder SF Evan Fournier F Kelly Oubre Jr. UTIL Guillermo Hernangómez PG Tyus Jones,,Josh Jackson,UTIL,19.58%,31
12,1366215927,EmileHeskey,0,334,PF Anthony Davis C Karl-Anthony Towns G Joe Ingles F Derrick Favors PG Dennis Schroder SG Kelly Oubre Jr. SF Josh Okogie UTIL Royce O'Neale,,Andrew Wiggins,UTIL,18.45%,28.75
13,1366451913,Bbondsmvp,0,332.5,PF Anthony Davis C Karl-Anthony Towns G Kemba Walker SG Dennis Schroder F Kelly Oubre Jr. SF Royce O'Neale PG Tyus Jones UTIL Pau Gasol,,Kelly Oubre Jr.,F,16.88%,52.25
14,1366513960,jonathansullivan2,0,331.5,PF Anthony Davis C Karl-Anthony Towns G Jeremy Lamb UTIL Derrick Favors PG Dennis Schroder SG Evan Fournier SF Kelly Oubre Jr. F Royce O'Neale,,Rudy Gobert,UTIL,16.36%,51.75
15,1368214718,bellmv99,0,330.5,PF Anthony Davis PG Donovan Mitchell C Rudy Gobert SG Dennis Schroder UTIL Jae Crowder G Kelly Oubre Jr. F Kyle Korver SF Royce O'Neale,,Patty Mills,PG,16.10%,12
16,1367215079,TSSF123,0,329,UTIL Russell Westbrook C Karl-Anthony Towns F Jeremy Lamb PF Derrick Favors PG Dennis Schroder SG Evan Fournier G Kelly Oubre Jr. SF Royce O'Neale,,Tyus Jones,PG,14.01%,29.25
16,1368174226,0973schwabd,0,329,UTIL Russell Westbrook C Karl-Anthony Towns F Jeremy Lamb PF Derrick Favors PG Dennis Schroder SG Evan Fournier G Kelly Oubre Jr. SF Royce O'Neale,,Bryn Forbes,G,12.79%,21
18,1368170239,oargueta,0,328.75,UTIL Karl-Anthony Towns G Donovan Mitchell PF LaMarcus Aldridge SG Joe Ingles PG Dennis Schroder SF Kelly Oubre Jr. C Guillermo Hernangómez F Royce O'Neale,,Kemba Walker,PG,12.27%,39.25
19,1367602509,outfortheseason,0,328.25,C Karl-Anthony Towns UTIL Rudy Gobert SG Buddy Hield PG Zach LaVine PF Lauri Markkanen G Dennis Schroder SF Evan Fournier F Royce O'Neale,,Taj Gibson,F,12.18%,13
20,1366551882,Westy121997,0,327,PF Anthony Davis C Karl-Anthony Towns SF Joe Ingles UTIL Derrick Favors PG Dennis Schroder F Kelly Oubre Jr. SG Malik Beasley G Tyus Jones,,Russell Westbrook,PG,11.40%,51
20,1366557377,Flip4Flop,0,327,F Anthony Davis C Karl-Anthony Towns PG Donovan Mitchell SG Dennis Schroder G Kelly Oubre Jr. UTIL Royce O'Neale PF Jonathan Isaac SF Jonathon Simmons,,Bogdan Bogdanovic,G,9.75%,31.75
