Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1368302374,Blopez0065,0,353.25,PF Anthony Davis UTIL Karl-Anthony Towns SG Donovan Mitchell PG De'Anthony Melton G Kelly Oubre Jr. SF Royce O'Neale F Richaun Holmes C Khem Birch,,Royce O'Neale,F,59.86%,33.25
2,1366224723,EmileHeskey,0,342.75,PF Anthony Davis C Karl-Anthony Towns G Zach LaVine F Derrick Favors PG Dennis Schroder SG Kelly Oubre Jr. SF Josh Okogie UTIL Royce O'Neale,,Anthony Davis,C,47.51%,53.5
3,1368293656,bleacherbum099,0,341,PF Anthony Davis C Karl-Anthony Towns F Joe Ingles UTIL Elfrid Payton G Dennis Schroder SG Kelly Oubre Jr. SF Royce O'Neale PG Tyus Jones,,Karl-Anthony Towns,C,31.73%,78.75
4,1368236185,ackarmasports,0,340.75,PF Anthony Davis UTIL Karl-Anthony Towns G Elfrid Payton C Derrick Favors PG Dennis Schroder SG Evan Fournier SF Kelly Oubre Jr. F Royce O'Neale,,Donovan Mitchell,SG,31.73%,55.5
5,1367675685,jeramiah44,0,340.25,PG Russell Westbrook C Karl-Anthony Towns PF Aaron Gordon G De'Anthony Melton SG Dennis Schroder SF Kelly Oubre Jr. UTIL Guillermo Hernangómez F Royce O'Neale,,Derrick Favors,F,30.02%,24.75
6,1368207679,sportscards,0,338.75,UTIL Karl-Anthony Towns C Nikola Vucevic PG Donovan Mitchell SF Joe Ingles SG Dennis Schroder G Kelly Oubre Jr. F Royce O'Neale PF Jonathan Isaac,,Jeff Teague,PG,28.82%,17.75
6,1368213721,DenverCityMike,0,338.75,C Karl-Anthony Towns PG Donovan Mitchell SG DeMar DeRozan PF Julius Randle F Jae Crowder G Kelly Oubre Jr. SF Royce O'Neale UTIL Khem Birch,,Joe Ingles,SF,25.90%,26
8,1368285934,latinkid485,0,337.75,C Karl-Anthony Towns G Kemba Walker SG Buddy Hield SF Aaron Gordon PF Al Horford PG Dennis Schroder F Kelly Oubre Jr. UTIL Guillermo Hernangómez,,Dennis Schroder,PG,25.39%,37.25
9,1368282826,Mike002323,0,337.5,UTIL Karl-Anthony Towns C Nikola Vucevic SG Andrew Wiggins PF Aaron Gordon G Nicolas Batum PG De'Anthony Melton SF Kelly Oubre Jr. F Richaun Holmes,,Kelly Oubre Jr.,SG,25.04%,52.25
10,1366919788,kriebel13,0,337.25,UTIL Karl-Anthony Towns SG Donovan Mitchell C Rudy Gobert F Nikola Mirotic PG De'Anthony Melton G Kelly Oubre Jr. PF Taj Gibson SF Royce O'Neale,,Richaun Holmes,F,25.04%,24.25
11,1366675808,jwondra,0,336.75,G Russell Westbrook UTIL Karl-Anthony Towns PF Aaron Gordon SG Dennis Schroder F Evan Fournier SF Kelly Oubre Jr. C Guillermo Hernangómez PG Tyus Jones,,Kemba Walker,G,20.24%,39.25
12,1368052464,robdwalk,0,334.75,PG Russell Westbrook C Karl-Anthony Towns SF Josh Jackson PF Al Horford SG Dennis Schroder G Kelly Oubre Jr. UTIL Guillermo Hernangómez F Royce O'Neale,,Josh Jackson,F,17.67%,31
13,1368237139,herfavoritedj,0,332.25,UTIL Karl-Anthony Towns C Nikola Vucevic PG Kemba Walker PF Al Horford SG Dennis Schroder SF Kelly Oubre Jr. G Bryn Forbes F Richaun Holmes,,Russell Westbrook,PG,15.95%,51
14,1366945071,TheJT9,0,332,C Karl-Anthony Towns UTIL Nikola Vucevic PG Kemba Walker PF Aaron Gordon SG Dennis Schroder G Evan Fournier SF Royce O'Neale F Michael Kidd-Gilchrist,,Jae Crowder,SF,15.44%,18.75
15,1367610506,papagates,0,331.5,G Russell Westbrook C Karl-Anthony Towns UTIL Joe Ingles PF Derrick Favors PG Dennis Schroder SF Kelly Oubre Jr. SG Josh Okogie F Royce O'Neale,,Nikola Vucevic,UTIL,14.41%,39.25
16,1366725164,doncab2,0,329.75,C Karl-Anthony Towns UTIL LaMarcus Aldridge F Buddy Hield PF Aaron Gordon PG Kris Dunn G Jaylen Brown SG Kelly Oubre Jr. SF Royce O'Neale,,Patty Mills,G,13.21%,12
