Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1367467060,moneyminded26,0,348.5,C Karl-Anthony Towns UTIL Rudy Gobert F Buddy Hield SF Joe Ingles PF Al Horford PG Dennis Schroder SG Evan Fournier G Kelly Oubre Jr.,,Royce O'Neale,SF,53.21%,33.25
2,1367649858,MSmith0818,0,347.5,F Anthony Davis C Karl-Anthony Towns UTIL Deandre Ayton PG Dennis Schroder SG Evan Fournier G Kelly Oubre Jr. SF Royce O'Neale PF Jonathan Isaac,,Anthony Davis,C,43.27%,53.5
3,1368018675,B_Heals152,0,345.25,C Karl-Anthony Towns G DeMar DeRozan SG Jrue Holiday PF Julius Randle PG Dennis Schroder F Kelly Oubre Jr. UTIL Royce O'Neale SF Davis Bertans,,Donovan Mitchell,SG,33.12%,55.5
4,1366347836,DoP3JFr3sH,0,344.25,UTIL Karl-Anthony Towns C Nikola Vucevic SG Andrew Wiggins PF Al Horford G Nicolas Batum PG Dennis Schroder SF Evan Fournier F Kelly Oubre Jr.,,Derrick Favors,F,28.55%,24.75
5,1366215979,EmileHeskey,0,342.75,PF Anthony Davis C Karl-Anthony Towns G Zach LaVine F Derrick Favors PG Dennis Schroder SG Kelly Oubre Jr. SF Josh Okogie UTIL Royce O'Neale,,Joe Ingles,SF,25.39%,26
6,1366645682,jburian,0,342.5,PF Anthony Davis SG Donovan Mitchell C Rudy Gobert UTIL De'Anthony Melton G Dennis Schroder F Kelly Oubre Jr. SF Royce O'Neale PG Tyus Jones,,Jeff Teague,G,24.45%,17.75
7,1366507003,Jc513,0,340.75,PG Russell Westbrook C Karl-Anthony Towns PF Aaron Gordon G Dennis Schroder SG Evan Fournier SF Kelly Oubre Jr. UTIL Guillermo Hernangómez F Royce O'Neale,,Richaun Holmes,PF,24.29%,24.25
8,1366302347,jf1133,0,340.5,UTIL Karl-Anthony Towns C Nikola Vucevic SG Jrue Holiday PF Aaron Gordon G Dennis Schroder SF Evan Fournier F Royce O'Neale PG Tyus Jones,,Karl-Anthony Towns,C,23.45%,78.75
8,1367296903,Pags10,0,340.5,C Karl-Anthony Towns UTIL Nikola Vucevic G Jrue Holiday PF Aaron Gordon SG Dennis Schroder F Evan Fournier SF Royce O'Neale PG Tyus Jones,,Kelly Oubre Jr.,SG,20.93%,52.25
10,1366460635,Chris360xx,0,339.25,F Anthony Davis C Karl-Anthony Towns PF Aaron Gordon SG Dennis Schroder SF Evan Fournier G Kelly Oubre Jr. UTIL Guillermo Hernangómez PG Tyus Jones,,Dennis Schroder,SG,20.82%,37.25
10,1367708337,thiscandle,0,339.25,PF Anthony Davis UTIL Karl-Anthony Towns SF Aaron Gordon PG Dennis Schroder F Evan Fournier SG Kelly Oubre Jr. C Guillermo Hernangómez G Tyus Jones,,Russell Westbrook,PG,20.14%,51
12,1366375802,edowdall15,0,338.75,UTIL Karl-Anthony Towns PG Kyrie Irving C Rudy Gobert F Julius Randle SG Kelly Oubre Jr. SF Royce O'Neale PF Richaun Holmes G Patty Mills,,Josh Jackson,F,16.09%,31
12,1368250861,bassman54,0,338.75,UTIL Karl-Anthony Towns C Nikola Vucevic PG Donovan Mitchell SF Joe Ingles SG Dennis Schroder G Kelly Oubre Jr. F Royce O'Neale PF Jonathan Isaac,,Patty Mills,PG,15.40%,12
14,1366384177,Johnkane09,0,338.25,PG Russell Westbrook UTIL Karl-Anthony Towns SG Jrue Holiday G Derrick White F Kelly Oubre Jr. SF Royce O'Neale PF Richaun Holmes C Khem Birch,,Jae Crowder,PF,15.04%,18.75
15,1366364509,zalli0208,0,337.75,C Karl-Anthony Towns PG Kemba Walker G Buddy Hield SF Aaron Gordon PF Al Horford SG Dennis Schroder F Kelly Oubre Jr. UTIL Guillermo Hernangómez,,Kemba Walker,UTIL,14.30%,39.25
