Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1368166889,codarius,0,353.5,G Russell Westbrook C Karl-Anthony Towns PF Aaron Gordon UTIL Derrick Favors SG Dennis Schroder SF Kelly Oubre Jr. F Royce O'Neale PG Tyus Jones,,Royce O'Neale,SF,84.55%,33.25
2,1367798880,MILE_HIGH21,0,350.5,PF Anthony Davis C Karl-Anthony Towns SG Donovan Mitchell UTIL Kelly Oubre Jr. G Bryn Forbes F Royce O'Neale PG Tyus Jones SF Marco Belinelli,,Anthony Davis,PF,53.54%,53.5
3,1368051482,B_Heals152,0,345.25,C Karl-Anthony Towns G DeMar DeRozan SG Jrue Holiday PF Julius Randle PG Dennis Schroder F Kelly Oubre Jr. UTIL Royce O'Neale SF Davis Bertans,,Donovan Mitchell,PG,46.35%,55.5
4,1366645688,jburian,0,342.5,PF Anthony Davis SG Donovan Mitchell C Rudy Gobert UTIL De'Anthony Melton G Dennis Schroder F Kelly Oubre Jr. SF Royce O'Neale PG Tyus Jones,,Jeff Teague,G,44.40%,17.75
5,1367719645,jeramiah44,0,340.25,PG Russell Westbrook C Karl-Anthony Towns PF Aaron Gordon G De'Anthony Melton SG Dennis Schroder SF Kelly Oubre Jr. UTIL Guillermo Hernangómez F Royce O'Neale,,Derrick Favors,C,44.07%,24.75
6,1366684444,AllyAngel44,0,336.75,G Russell Westbrook C Karl-Anthony Towns PF Aaron Gordon SG Dennis Schroder SF Evan Fournier F Kelly Oubre Jr. UTIL Guillermo Hernangómez PG Tyus Jones,,Joe Ingles,SG,41.46%,26
6,1368300800,sneaker21,0,336.75,PG Russell Westbrook C Karl-Anthony Towns PF Aaron Gordon SG Dennis Schroder SF Evan Fournier F Kelly Oubre Jr. UTIL Guillermo Hernangómez G Tyus Jones,,Karl-Anthony Towns,C,37.43%,78.75
8,1366215883,EmileHeskey,0,334,PF Anthony Davis C Karl-Anthony Towns G Joe Ingles F Derrick Favors PG Dennis Schroder SG Kelly Oubre Jr. SF Josh Okogie UTIL Royce O'Neale,,Dennis Schroder,SG,35.58%,37.25
9,1366452037,Bbondsmvp,0,332.5,PF Anthony Davis C Karl-Anthony Towns G Kemba Walker SG Dennis Schroder F Kelly Oubre Jr. SF Royce O'Neale PG Tyus Jones UTIL Pau Gasol,,Richaun Holmes,F,24.48%,24.25
10,1366513955,jonathansullivan2,0,331.5,PF Anthony Davis C Karl-Anthony Towns G Jeremy Lamb UTIL Derrick Favors PG Dennis Schroder SG Evan Fournier SF Kelly Oubre Jr. F Royce O'Neale,,Jae Crowder,PF,22.31%,18.75
11,1368214635,bellmv99,0,330.5,PF Anthony Davis PG Donovan Mitchell C Rudy Gobert SG Dennis Schroder F Jae Crowder G Kelly Oubre Jr. UTIL Kyle Korver SF Royce O'Neale,,Andrew Wiggins,SF,20.24%,28.75
12,1368002534,Kjubei12,0,330.25,PF Anthony Davis C Karl-Anthony Towns SG Donovan Mitchell PG De'Anthony Melton UTIL Kyle Korver SF Royce O'Neale F Richaun Holmes G Marco Belinelli,,Josh Jackson,UTIL,20.02%,31
13,1368275084,jpstax,0,328.25,PF Anthony Davis C Nikola Vucevic SG Donovan Mitchell PG Dennis Schroder G Evan Fournier UTIL Kelly Oubre Jr. F Royce O'Neale SF Michael Kidd-Gilchrist,,Kelly Oubre Jr.,F,18.39%,52.25
13,1368290914,DJBuster08,0,328.25,PF Anthony Davis UTIL Karl-Anthony Towns G Donovan Mitchell SG Dennis Schroder PG Bryn Forbes F Royce O'Neale C Jakob Poeltl SF Marco Belinelli,,Rudy Gobert,UTIL,15.34%,51.75
15,1366543641,Westy121997,0,327,PF Anthony Davis C Karl-Anthony Towns SF Joe Ingles UTIL Derrick Favors PG Dennis Schroder F Kelly Oubre Jr. SG Malik Beasley G Tyus Jones,,Tyus Jones,PG,14.80%,29.25
15,1368247964,mattmoss12,0,327,F Anthony Davis C Karl-Anthony Towns PG Donovan Mitchell SG Dennis Schroder G Kelly Oubre Jr. UTIL Royce O'Neale PF Jonathan Isaac SF Jonathon Simmons,,Patty Mills,PG,14.80%,12
17,1367496540,chopper223,0,326.5,PF Anthony Davis UTIL Karl-Anthony Towns SG Donovan Mitchell F Kelly Oubre Jr. C Guillermo Hernangómez SF Royce O'Neale PG Tyus Jones G Malik Monk,,Taj Gibson,F,12.51%,13
18,1368254457,jimmer1,0,325.25,PF Anthony Davis C Karl-Anthony Towns UTIL Willie Cauley-Stein G Elfrid Payton SG Kelly Oubre Jr. SF Royce O'Neale F Richaun Holmes PG Patty Mills,,Bryn Forbes,SG,11.97%,21
19,1366544172,Whiterock,0,324.25,C Karl-Anthony Towns PG Donovan Mitchell SF Andrew Wiggins SG Joe Ingles PF Josh Jackson UTIL Jae Crowder G Kelly Oubre Jr. F Royce O'Neale,,Kemba Walker,G,11.75%,39.25
20,1366328305,Skralph,0,322.25,PF Anthony Davis C Karl-Anthony Towns G Joe Ingles PG Dennis Schroder SG Evan Fournier SF Kelly Oubre Jr. UTIL Guillermo Hernangómez F Royce O'Neale,,Russell Westbrook,PG,11.21%,51
20,1366424148,baise085,0,322.25,UTIL Russell Westbrook C Karl-Anthony Towns SF Aaron Gordon PF Derrick Favors G Dennis Schroder SG Bryn Forbes F Royce O'Neale PG Tyus Jones,,Buddy Hield,SG,10.12%,32
20,1366430674,nyrblue,0,322.25,UTIL Russell Westbrook C Karl-Anthony Towns SF Aaron Gordon PF Derrick Favors G Dennis Schroder SG Bryn Forbes F Royce O'Neale PG Tyus Jones,,De'Anthony Melton,G,9.90%,29.75
20,1366839841,stevevhere,0,322.25,UTIL Russell Westbrook C Karl-Anthony Towns SF Aaron Gordon PF Derrick Favors G Dennis Schroder SG Bryn Forbes F Royce O'Neale PG Tyus Jones,,Willie Cauley-Stein,C,9.90%,40.5
20,1366855152,jjbfarrell,0,322.25,UTIL Russell Westbrook C Karl-Anthony Towns SF Aaron Gordon PF Derrick Favors G Dennis Schroder SG Bryn Forbes F Royce O'Neale PG Tyus Jones,,Bogdan Bogdanovic,G,9.47%,31.75
20,1366862377,amraskin,0,322.25,UTIL Russell Westbrook C Karl-Anthony Towns SF Aaron Gordon PF Derrick Favors G Dennis Schroder SG Bryn Forbes F Royce O'Neale PG Tyus Jones,,Lauri Markkanen,PF,9.03%,30.25
26,1366708689,cuwelch10,0,321.75,UTIL Karl-Anthony Towns SG Donovan Mitchell PG Jrue Holiday C Willie Cauley-Stein SF Jeremy Lamb F Royce O'Neale G Tyus Jones PF Harry Giles,,Elfrid Payton,PG,7.73%,30.75
27,1367350000,racerx22,0,321.5,C Karl-Anthony Towns PG Donovan Mitchell F Julius Randle SG Andrew Wiggins UTIL Josh Jackson SF Royce O'Neale PF Richaun Holmes G Tyus Jones,,Jeremy Lamb,SG,7.40%,21.5
27,1367897507,TheGlory23,0,321.5,G Russell Westbrook C Karl-Anthony Towns PG Elfrid Payton F Jeremy Lamb PF Derrick Favors SG Kelly Oubre Jr. SF Royce O'Neale UTIL Tyus Jones,,Malik Beasley,PG,7.29%,25.25
29,1367506677,RainDFS,0,321,PG Russell Westbrook C Karl-Anthony Towns UTIL Deandre Ayton G Dennis Schroder SF Evan Fournier SG Josh Okogie F Royce O'Neale PF Jonathan Isaac,,Malik Monk,G,6.96%,13
29,1367528958,yung2pan,0,321,PF Anthony Davis G Kemba Walker C Rudy Gobert PG De'Anthony Melton SG Dennis Schroder UTIL Kelly Oubre Jr. SF Royce O'Neale F Davis Bertans,,Nikola Vucevic,UTIL,6.42%,39.25
31,1366258384,b_stats,0,320.25,C Karl-Anthony Towns G Kemba Walker UTIL Rudy Gobert F Joe Ingles PF Derrick Favors SG Dennis Schroder SF Royce O'Neale PG Tyus Jones,,Paul George,PF,6.31%,43.25
31,1366311743,jonboy1171,0,320.25,C Karl-Anthony Towns G Kemba Walker UTIL Rudy Gobert F Joe Ingles PF Derrick Favors SG Dennis Schroder SF Royce O'Neale PG Tyus Jones,,Evan Fournier,SG,5.88%,30.25
31,1366432619,Firedog50,0,320.25,C Karl-Anthony Towns G Kemba Walker UTIL Rudy Gobert F Joe Ingles PF Derrick Favors SG Dennis Schroder SF Royce O'Neale PG Tyus Jones,,LaMarcus Aldridge,F,5.88%,34.75
31,1366474341,trev9219,0,320.25,C Karl-Anthony Towns G Kemba Walker UTIL Rudy Gobert F Joe Ingles PF Derrick Favors SG Dennis Schroder SF Royce O'Neale PG Tyus Jones,,Guillermo Hernangómez,C,5.77%,11
31,1366475832,amy574,0,320.25,C Karl-Anthony Towns G Kemba Walker UTIL Rudy Gobert F Joe Ingles PF Derrick Favors SG Dennis Schroder SF Royce O'Neale PG Tyus Jones,,Marco Belinelli,SG,5.77%,27
31,1366573230,Grunz75,0,320.25,C Karl-Anthony Towns G Kemba Walker UTIL Rudy Gobert F Joe Ingles PF Derrick Favors SG Dennis Schroder SF Royce O'Neale PG Tyus Jones,,DeMar DeRozan,SG,5.55%,33.5
31,1366625076,jb92087,0,320.25,C Karl-Anthony Towns G Kemba Walker UTIL Rudy Gobert F Joe Ingles PF Derrick Favors SG Dennis Schroder SF Royce O'Neale PG Tyus Jones,,Zach LaVine,PG,5.33%,34.75
