Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1366224727,EmileHeskey (1/16),0,342.75,PF Anthony Davis C Karl-Anthony Towns G Zach LaVine F Derrick Favors PG Dennis Schroder SG Kelly Oubre Jr. SF Josh Okogie UTIL Royce O'Neale,,Royce O'Neale,SF,49.16%,33.25
2,1367610522,papagates (16/16),0,342.5,C Karl-Anthony Towns SF DeMar DeRozan PF Julius Randle UTIL Deandre Ayton SG Dennis Schroder G Kelly Oubre Jr. PG Bryn Forbes F Royce O'Neale,,Karl-Anthony Towns,C,40.19%,78.75
3,1368255586,ackarmasports,0,340.75,PF Anthony Davis UTIL Karl-Anthony Towns G Elfrid Payton C Derrick Favors PG Dennis Schroder SG Evan Fournier SF Kelly Oubre Jr. F Royce O'Neale,,Anthony Davis,C,39.07%,53.5
4,1367684655,jeramiah44 (3/4),0,340.25,PG Russell Westbrook C Karl-Anthony Towns PF Aaron Gordon G De'Anthony Melton SG Dennis Schroder SF Kelly Oubre Jr. UTIL Guillermo Hernangómez F Royce O'Neale,,Dennis Schroder,PG,29.91%,37.25
5,1367677143,thepadlox,0,339.75,C Karl-Anthony Towns PG Donovan Mitchell G Buddy Hield PF Paul Millsap F Jeremy Lamb SG Dennis Schroder SF Kelly Oubre Jr. UTIL Tyus Jones,,Derrick Favors,PF,29.53%,24.75
6,1366434229,Chris360xx,0,339.25,F Anthony Davis C Karl-Anthony Towns PF Aaron Gordon SG Dennis Schroder SF Evan Fournier G Kelly Oubre Jr. UTIL Guillermo Hernangómez PG Tyus Jones,,Kemba Walker,UTIL,25.05%,39.25
7,1367727009,shawnzhan (15/16),0,339,C Karl-Anthony Towns G Kemba Walker UTIL Rudy Gobert SF Aaron Gordon PF Derrick Favors PG Dennis Schroder F Royce O'Neale SG Marco Belinelli,,Kelly Oubre Jr.,SG,23.74%,52.25
8,1367727007,shawnzhan (13/16),0,338.5,UTIL Karl-Anthony Towns PF Paul George C Nikola Vucevic G Dennis Schroder SG Evan Fournier F Kelly Oubre Jr. SF Josh Okogie PG Tyus Jones,,Joe Ingles,F,21.50%,26
9,1368290597,scrilla21,0,337.75,C Karl-Anthony Towns PG Kemba Walker G Buddy Hield SF Aaron Gordon PF Al Horford SG Dennis Schroder F Kelly Oubre Jr. UTIL Guillermo Hernangómez,,Zach LaVine,SG,21.12%,34.75
10,1366224734,EmileHeskey (8/16),0,336.75,C Karl-Anthony Towns PG Kemba Walker SG Jrue Holiday G Zach LaVine PF Derrick Favors F Kelly Oubre Jr. SF Josh Okogie UTIL Royce O'Neale,,Jae Crowder,SF,20.75%,18.75
11,1367610519,papagates (13/16),0,333,C Karl-Anthony Towns SF Paul George UTIL Kemba Walker PF Derrick Favors G Dennis Schroder F Kelly Oubre Jr. SG Josh Okogie PG Tyus Jones,,Josh Okogie,SF,20.00%,28.25
12,1366945077,TheJT9,0,332,C Karl-Anthony Towns UTIL Nikola Vucevic PG Kemba Walker PF Aaron Gordon SG Dennis Schroder G Evan Fournier SF Royce O'Neale F Michael Kidd-Gilchrist,,Donovan Mitchell,SG,19.81%,55.5
13,1367610507,papagates (1/16),0,331.5,G Russell Westbrook C Karl-Anthony Towns UTIL Joe Ingles PF Derrick Favors PG Dennis Schroder SF Kelly Oubre Jr. SG Josh Okogie F Royce O'Neale,,Jeff Teague,G,19.44%,17.75
14,1366224731,EmileHeskey (5/16),0,329.75,UTIL Karl-Anthony Towns SF Paul George C Nikola Vucevic PG Elfrid Payton G Kelly Oubre Jr. SG Josh Okogie F Royce O'Neale PF Davis Bertans,,Richaun Holmes,PF,19.44%,24.25
15,1367610513,papagates (7/16),0,329.25,C Karl-Anthony Towns G Kemba Walker PF Julius Randle SF Aaron Gordon UTIL Derrick Favors PG Dennis Schroder SG Josh Okogie F Royce O'Neale,,Jeremy Lamb,F,18.50%,21.5
