Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG,Gary Harris (11943461),Gary Harris,11943461,SG/G/UTIL,5400,DEN@PHO 01/12/2019 09:00PM ET,DEN,27.39
PF/C,Wendell Carter Jr. (11943475),Wendell Carter Jr.,11943475,PF/C/F/UTIL,5300,CHI@UTA 01/12/2019 10:00PM ET,CHI,25.13
PF,Jerami Grant (11943464),Jerami Grant,11943464,PF/F/UTIL,5300,SA@OKC 01/12/2019 08:00PM ET,OKC,24.44
SF/PF,Rudy Gay (11943471),Rudy Gay,11943471,SF/PF/F/UTIL,5300,SA@OKC 01/12/2019 08:00PM ET,SA,28.37
SF/PF,Marvin Williams (11943467),Marvin Williams,11943467,SF/PF/F/UTIL,5300,CHA@SAC 01/12/2019 10:00PM ET,CHA,22.77
SF/PF,Nemanja Bjelica (11943479),Nemanja Bjelica,11943479,SF/PF/F/UTIL,5200,CHA@SAC 01/12/2019 10:00PM ET,SAC,25.05
PF/C,Derrick Favors (11943483),Derrick Favors,11943483,PF/C/F/UTIL,5100,CHI@UTA 01/12/2019 10:00PM ET,UTA,25.48
SG/SF,Will Barton (11943487),Will Barton,11943487,SG/SF/F/G/UTIL,5000,DEN@PHO 01/12/2019 09:00PM ET,DEN,30.75
PF/C,Marvin Bagley III (11943492),Marvin Bagley III,11943492,PF/C/F/UTIL,5000,CHA@SAC 01/12/2019 10:00PM ET,SAC,24
SG/SF,Nicolas Batum (11943496),Nicolas Batum,11943496,SG/SF/F/G/UTIL,4900,CHA@SAC 01/12/2019 10:00PM ET,CHA,22.81
PG,D.J. Augustin (11943504),D.J. Augustin,11943504,PG/G/UTIL,4800,BOS@ORL 01/12/2019 07:00PM ET,ORL,22.7
PG,De'Anthony Melton (11943501),De'Anthony Melton,11943501,PG/G/UTIL,4800,DEN@PHO 01/12/2019 09:00PM ET,PHO,17.92
PG/SG,Marcus Smart (11943507),Marcus Smart,11943507,PG/SG/G/UTIL,4700,BOS@ORL 01/12/2019 07:00PM ET,BOS,21.62
SG/SF,Evan Fournier (11943515),Evan Fournier,11943515,SG/SF/F/G/UTIL,4700,BOS@ORL 01/12/2019 07:00PM ET,ORL,25.73
PG/SG,Dennis Schroder (11943511),Dennis Schroder,11943511,PG/SG/G/UTIL,4700,SA@OKC 01/12/2019 08:00PM ET,OKC,28.01
PF,Dario Saric (11943528),Dario Saric,11943528,PF/F/UTIL,4600,NO@MIN 01/12/2019 08:00PM ET,MIN,21.5
SF/PF,Jae Crowder (11943524),Jae Crowder,11943524,SF/PF/F/UTIL,4600,CHI@UTA 01/12/2019 10:00PM ET,UTA,23.36
PF/C,Mason Plumlee (11943520),Mason Plumlee,11943520,PF/C/F/UTIL,4600,DEN@PHO 01/12/2019 09:00PM ET,DEN,21.9
SG/SF,Jaylen Brown (11943536),Jaylen Brown,11943536,SG/SF/F/G/UTIL,4500,BOS@ORL 01/12/2019 07:00PM ET,BOS,22.01
PF/C,Bobby Portis (11943541),Bobby Portis,11943541,PF/C/F/UTIL,4500,CHI@UTA 01/12/2019 10:00PM ET,CHI,25.69
SG/SF,Torrey Craig (11943531),Torrey Craig,11943531,SG/SF/F/G/UTIL,4500,DEN@PHO 01/12/2019 09:00PM ET,DEN,14.67
PF/C,Taj Gibson (11943558),Taj Gibson,11943558,PF/C/F/UTIL,4400,NO@MIN 01/12/2019 08:00PM ET,MIN,23.80
PG/SG,Bryn Forbes (11943554),Bryn Forbes,11943554,PG/SG/G/UTIL,4400,SA@OKC 01/12/2019 08:00PM ET,SA,21.12
SG/SF,Kelly Oubre Jr. (11943545),Kelly Oubre Jr.,11943545,SG/SF/F/G/UTIL,4400,DEN@PHO 01/12/2019 09:00PM ET,PHO,22.27
PG/SG,Malik Beasley (11943550),Malik Beasley,11943550,PG/SG/G/UTIL,4400,DEN@PHO 01/12/2019 09:00PM ET,DEN,16.72
SG/SF,Terrence Ross (11943567),Terrence Ross,11943567,SG/SF/F/G/UTIL,4300,BOS@ORL 01/12/2019 07:00PM ET,ORL,22.44
PG,Monte Morris (11943562),Monte Morris,11943562,PG/G/UTIL,4300,DEN@PHO 01/12/2019 09:00PM ET,DEN,21.5
C,Bismack Biyombo (11943565),Bismack Biyombo,11943565,C/UTIL,4300,CHA@SAC 01/12/2019 10:00PM ET,CHA,11.30
SG/SF,E'Twaun Moore (11943572),E'Twaun Moore,11943572,SG/SF/F/G/UTIL,4200,NO@MIN 01/12/2019 08:00PM ET,NO,21.44
SG/SF,Josh Okogie (11943577),Josh Okogie,11943577,SG/SF/F/G/UTIL,4200,NO@MIN 01/12/2019 08:00PM ET,MIN,14.73
C,Guillermo Hernangomez (11943582),Guillermo Hernangomez,11943582,C/UTIL,4100,CHA@SAC 01/12/2019 10:00PM ET,CHA,16.96
SG/SF,Kyle Korver (11943584),Kyle Korver,11943584,SG/SF/F/G/UTIL,4000,CHI@UTA 01/12/2019 10:00PM ET,UTA,13.29
PG,Raul Neto (11943594),Raul Neto,11943594,PG/G/UTIL,4000,CHI@UTA 01/12/2019 10:00PM ET,UTA,10.46
PG,Isaiah Thomas (11943589),Isaiah Thomas,11943589,PG/G/UTIL,4000,DEN@PHO 01/12/2019 09:00PM ET,DEN,0
C,Cody Zeller (11943592),Cody Zeller,11943592,C/UTIL,4000,CHA@SAC 01/12/2019 10:00PM ET,CHA,22.84
PF/C,Daniel Theis (11943600),Daniel Theis,11943600,PF/C/F/UTIL,3900,BOS@ORL 01/12/2019 07:00PM ET,BOS,15.78
SF,Royce O'Neale (11943597),Royce O'Neale,11943597,SF/F/UTIL,3900,CHI@UTA 01/12/2019 10:00PM ET,UTA,10.98
SG/SF,Mikal Bridges (11943604),Mikal Bridges,11943604,SG/SF/F/G/UTIL,3900,DEN@PHO 01/12/2019 09:00PM ET,PHO,17.87
PG,Tyus Jones (11943617),Tyus Jones,11943617,PG/G/UTIL,3800,NO@MIN 01/12/2019 08:00PM ET,MIN,15.98
PG/SG,Terry Rozier (11943624),Terry Rozier,11943624,PG/SG/G/UTIL,3800,BOS@ORL 01/12/2019 07:00PM ET,BOS,20.70
PG/SG,Dante Exum (11943620),Dante Exum,11943620,PG/SG/G/UTIL,3800,CHI@UTA 01/12/2019 10:00PM ET,UTA,14.24
PG/SG,Patty Mills (11943613),Patty Mills,11943613,PG/SG/G/UTIL,3800,SA@OKC 01/12/2019 08:00PM ET,SA,18.67
PF/C,Richaun Holmes (11943609),Richaun Holmes,11943609,PF/C/F/UTIL,3800,DEN@PHO 01/12/2019 09:00PM ET,PHO,18.21
SF/PF,Justin Jackson (11943628),Justin Jackson,11943628,SF/PF/F/UTIL,3800,CHA@SAC 01/12/2019 10:00PM ET,SAC,14.90
SF/PF,Davis Bertans (11943636),Davis Bertans,11943636,SF/PF/F/UTIL,3700,SA@OKC 01/12/2019 08:00PM ET,SA,15.69
PG/SG,Jamal Crawford (11943640),Jamal Crawford,11943640,PG/SG/G/UTIL,3700,DEN@PHO 01/12/2019 09:00PM ET,PHO,13.51
PF/C,Harry Giles (11943632),Harry Giles,11943632,PF/C/F/UTIL,3700,CHA@SAC 01/12/2019 10:00PM ET,SAC,13.16
SG/SF,Iman Shumpert (11943644),Iman Shumpert,11943644,SG/SF/F/G/UTIL,3700,CHA@SAC 01/12/2019 10:00PM ET,SAC,19.78
PG/SG,Frank Jackson (11943649),Frank Jackson,11943649,PG/SG/G/UTIL,3600,NO@MIN 01/12/2019 08:00PM ET,NO,7.82
SF/PF,Jonathan Isaac (11943658),Jonathan Isaac,11943658,SF/PF/F/UTIL,3600,BOS@ORL 01/12/2019 07:00PM ET,ORL,18.59
SG/SF,Terrance Ferguson (11943653),Terrance Ferguson,11943653,SG/SF/F/G/UTIL,3600,SA@OKC 01/12/2019 08:00PM ET,OKC,9.88
SF/PF,Juancho Hernangomez (11943666),Juancho Hernangomez,11943666,SF/PF/F/UTIL,3600,DEN@PHO 01/12/2019 09:00PM ET,DEN,19.73
PG/SG,Malik Monk (11943662),Malik Monk,11943662,PG/SG/G/UTIL,3600,CHA@SAC 01/12/2019 10:00PM ET,CHA,17.51
PG/SG,Devonte' Graham (11943670),Devonte' Graham,11943670,PG/SG/G/UTIL,3600,CHA@SAC 01/12/2019 10:00PM ET,CHA,11.08
C,Mohamed Bamba (11943674),Mohamed Bamba,11943674,C/UTIL,3500,BOS@ORL 01/12/2019 07:00PM ET,ORL,17.06
SG/SF,Wes Iwundu (11943676),Wes Iwundu,11943676,SG/SF/F/G/UTIL,3500,BOS@ORL 01/12/2019 07:00PM ET,ORL,9.56
C,Jakob Poeltl (11943684),Jakob Poeltl,11943684,C/UTIL,3500,SA@OKC 01/12/2019 08:00PM ET,SA,15.06
PF/C,Patrick Patterson (11943690),Patrick Patterson,11943690,PF/C/F/UTIL,3500,SA@OKC 01/12/2019 08:00PM ET,OKC,9.20
SF/PF,Trey Lyles (11943686),Trey Lyles,11943686,SF/PF/F/UTIL,3500,DEN@PHO 01/12/2019 09:00PM ET,DEN,18.28
PG,Tony Parker (11943681),Tony Parker,11943681,PG/G/UTIL,3500,CHA@SAC 01/12/2019 10:00PM ET,CHA,17.59
SF/PF,Anthony Tolliver (11943699),Anthony Tolliver,11943699,SF/PF/F/UTIL,3400,NO@MIN 01/12/2019 08:00PM ET,MIN,10.67
SF/PF,Darius Miller (11943712),Darius Miller,11943712,SF/PF/F/UTIL,3400,NO@MIN 01/12/2019 08:00PM ET,NO,13.88
C,Aron Baynes (11943703),Aron Baynes,11943703,C/UTIL,3400,BOS@ORL 01/12/2019 07:00PM ET,BOS,13.66
PG/SF,Shaquille Harrison (11943705),Shaquille Harrison,11943705,PG/SF/F/G/UTIL,3400,CHI@UTA 01/12/2019 10:00PM ET,CHI,14.88
SG/SF,Marco Belinelli (11943694),Marco Belinelli,11943694,SG/SF/F/G/UTIL,3400,SA@OKC 01/12/2019 08:00PM ET,SA,17.55
C,Nerlens Noel (11943710),Nerlens Noel,11943710,C/UTIL,3400,SA@OKC 01/12/2019 08:00PM ET,OKC,16.18
PG/SG,Tim Frazier (11943727),Tim Frazier,11943727,PG/SG/G/UTIL,3300,NO@MIN 01/12/2019 08:00PM ET,NO,15.89
SG/SF,Jonathon Simmons (11943731),Jonathon Simmons,11943731,SG/SF/F/G/UTIL,3300,BOS@ORL 01/12/2019 07:00PM ET,ORL,14.36
SF/PF,Jabari Parker (11943716),Jabari Parker,11943716,SF/PF/F/UTIL,3300,CHI@UTA 01/12/2019 10:00PM ET,CHI,28
SF/PF,Chandler Hutchison (11943736),Chandler Hutchison,11943736,SF/PF/F/UTIL,3300,CHI@UTA 01/12/2019 10:00PM ET,CHI,10.97
PG,Elie Okobo (11943720),Elie Okobo,11943720,PG/G/UTIL,3300,DEN@PHO 01/12/2019 09:00PM ET,PHO,13.47
PG/SG,Yogi Ferrell (11943723),Yogi Ferrell,11943723,PG/SG/G/UTIL,3300,CHA@SAC 01/12/2019 10:00PM ET,SAC,11.37
C,Jahlil Okafor (11943764),Jahlil Okafor,11943764,C/UTIL,3200,NO@MIN 01/12/2019 08:00PM ET,NO,9.75
SF/PF,Thabo Sefolosha (11943740),Thabo Sefolosha,11943740,SF/PF/F/UTIL,3200,CHI@UTA 01/12/2019 10:00PM ET,UTA,8.99
PG/SG,Antonio Blakeney (11943744),Antonio Blakeney,11943744,PG/SG/G/UTIL,3200,CHI@UTA 01/12/2019 10:00PM ET,CHI,12.84
SF,Abdel Nader (11943748),Abdel Nader,11943748,SF/F/UTIL,3200,SA@OKC 01/12/2019 08:00PM ET,OKC,5.78
SG/SF,Alex Abrines (11943766),Alex Abrines,11943766,SG/SF/F/G/UTIL,3200,SA@OKC 01/12/2019 08:00PM ET,OKC,10.68
