,model,lineupNum,team,player_name,concatNameTeam
74,A_pydfs_1.00_Exp,10,BOS,Marcus Morris,Marcus MorrisBOS
75,A_pydfs_1.00_Exp,10,NOP,Anthony Davis,Anthony DavisNOP
76,A_pydfs_1.00_Exp,10,SAS,Pau Gasol,Pau GasolSAS
77,A_pydfs_1.00_Exp,10,DEN,Will Barton,Will BartonDEN
78,A_pydfs_1.00_Exp,10,NOP,Nikola Mirotic,Nikola MiroticNOP
79,A_pydfs_1.00_Exp,10,OKC,Dennis Schroder,Dennis SchroderOKC
80,A_pydfs_1.00_Exp,11,NOP,Jrue Holiday,Jrue HolidayNOP
81,A_pydfs_1.00_Exp,11,CHI,Zach LaVine,Zach LaVineCHI
82,A_pydfs_1.00_Exp,11,DEN,Will Barton,Will BartonDEN
83,A_pydfs_1.00_Exp,11,NOP,Anthony Davis,Anthony DavisNOP
84,A_pydfs_1.00_Exp,11,NOP,Nikola Mirotic,Nikola MiroticNOP
85,A_pydfs_1.00_Exp,11,OKC,Dennis Schroder,Dennis SchroderOKC
86,A_pydfs_1.00_Exp,11,ORL,Evan Fournier,Evan FournierORL
87,A_pydfs_1.00_Exp,11,BOS,Terry Rozier,Terry RozierBOS
88,A_pydfs_1.00_Exp,12,NOP,Jrue Holiday,Jrue HolidayNOP
89,A_pydfs_1.00_Exp,12,CHI,Zach LaVine,Zach LaVineCHI
90,A_pydfs_1.00_Exp,12,DEN,Will Barton,Will BartonDEN
91,A_pydfs_1.00_Exp,12,NOP,Anthony Davis,Anthony DavisNOP
92,A_pydfs_1.00_Exp,12,NOP,Nikola Mirotic,Nikola MiroticNOP
93,A_pydfs_1.00_Exp,12,OKC,Dennis Schroder,Dennis SchroderOKC
94,A_pydfs_1.00_Exp,12,CHI,Bobby Portis,Bobby PortisCHI
95,A_pydfs_1.00_Exp,12,BOS,Terry Rozier,Terry RozierBOS
96,A_pydfs_1.00_Exp,13,NOP,Jrue Holiday,Jrue HolidayNOP
97,A_pydfs_1.00_Exp,13,DEN,Gary Harris,Gary HarrisDEN
98,A_pydfs_1.00_Exp,13,DEN,Will Barton,Will BartonDEN
99,A_pydfs_1.00_Exp,13,NOP,Anthony Davis,Anthony DavisNOP
100,A_pydfs_1.00_Exp,13,SAS,Pau Gasol,Pau GasolSAS
101,A_pydfs_1.00_Exp,13,CHI,Zach LaVine,Zach LaVineCHI
