Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1366240550,EmileHeskey,0,342.75,PF Anthony Davis C Karl-Anthony Towns G Zach LaVine F Derrick Favors PG Dennis Schroder SG Kelly Oubre Jr. SF Josh Okogie UTIL Royce O'Neale,,Royce O'Neale,SF,63.51%,33.25
2,1368255578,ackarmasports,0,340.75,PF Anthony Davis UTIL Karl-Anthony Towns G Elfrid Payton C Derrick Favors PG Dennis Schroder SG Evan Fournier SF Kelly Oubre Jr. F Royce O'Neale,,Anthony Davis,PF,49.10%,53.5
3,1367692677,jeramiah44,0,340.25,PG Russell Westbrook C Karl-Anthony Towns PF Aaron Gordon G De'Anthony Melton SG Dennis Schroder SF Kelly Oubre Jr. UTIL Guillermo Hernangómez F Royce O'Neale,,Karl-Anthony Towns,C,38.29%,78.75
4,1368214479,kennywayne91,0,331.75,UTIL Karl-Anthony Towns C Nikola Vucevic PG Donovan Mitchell G Joe Ingles SG Evan Fournier F Kelly Oubre Jr. SF Royce O'Neale PF Jonathan Isaac,,Derrick Favors,PF,36.04%,24.75
5,1367610541,papagates,0,331.5,G Russell Westbrook C Karl-Anthony Towns UTIL Joe Ingles PF Derrick Favors PG Dennis Schroder SF Kelly Oubre Jr. SG Josh Okogie F Royce O'Neale,,Donovan Mitchell,PG,29.28%,55.5
6,1367185756,TallRedGourmet,0,330.75,PF Anthony Davis C Karl-Anthony Towns PG Jeff Teague UTIL Josh Jackson SG Dennis Schroder G Kelly Oubre Jr. F Royce O'Neale SF Michael Kidd-Gilchrist,,Joe Ingles,SG,26.13%,26
7,1368236403,jakefromstatefarm1,0,329,UTIL Russell Westbrook C Karl-Anthony Towns F Jerami Grant PF Derrick Favors PG Dennis Schroder SG Evan Fournier G Kelly Oubre Jr. SF Kyle Korver,,Jeff Teague,G,25.23%,17.75
8,1367727012,shawnzhan,0,326.5,UTIL Karl-Anthony Towns C Nikola Vucevic G Kris Dunn F Lauri Markkanen PF Derrick Favors PG Dennis Schroder SG Evan Fournier SF Kelly Oubre Jr.,,Dennis Schroder,PG,25.23%,37.25
9,1368223269,ScottFantasy,0,325.25,C Karl-Anthony Towns PG Kemba Walker PF LaMarcus Aldridge SG Jrue Holiday UTIL Kelly Oubre Jr. SF Royce O'Neale F Richaun Holmes G Devonte' Graham,,Kelly Oubre Jr.,F,21.62%,52.25
10,1368017239,PowerTron,0,323,C Karl-Anthony Towns UTIL Rudy Gobert PG Jrue Holiday SF Jeremy Lamb PF Derrick Favors G Dennis Schroder SG Evan Fournier F Royce O'Neale,,Jae Crowder,PF,19.82%,18.75
11,1365975364,giantsquid,0,322.5,C Karl-Anthony Towns UTIL Nikola Vucevic G Buddy Hield F Aaron Gordon PF Derrick Favors PG Dennis Schroder SG Evan Fournier SF Royce O'Neale,,Kemba Walker,G,19.82%,39.25
11,1368250704,nanodoc2001,0,322.5,C Karl-Anthony Towns PG Jrue Holiday UTIL Willie Cauley-Stein F Bogdan Bogdanovic G Elfrid Payton PF Derrick Favors SG Dennis Schroder SF Royce O'Neale,,Richaun Holmes,F,19.37%,24.25
13,1366329210,clark4,0,321.25,C Anthony Davis UTIL Rudy Gobert F Aaron Gordon PG Elfrid Payton PF Derrick Favors G Dennis Schroder SG Kelly Oubre Jr. SF Davis Bertans,,Josh Jackson,SF,16.67%,31
14,1366297316,jonboy1171,0,320.25,C Karl-Anthony Towns G Kemba Walker UTIL Rudy Gobert F Joe Ingles PF Derrick Favors SG Dennis Schroder SF Royce O'Neale PG Tyus Jones,,Russell Westbrook,PG,16.67%,51
14,1366934670,curry_burrito,0,320.25,C Karl-Anthony Towns PG Donovan Mitchell UTIL Rudy Gobert F Joe Ingles PF Derrick Favors SG Dennis Schroder SF Royce O'Neale G Malik Monk,,Jeremy Lamb,UTIL,16.22%,21.5
14,1367363092,mard707,0,320.25,C Karl-Anthony Towns G Kemba Walker UTIL Rudy Gobert F Joe Ingles PF Derrick Favors SG Dennis Schroder SF Royce O'Neale PG Tyus Jones,,Zach LaVine,G,15.32%,34.75
14,1368198042,srn828,0,320.25,C Karl-Anthony Towns G Kemba Walker UTIL Rudy Gobert F Joe Ingles PF Derrick Favors SG Dennis Schroder SF Royce O'Neale PG Tyus Jones,,Nikola Vucevic,UTIL,14.86%,39.25
18,1366580278,oldgregg415,0,319.75,G Russell Westbrook SG Donovan Mitchell UTIL Deandre Ayton C Willie Cauley-Stein SF Kelly Oubre Jr. F Royce O'Neale PF Richaun Holmes PG Devonte' Graham,,Rudy Gobert,UTIL,14.86%,51.75
19,1366981336,geba9901,0,319.5,F Anthony Davis C Nikola Jokic PF Al Horford PG Dennis Schroder SG Evan Fournier UTIL Kelly Oubre Jr. G Josh Okogie SF Royce O'Neale,,Andrew Wiggins,SG,14.41%,28.75
20,1367821375,Jwaz,0,318.75,C Anthony Davis UTIL Karl-Anthony Towns PG Elfrid Payton G Jeremy Lamb PF Derrick Favors SG Kelly Oubre Jr. SF Royce O'Neale F Davis Bertans,,Malik Monk,SG,13.96%,13
21,1367301715,cheddabisque,0,318.5,UTIL Karl-Anthony Towns PG Kyrie Irving C Steven Adams PF Jayson Tatum G Elfrid Payton SG Dennis Schroder SF Terrence Ross F Josh Okogie,,Evan Fournier,SG,13.51%,30.25
22,1366445638,ThatStunna,0,318,UTIL Karl-Anthony Towns C Nikola Vucevic G Kemba Walker PF Derrick Favors SG Evan Fournier F Kelly Oubre Jr. PG Malik Beasley SF Josh Okogie,,Elfrid Payton,PG,11.71%,30.75
23,1366553638,scalvarado57,0,317.75,PF Anthony Davis UTIL Karl-Anthony Towns F Aaron Gordon C Derrick Favors G Dennis Schroder SG Evan Fournier SF Royce O'Neale PG Malik Monk,,Patty Mills,SG,11.71%,12
24,1367487316,moklovin,0,316,C Karl-Anthony Towns SF Paul George UTIL Kemba Walker PF Derrick Favors G Dennis Schroder SG Evan Fournier F Royce O'Neale PG Tyus Jones,,Buddy Hield,G,11.26%,32
25,1368252001,atnorac,0,315.25,C Karl-Anthony Towns UTIL Nikola Vucevic PF Julius Randle SG Buddy Hield F Derrick Favors G Dennis Schroder SF Royce O'Neale PG Tyus Jones,,Pau Gasol,UTIL,10.36%,9
26,1366730443,Makisupa,0,314.75,C Karl-Anthony Towns G Kemba Walker UTIL Rudy Gobert F Jeremy Lamb PF Derrick Favors PG Dennis Schroder SG Josh Okogie SF Royce O'Neale,,Josh Okogie,SF,9.91%,28.25
27,1366710112,dumdumm,0,311,PF Anthony Davis C Karl-Anthony Towns SF Buddy Hield G Elfrid Payton UTIL Malik Beasley SG Josh Okogie F Royce O'Neale PG Tyus Jones,,Willie Cauley-Stein,UTIL,9.91%,40.5
27,1366759292,bsteeves,0,311,UTIL Karl-Anthony Towns C Nikola Vucevic G Jrue Holiday F Buddy Hield PF Derrick Favors SG Josh Okogie SF Royce O'Neale PG Tyus Jones,,Taj Gibson,PF,9.91%,13
29,1366796020,petteytheft89,0,310.75,C Karl-Anthony Towns G Jeff Teague UTIL Buddy Hield PF Aaron Gordon F Lauri Markkanen SF Nicolas Batum PG Dennis Schroder SG Evan Fournier,,Malik Beasley,SG,9.46%,25.25
30,1368280463,drfunkk,0,310.5,C Karl-Anthony Towns PG Jrue Holiday SF Buddy Hield PF Al Horford UTIL Jeremy Lamb F Derrick Favors G Nicolas Batum SG Evan Fournier,,De'Anthony Melton,G,9.01%,29.75
31,1368173887,moneyteam111,0,309,C Karl-Anthony Towns PF Paul George UTIL Rudy Gobert SG Joe Ingles PG Malik Beasley G Monte Morris SF Royce O'Neale F Richaun Holmes,,Bryn Forbes,PG,8.11%,21
32,1368258263,Nealyo,0,307.25,PF Paul George PG Donovan Mitchell C Deandre Ayton F T.J. Warren UTIL Zach LaVine G Kelly Oubre Jr. SF Royce O'Neale SG Terrance Ferguson,,Tyus Jones,PG,7.66%,29.25
33,1365959834,Piknik,0,306.75,C Karl-Anthony Towns PG Donovan Mitchell G Jeff Teague SF Josh Jackson UTIL Jeremy Lamb PF Derrick Favors F Kelly Oubre Jr. SG Malik Beasley,,Guillermo Hernangómez,UTIL,7.66%,11
34,1367968318,Pweb,0,306.5,PF Anthony Davis PG Donovan Mitchell C Willie Cauley-Stein G Kris Dunn SG Torrey Craig SF Kelly Oubre Jr. F Royce O'Neale UTIL Davis Bertans,,Bismack Biyombo,UTIL,7.21%,27.5
35,1367561546,FootballNaut,0,306.25,PF Anthony Davis C Karl-Anthony Towns G Bogdan Bogdanovic UTIL Derrick Favors PG Dennis Schroder F Jae Crowder SG Josh Okogie SF Royce O'Neale,,Jrue Holiday,SG,7.21%,45.5
36,1366646975,brbloomy,0,305,C Nikola Vucevic PG Donovan Mitchell G Kris Dunn SG Zach LaVine F Joe Ingles PF Lauri Markkanen UTIL Kelly Oubre Jr. SF Royce O'Neale,,Nikola Jokic,C,6.76%,44.5
37,1367235847,ragingphilip,0,304,PG Russell Westbrook UTIL Karl-Anthony Towns G Kemba Walker F Nicolas Batum SG Dennis Schroder PF Richaun Holmes SF Marco Belinelli C Pau Gasol,,Nicolas Batum,SG,6.31%,37.5
37,1367263837,Stillmatic,0,304,PF Anthony Davis C Karl-Anthony Towns G Joe Ingles F Derrick Favors UTIL Nicolas Batum SG Dennis Schroder SF Royce O'Neale PG Malik Monk,,Paul George,PF,5.86%,43.25
39,1368222603,justamush,0,303.75,PF Anthony Davis C Karl-Anthony Towns F Lauri Markkanen SG Jeremy Lamb G De'Anthony Melton UTIL Bismack Biyombo SF Royce O'Neale PG Tyus Jones,,DeMar DeRozan,SF,5.86%,33.5
40,1367087130,totoroll33,0,303.5,C Karl-Anthony Towns PG Donovan Mitchell UTIL Willie Cauley-Stein SG Joe Ingles PF Josh Jackson F Jerami Grant SF Royce O'Neale G Patty Mills,,Derrick White,SG,5.86%,27.25
