Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1368276958,msteiny99 (1/2),0,369.25,PF Anthony Davis C Karl-Anthony Towns SF Aaron Gordon PG Dennis Schroder SG Evan Fournier G Kelly Oubre Jr. UTIL Terrence Ross F Royce O'Neale,,Royce O'Neale,UTIL,48.15%,33.25
2,1367704594,BigOilGeorge (2/3),0,361,C Karl-Anthony Towns G Donovan Mitchell SF DeMar DeRozan PF Al Horford PG Dennis Schroder SG Evan Fournier UTIL Kelly Oubre Jr. F Royce O'Neale,,Anthony Davis,PF,39.59%,53.5
3,1366279608,Bones1212,0,353.5,G Russell Westbrook C Karl-Anthony Towns PF Aaron Gordon UTIL Derrick Favors SG Dennis Schroder SF Kelly Oubre Jr. F Royce O'Neale PG Tyus Jones,,Donovan Mitchell,PG,30.96%,55.5
3,1367064076,leroythegr8 (2/3),0,353.5,G Russell Westbrook C Karl-Anthony Towns PF Aaron Gordon UTIL Derrick Favors SG Dennis Schroder SF Kelly Oubre Jr. F Royce O'Neale PG Tyus Jones,,Derrick Favors,F,27.00%,24.75
5,1368275613,jadiangi,0,353.25,G Russell Westbrook C Karl-Anthony Towns PF Aaron Gordon SG Dennis Schroder SF Evan Fournier F Kelly Oubre Jr. UTIL Bismack Biyombo PG Tyus Jones,,Joe Ingles,G,24.33%,26
6,1366482696,DavidZ,0,350.75,C Anthony Davis UTIL Karl-Anthony Towns SG Donovan Mitchell G Kelly Oubre Jr. SF Royce O'Neale PF Richaun Holmes PG Tyus Jones F Davis Bertans,,Karl-Anthony Towns,C,22.56%,78.75
7,1367467400,moneyminded26,0,348.5,C Karl-Anthony Towns UTIL Rudy Gobert F Buddy Hield SF Joe Ingles PF Al Horford PG Dennis Schroder SG Evan Fournier G Kelly Oubre Jr.,,Dennis Schroder,PG,22.53%,37.25
7,1367933148,Justtheillest (2/3),0,348.5,C Karl-Anthony Towns PG Kemba Walker G De'Aaron Fox PF Al Horford SG Dennis Schroder SF Evan Fournier F Kelly Oubre Jr. UTIL Malik Beasley,,Richaun Holmes,C,22.46%,24.25
9,1368166420,tonytohka (1/3),0,346,PG Russell Westbrook C Karl-Anthony Towns PF Aaron Gordon G Dennis Schroder SG Evan Fournier UTIL Kelly Oubre Jr. F Royce O'Neale SF Mikal Bridges,,Russell Westbrook,PG,21.30%,51
10,1368042072,B_Heals152,0,345.25,C Karl-Anthony Towns G DeMar DeRozan SG Jrue Holiday PF Julius Randle PG Dennis Schroder F Kelly Oubre Jr. UTIL Royce O'Neale SF Davis Bertans,,Jeff Teague,UTIL,19.61%,17.75
