,Unnamed: 0,model,lineupNum,team,player_name,concatNameTeam,NBA_Stats_ID,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,DDpts,DDreb,DDast,DDblk,DDstl,#ofDDig,DoubDoub,TripDoub,ActFP
3808,23,A_pydfs_1.00_Exp,3,OKC,Dennis Schroder,Dennis SchroderOKC,203471,Dennis Schroder,OKC,25,1,1,0,25,19,8,17,47.1,0,1,0.0,3,4,75.0,1,0,1,6,0,4,0,3,41.2,0,0,6,1,0,0,0,0,1,0,0,37.25
6283,31,A_pydfs_1.00_Exp,4,ORL,Nikola Vucevic,Nikola VucevicORL,202696,Nikola Vucevic,ORL,28,1,1,0,30,16,7,18,38.9,0,4,0.0,2,4,50.0,2,11,13,5,4,0,0,0,35.1,1,0,-21,1,1,0,0,0,2,0,0,37.75
813,24,A_pydfs_1.00_Exp,4,CHI,Zach LaVine,Zach LaVineCHI,203897,Zach LaVine,CHI,23,1,0,1,29,21,7,21,33.3,2,7,28.6,5,6,83.3,0,3,3,1,1,3,1,3,37.1,0,0,-6,1,0,0,0,0,1,0,0,34.75
4594,30,A_pydfs_1.00_Exp,4,NOP,Nikola Mirotic,Nikola MiroticNOP,202703,Nikola Mirotic,NOP,27,1,0,1,27,9,3,8,37.5,1,6,16.7,2,2,100.0,0,6,6,0,0,0,3,5,25.2,0,0,4,0,0,0,0,0,0,0,0,23.0
2473,27,A_pydfs_1.00_Exp,4,NOP,Anthony Davis,Anthony DavisNOP,203076,Anthony Davis,NOP,25,1,0,1,36,30,10,22,45.5,2,5,40.0,8,9,88.9,4,10,14,2,3,0,1,5,49.8,1,0,1,1,1,0,0,0,2,0,0,52.0
5819,26,A_pydfs_1.00_Exp,4,ORL,Evan Fournier,Evan FournierORL,203095,Evan Fournier,ORL,26,1,1,0,39,18,8,15,53.3,2,7,28.6,0,0,0.0,1,2,3,5,0,0,0,2,29.1,0,0,-3,1,0,0,0,0,1,0,0,30.25
3809,29,A_pydfs_1.00_Exp,4,OKC,Dennis Schroder,Dennis SchroderOKC,203471,Dennis Schroder,OKC,25,1,1,0,25,19,8,17,47.1,0,1,0.0,3,4,75.0,1,0,1,6,0,4,0,3,41.2,0,0,6,1,0,0,0,0,1,0,0,37.25
3268,28,A_pydfs_1.00_Exp,4,SAS,Pau Gasol,Pau GasolSAS,2200,Pau Gasol,SAS,38,1,0,1,14,2,1,3,33.3,0,1,0.0,0,0,0.0,0,6,6,0,1,0,0,2,8.2,0,0,-9,0,0,0,0,0,0,0,0,9.0
1646,25,A_pydfs_1.00_Exp,4,DEN,Will Barton,Will BartonDEN,203115,Will Barton,DEN,28,1,0,1,16,6,2,10,20.0,1,3,33.3,1,2,50.0,1,4,5,3,1,0,0,2,15.5,0,0,-16,0,0,0,0,0,0,0,0,16.75
2474,35,A_pydfs_1.00_Exp,5,NOP,Anthony Davis,Anthony DavisNOP,203076,Anthony Davis,NOP,25,1,0,1,36,30,10,22,45.5,2,5,40.0,8,9,88.9,4,10,14,2,3,0,1,5,49.8,1,0,1,1,1,0,0,0,2,0,0,52.0
3,32,A_pydfs_1.00_Exp,5,NOP,Jrue Holiday,Jrue HolidayNOP,201950,Jrue Holiday,NOP,28,1,0,1,40,25,12,22,54.5,0,4,0.0,1,1,100.0,2,4,6,7,3,0,2,1,45.7,0,0,-3,1,0,0,0,0,1,0,0,45.5
4595,36,A_pydfs_1.00_Exp,5,NOP,Nikola Mirotic,Nikola MiroticNOP,202703,Nikola Mirotic,NOP,27,1,0,1,27,9,3,8,37.5,1,6,16.7,2,2,100.0,0,6,6,0,0,0,3,5,25.2,0,0,4,0,0,0,0,0,0,0,0,23.0
814,33,A_pydfs_1.00_Exp,5,CHI,Zach LaVine,Zach LaVineCHI,203897,Zach LaVine,CHI,23,1,0,1,29,21,7,21,33.3,2,7,28.6,5,6,83.3,0,3,3,1,1,3,1,3,37.1,0,0,-6,1,0,0,0,0,1,0,0,34.75
1647,34,A_pydfs_1.00_Exp,5,DEN,Will Barton,Will BartonDEN,203115,Will Barton,DEN,28,1,0,1,16,6,2,10,20.0,1,3,33.3,1,2,50.0,1,4,5,3,1,0,0,2,15.5,0,0,-16,0,0,0,0,0,0,0,0,16.75
3810,37,A_pydfs_1.00_Exp,5,OKC,Dennis Schroder,Dennis SchroderOKC,203471,Dennis Schroder,OKC,25,1,1,0,25,19,8,17,47.1,0,1,0.0,3,4,75.0,1,0,1,6,0,4,0,3,41.2,0,0,6,1,0,0,0,0,1,0,0,37.25
6650,39,A_pydfs_1.00_Exp,5,NOP,E'Twaun Moore,E'Twaun MooreNOP,202734,E'Twaun Moore,NOP,29,1,0,1,31,2,1,6,16.7,0,3,0.0,0,0,0.0,0,3,3,2,2,2,0,0,12.6,0,0,-4,0,0,0,0,0,0,0,0,11.75
815,41,A_pydfs_1.00_Exp,6,CHI,Zach LaVine,Zach LaVineCHI,203897,Zach LaVine,CHI,23,1,0,1,29,21,7,21,33.3,2,7,28.6,5,6,83.3,0,3,3,1,1,3,1,3,37.1,0,0,-6,1,0,0,0,0,1,0,0,34.75
