Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1367444169,EmileHeskey,0,334,PF Anthony Davis C Karl-Anthony Towns G Joe Ingles F Derrick Favors PG Dennis Schroder SG Kelly Oubre Jr. SF Josh Okogie UTIL Royce O'Neale,,Royce O'Neale,SF,86.67%,33.25
2,1366430727,nyrblue,0,322.25,UTIL Russell Westbrook C Karl-Anthony Towns SF Aaron Gordon PF Derrick Favors G Dennis Schroder SG Bryn Forbes F Royce O'Neale PG Tyus Jones,,Derrick Favors,F,55.56%,24.75
2,1366806081,stevevhere,0,322.25,UTIL Russell Westbrook C Karl-Anthony Towns SF Aaron Gordon PF Derrick Favors G Dennis Schroder SG Bryn Forbes F Royce O'Neale PG Tyus Jones,,Karl-Anthony Towns,C,52.22%,78.75
2,1366854403,amraskin,0,322.25,UTIL Russell Westbrook C Karl-Anthony Towns SF Aaron Gordon PF Derrick Favors G Dennis Schroder SG Bryn Forbes F Royce O'Neale PG Tyus Jones,,Dennis Schroder,PG,51.11%,37.25
2,1366863429,jjbfarrell,0,322.25,UTIL Russell Westbrook C Karl-Anthony Towns SF Aaron Gordon PF Derrick Favors G Dennis Schroder SG Bryn Forbes F Royce O'Neale PG Tyus Jones,,Jeff Teague,G,50.00%,17.75
2,1367368473,baise085,0,322.25,UTIL Russell Westbrook C Karl-Anthony Towns SF Aaron Gordon PF Derrick Favors G Dennis Schroder SG Bryn Forbes F Royce O'Neale PG Tyus Jones,,Joe Ingles,UTIL,48.89%,26
7,1366338654,jonboy1171,0,320.25,C Karl-Anthony Towns G Kemba Walker UTIL Rudy Gobert F Joe Ingles PF Derrick Favors SG Dennis Schroder SF Royce O'Neale PG Tyus Jones,,Anthony Davis,PF,38.89%,53.5
7,1366475064,METALFEETDOOM,0,320.25,C Karl-Anthony Towns G Kemba Walker UTIL Rudy Gobert F Joe Ingles PF Derrick Favors SG Dennis Schroder SF Royce O'Neale PG Tyus Jones,,Donovan Mitchell,UTIL,30.00%,55.5
7,1366792851,bobapalooza,0,320.25,C Karl-Anthony Towns G Kemba Walker UTIL Rudy Gobert F Joe Ingles PF Derrick Favors SG Dennis Schroder SF Royce O'Neale PG Tyus Jones,,Andrew Wiggins,UTIL,30.00%,28.75
7,1366950527,curry_burrito,0,320.25,C Karl-Anthony Towns PG Donovan Mitchell UTIL Rudy Gobert F Joe Ingles PF Derrick Favors SG Dennis Schroder SF Royce O'Neale G Malik Monk,,Rudy Gobert,UTIL,22.22%,51.75
7,1367115052,Rynosaur87,0,320.25,C Karl-Anthony Towns G Kemba Walker UTIL Rudy Gobert F Joe Ingles PF Derrick Favors SG Dennis Schroder SF Royce O'Neale PG Tyus Jones,,Taj Gibson,PF,20.00%,13
12,1367376093,moklovin,0,316,C Karl-Anthony Towns SF Paul George UTIL Kemba Walker PF Derrick Favors G Dennis Schroder SG Evan Fournier F Royce O'Neale PG Tyus Jones,,Tyus Jones,PG,17.78%,29.25
13,1366322275,CZYX,0,314.75,C Karl-Anthony Towns UTIL Kemba Walker G De'Aaron Fox SF Josh Jackson PF Derrick Favors PG Dennis Schroder SG Malik Beasley F Royce O'Neale,,Jae Crowder,F,16.67%,18.75
13,1366730467,Makisupa,0,314.75,C Karl-Anthony Towns G Kemba Walker UTIL Rudy Gobert F Jeremy Lamb PF Derrick Favors PG Dennis Schroder SG Josh Okogie SF Royce O'Neale,,Russell Westbrook,G,15.56%,51
15,1366257175,and1jsheng,0,312.5,PF Anthony Davis C Karl-Anthony Towns G Joe Ingles UTIL Derrick Favors F Jae Crowder SG Kelly Oubre Jr. PG Malik Beasley SF Royce O'Neale,,Kemba Walker,UTIL,15.56%,39.25
16,1367247090,Stillmatic,0,304,PF Anthony Davis C Karl-Anthony Towns G Joe Ingles F Derrick Favors UTIL Nicolas Batum SG Dennis Schroder SF Royce O'Neale PG Malik Monk,,Bogdan Bogdanovic,G,15.56%,31.75
17,1366962256,ItsTylerJackson,0,303.5,PF Anthony Davis SG Donovan Mitchell UTIL Zach LaVine SF Joe Ingles C Derrick Favors PG De'Anthony Melton G Kelly Oubre Jr. F Marco Belinelli,,Josh Jackson,SF,14.44%,31
18,1367740911,jeramiah44,0,301,PG Russell Westbrook C Karl-Anthony Towns SF Aaron Gordon G De'Anthony Melton SG Dennis Schroder PF Taj Gibson UTIL Guillermo Hernangómez F Royce O'Neale,,Lauri Markkanen,PF,13.33%,30.25
19,1366844299,TallRedGourmet,0,297.75,PF Anthony Davis C Rudy Gobert UTIL Jeff Teague F Josh Jackson PG Dennis Schroder G Kelly Oubre Jr. SG Bryn Forbes SF Royce O'Neale,,Josh Okogie,SG,11.11%,28.25
20,1366334953,calcguy,0,294.25,C Karl-Anthony Towns PF Paul George UTIL Rudy Gobert SG Joe Ingles PG Malik Beasley G E'Twaun Moore SF Royce O'Neale F Richaun Holmes,,Malik Monk,G,11.11%,13
21,1366941737,bigcsmiley,0,294,C Anthony Davis SG Donovan Mitchell G Jeff Teague PF Josh Jackson UTIL De'Anthony Melton F Kelly Oubre Jr. PG Bryn Forbes SF Royce O'Neale,,Kelly Oubre Jr.,SG,10.00%,52.25
22,1366524266,npl77,0,293,C Karl-Anthony Towns PG Kemba Walker UTIL Julius Randle G Buddy Hield SG Dennis Schroder SF Jae Crowder PF Taj Gibson F Royce O'Neale,,Bryn Forbes,SG,10.00%,21
23,1366211970,ChipotleAddict,0,292.25,G Russell Westbrook C Karl-Anthony Towns UTIL Joe Ingles F Derrick Favors PG Dennis Schroder PF Taj Gibson SG Josh Okogie SF Royce O'Neale,,Richaun Holmes,F,8.89%,24.25
23,1366328686,shatoe,0,292.25,PF Anthony Davis UTIL Donovan Mitchell G Jeff Teague SG Joe Ingles C Derrick Favors F Kelly Oubre Jr. SF Royce O'Neale PG Tyus Jones,,Jeremy Lamb,F,8.89%,21.5
23,1367270550,Mangone,0,292.25,PG Russell Westbrook C Karl-Anthony Towns G Joe Ingles UTIL Derrick Favors SG Dennis Schroder PF Taj Gibson SF Josh Okogie F Royce O'Neale,,Elfrid Payton,PG,8.89%,30.75
23,1367469616,ssimplified,0,292.25,PF Anthony Davis UTIL Donovan Mitchell G Jeff Teague SG Joe Ingles C Derrick Favors F Kelly Oubre Jr. SF Royce O'Neale PG Tyus Jones,,LaMarcus Aldridge,PF,7.78%,34.75
27,1367610543,papagates,0,289.75,G Russell Westbrook C Karl-Anthony Towns UTIL Jeremy Lamb F Derrick Favors PG Dennis Schroder SG Evan Fournier PF Taj Gibson SF Royce O'Neale,,Aaron Gordon,SF,7.78%,47
28,1367304054,tj4ua,0,289.5,C Karl-Anthony Towns G Donovan Mitchell UTIL Jeff Teague F Joe Ingles PF Josh Jackson PG D.J. Augustin SG Dennis Schroder SF Royce O'Neale,,Marco Belinelli,G,6.67%,27
