Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1368129298,Nikkiraval,0,354.75,PF Anthony Davis C Karl-Anthony Towns G Donovan Mitchell F Kelly Oubre Jr. UTIL Malik Beasley SF Royce O'Neale PG Tyus Jones SG Marco Belinelli,,Royce O'Neale,SF,78.47%,33.25
2,1366989733,wounded_wigeon,0,354,C Karl-Anthony Towns SF Paul George UTIL Buddy Hield PF Aaron Gordon PG Dennis Schroder SG Evan Fournier G Kelly Oubre Jr. F Royce O'Neale,,Anthony Davis,C,52.75%,53.5
3,1367554743,SuperSystem2.0,0,353.5,G Russell Westbrook C Karl-Anthony Towns PF Aaron Gordon UTIL Derrick Favors SG Dennis Schroder SF Kelly Oubre Jr. F Royce O'Neale PG Tyus Jones,,Donovan Mitchell,SG,45.79%,55.5
3,1368157179,codarius,0,353.5,G Russell Westbrook C Karl-Anthony Towns PF Aaron Gordon UTIL Derrick Favors SG Dennis Schroder SF Kelly Oubre Jr. F Royce O'Neale PG Tyus Jones,,Derrick Favors,F,39.70%,24.75
5,1366298119,soultran4099,0,351.25,C Karl-Anthony Towns PG Donovan Mitchell UTIL De'Aaron Fox SF Joe Ingles PF Josh Jackson SG Kelly Oubre Jr. F Royce O'Neale G Tyus Jones,,Jeff Teague,G,36.98%,17.75
6,1367798826,MILE_HIGH21,0,350.5,PF Anthony Davis C Karl-Anthony Towns SG Donovan Mitchell UTIL Kelly Oubre Jr. G Bryn Forbes F Royce O'Neale PG Tyus Jones SF Marco Belinelli,,Joe Ingles,SF,36.11%,26
7,1367421132,DJV5490,0,345.25,C Karl-Anthony Towns G DeMar DeRozan SG Jrue Holiday PF Julius Randle PG Dennis Schroder F Kelly Oubre Jr. UTIL Royce O'Neale SF Davis Bertans,,Karl-Anthony Towns,C,31.70%,78.75
7,1368032947,B_Heals152,0,345.25,C Karl-Anthony Towns G DeMar DeRozan SG Jrue Holiday PF Julius Randle PG Dennis Schroder F Kelly Oubre Jr. UTIL Royce O'Neale SF Davis Bertans,,Dennis Schroder,SG,31.00%,37.25
9,1366487706,hackartist,0,342.5,UTIL Karl-Anthony Towns C Rudy Gobert PG Jrue Holiday SG Joe Ingles PF Derrick Favors F Evan Fournier G Kelly Oubre Jr. SF Royce O'Neale,,Richaun Holmes,PF,26.10%,24.25
9,1366645683,jburian,0,342.5,PF Anthony Davis SG Donovan Mitchell C Rudy Gobert UTIL De'Anthony Melton G Dennis Schroder F Kelly Oubre Jr. SF Royce O'Neale PG Tyus Jones,,Josh Jackson,SF,20.34%,31
11,1368164587,DShowers85,0,339,UTIL Karl-Anthony Towns C Nikola Vucevic PG Donovan Mitchell G De'Anthony Melton SG Dennis Schroder SF Kelly Oubre Jr. PF Taj Gibson F Royce O'Neale,,Jae Crowder,PF,19.30%,18.75
12,1368153787,landforce,0,338.75,UTIL Karl-Anthony Towns C Nikola Vucevic PG Donovan Mitchell SF Joe Ingles SG Dennis Schroder G Kelly Oubre Jr. F Royce O'Neale PF Jonathan Isaac,,Kelly Oubre Jr.,SG,17.89%,52.25
13,1368221925,bmosley21,0,338,C Karl-Anthony Towns F Buddy Hield SF Aaron Gordon SG Joe Ingles UTIL Josh Jackson PG Elfrid Payton PF Al Horford G Kelly Oubre Jr.,,Patty Mills,PG,16.53%,12
14,1366749258,El_Capitan,0,337.75,C Karl-Anthony Towns PG Kemba Walker G Buddy Hield SF Aaron Gordon PF Al Horford SG Dennis Schroder F Kelly Oubre Jr. UTIL Guillermo Hernangómez,,Rudy Gobert,C,16.42%,51.75
14,1367077393,Robo33UK,0,337.75,C Karl-Anthony Towns G Kemba Walker F Buddy Hield SF Aaron Gordon PF Al Horford PG Dennis Schroder SG Kelly Oubre Jr. UTIL Guillermo Hernangómez,,Andrew Wiggins,UTIL,16.31%,28.75
14,1367756670,DRYHEAVES,0,337.75,C Karl-Anthony Towns G Kemba Walker SF Buddy Hield F Aaron Gordon PF Al Horford PG Dennis Schroder SG Kelly Oubre Jr. UTIL Guillermo Hernangómez,,Tyus Jones,PG,12.45%,29.25
14,1368227685,bradyb9,0,337.75,C Karl-Anthony Towns G Kemba Walker SG Buddy Hield SF Aaron Gordon PF Al Horford PG Dennis Schroder F Kelly Oubre Jr. UTIL Guillermo Hernangómez,,Bryn Forbes,SG,12.13%,21
18,1367915587,bcorbetterp,0,337.5,PF Anthony Davis SG Donovan Mitchell C Rudy Gobert UTIL De'Anthony Melton PG Dennis Schroder G Kelly Oubre Jr. SF Royce O'Neale F Richaun Holmes,,Kemba Walker,G,11.53%,39.25
18,1368118880,bdeakins4,0,337.5,UTIL Russell Westbrook C Karl-Anthony Towns SF Josh Jackson PF Derrick Favors SG Dennis Schroder G Kelly Oubre Jr. F Royce O'Neale PG Tyus Jones,,Russell Westbrook,PG,11.26%,51
20,1368111693,Jmuel24,0,337,UTIL Anthony Davis C Karl-Anthony Towns SG Jrue Holiday G Dennis Schroder SF Kelly Oubre Jr. F Kyle Korver PF Richaun Holmes PG Devonte' Graham,,Taj Gibson,F,11.20%,13
21,1366475567,mkg809,0,336.75,PG Russell Westbrook C Karl-Anthony Towns PF Aaron Gordon SG Dennis Schroder SF Evan Fournier F Kelly Oubre Jr. UTIL Guillermo Hernangómez G Tyus Jones,,Buddy Hield,UTIL,10.93%,32
21,1366582619,tr1balman,0,336.75,PG Russell Westbrook C Karl-Anthony Towns PF Aaron Gordon SG Dennis Schroder SF Evan Fournier F Kelly Oubre Jr. UTIL Guillermo Hernangómez G Tyus Jones,,De'Anthony Melton,UTIL,10.01%,29.75
21,1366674377,AllyAngel44,0,336.75,G Russell Westbrook C Karl-Anthony Towns PF Aaron Gordon SG Dennis Schroder SF Evan Fournier F Kelly Oubre Jr. UTIL Guillermo Hernangómez PG Tyus Jones,,Willie Cauley-Stein,C,9.46%,40.5
21,1368160351,CJNIII,0,336.75,G Russell Westbrook C Karl-Anthony Towns PF Aaron Gordon SG Dennis Schroder SF Evan Fournier F Kelly Oubre Jr. UTIL Guillermo Hernangómez PG Tyus Jones,,LaMarcus Aldridge,C,9.08%,34.75
21,1368216752,rawv,0,336.75,G Russell Westbrook C Karl-Anthony Towns PF Aaron Gordon SG Dennis Schroder SF Evan Fournier F Kelly Oubre Jr. UTIL Guillermo Hernangómez PG Tyus Jones,,Paul George,SF,8.54%,43.25
21,1368239848,Haggard327,0,336.75,PG Russell Westbrook C Karl-Anthony Towns PF Aaron Gordon SG Dennis Schroder SF Evan Fournier F Kelly Oubre Jr. UTIL Guillermo Hernangómez G Tyus Jones,,Jeremy Lamb,F,8.48%,21.5
27,1368232772,mccc222,0,334.25,C Karl-Anthony Towns SG Donovan Mitchell PF Aaron Gordon PG Kris Dunn SF Josh Jackson G De'Anthony Melton UTIL Malik Beasley F Royce O'Neale,,Elfrid Payton,PG,7.94%,30.75
28,1366215882,EmileHeskey,0,334,PF Anthony Davis C Karl-Anthony Towns G Joe Ingles F Derrick Favors PG Dennis Schroder SG Kelly Oubre Jr. SF Josh Okogie UTIL Royce O'Neale,,Malik Monk,PG,7.78%,13
28,1367108931,bullride,0,334,PF Anthony Davis C Karl-Anthony Towns UTIL Joe Ingles PG Elfrid Payton SF Evan Fournier SG Kelly Oubre Jr. F Royce O'Neale G Tyus Jones,,Malik Beasley,PG,7.78%,25.25
28,1368234636,kevinrod99,0,334,C Karl-Anthony Towns SG Jrue Holiday PF Julius Randle G Jeff Teague UTIL Zach LaVine PG Dennis Schroder SF Kelly Oubre Jr. F Michael Kidd-Gilchrist,,Evan Fournier,G,7.40%,30.25
31,1366407112,jrb96c,0,332.5,C Karl-Anthony Towns UTIL Donovan Mitchell PF Julius Randle SF Josh Jackson PG Elfrid Payton SG Dennis Schroder G Malik Beasley F Royce O'Neale,,Bogdan Bogdanovic,G,7.40%,31.75
31,1366459596,Bbondsmvp,0,332.5,PF Anthony Davis C Karl-Anthony Towns G Kemba Walker SG Dennis Schroder F Kelly Oubre Jr. SF Royce O'Neale PG Tyus Jones UTIL Pau Gasol,,Nikola Vucevic,C,7.34%,39.25
33,1366495524,jonathansullivan2,0,331.5,PF Anthony Davis C Karl-Anthony Towns G Jeremy Lamb UTIL Derrick Favors PG Dennis Schroder SG Evan Fournier SF Kelly Oubre Jr. F Royce O'Neale,,Marco Belinelli,F,7.18%,27
