Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1368165137,djiz1010 (3/20),0,369.5,C Karl-Anthony Towns G Donovan Mitchell UTIL Rudy Gobert PF Josh Jackson PG De'Anthony Melton SG Dennis Schroder SF Kelly Oubre Jr. F Royce O'Neale,,Royce O'Neale,F,45.79%,33.25
2,1368207418,DoggedU (3/8),0,363,C Karl-Anthony Towns G Kemba Walker UTIL Rudy Gobert PF Al Horford PG Dennis Schroder SG Evan Fournier SF Kelly Oubre Jr. F Royce O'Neale,,Anthony Davis,C,33.62%,53.5
3,1368259985,tjj530 (5/5),0,362,C Karl-Anthony Towns G Donovan Mitchell PG Jeff Teague SF Aaron Gordon PF Al Horford SG Dennis Schroder UTIL Kelly Oubre Jr. F Royce O'Neale,,Derrick Favors,PF,29.58%,24.75
4,1368169851,Nikkiraval,0,354.75,PF Anthony Davis C Karl-Anthony Towns G Donovan Mitchell F Kelly Oubre Jr. UTIL Malik Beasley SF Royce O'Neale PG Tyus Jones SG Marco Belinelli,,Karl-Anthony Towns,UTIL,27.07%,78.75
5,1368282902,bigbombs,0,354,C Karl-Anthony Towns UTIL Paul George G Buddy Hield PF Aaron Gordon PG Dennis Schroder SG Evan Fournier F Kelly Oubre Jr. SF Royce O'Neale,,Donovan Mitchell,G,25.10%,55.5
6,1366436550,brandonortegaa (2/20),0,353.5,G Russell Westbrook C Karl-Anthony Towns SF Aaron Gordon PF Derrick Favors SG Dennis Schroder F Kelly Oubre Jr. UTIL Royce O'Neale PG Tyus Jones,,Dennis Schroder,SG,22.67%,37.25
6,1367478315,moklovin (14/20),0,353.5,G Russell Westbrook C Karl-Anthony Towns SF Aaron Gordon PF Derrick Favors SG Dennis Schroder F Kelly Oubre Jr. UTIL Royce O'Neale PG Tyus Jones,,Joe Ingles,UTIL,21.09%,26
8,1366728817,bric75 (11/20),0,352,UTIL Nikola Jokic C Karl-Anthony Towns SF Aaron Gordon F Josh Jackson PG Dennis Schroder G Kelly Oubre Jr. SG Terrence Ross PF Richaun Holmes,,Russell Westbrook,PG,20.43%,51
9,1367196984,snake42069 (4/20),0,351.75,C Karl-Anthony Towns SG Donovan Mitchell SF DeMar DeRozan PF Josh Jackson PG Dennis Schroder UTIL Evan Fournier G Kelly Oubre Jr. F Royce O'Neale,,Kelly Oubre Jr.,G,19.47%,52.25
10,1366646079,Hpotts (6/20),0,351.25,UTIL Karl-Anthony Towns SG Donovan Mitchell C Rudy Gobert PF Aaron Gordon PG Dennis Schroder G Evan Fournier SF Royce O'Neale F Harry Giles,,Richaun Holmes,F,18.06%,24.25
11,1366445853,brandonortegaa (4/20),0,350.75,C Karl-Anthony Towns UTIL Rudy Gobert PF Julius Randle G Buddy Hield F Derrick Favors PG Dennis Schroder SG Kelly Oubre Jr. SF Royce O'Neale,,Kemba Walker,PG,17.43%,39.25
12,1366472654,brandonortegaa (15/20),0,350.5,C Karl-Anthony Towns SG DeMar DeRozan UTIL Rudy Gobert SF Aaron Gordon PF Derrick Favors G Kelly Oubre Jr. F Royce O'Neale PG Tyus Jones,,Jae Crowder,SF,17.30%,18.75
12,1368170972,BaysideTigers (13/20),0,350.5,C Karl-Anthony Towns PG Donovan Mitchell SG Jamal Murray UTIL Deandre Ayton F Kelly Oubre Jr. G Malik Beasley SF Royce O'Neale PF Davis Bertans,,Jeff Teague,PG,16.69%,17.75
14,1366646077,Hpotts (4/20),0,350.25,UTIL Karl-Anthony Towns SG Donovan Mitchell C Rudy Gobert PF Aaron Gordon PG Dennis Schroder G Evan Fournier SF Royce O'Neale F Jonathan Isaac,,Buddy Hield,G,15.58%,32
15,1366505889,butter1989 (7/20),0,349.75,C Karl-Anthony Towns SG Jrue Holiday PF Julius Randle UTIL Lauri Markkanen G Bogdan Bogdanovic PG Dennis Schroder SF Kelly Oubre Jr. F Royce O'Neale,,Nikola Vucevic,C,14.95%,39.25
16,1366463127,brandonortegaa (9/20),0,348.5,G Russell Westbrook C Karl-Anthony Towns SF Aaron Gordon UTIL Derrick Favors PG Dennis Schroder SG Kelly Oubre Jr. F Royce O'Neale PF Richaun Holmes,,Josh Jackson,PF,14.49%,31
16,1366487682,hackartist (5/20),0,348.5,UTIL Karl-Anthony Towns C Rudy Gobert PF Aaron Gordon PG Zach LaVine SG Joe Ingles F Derrick Favors G Kelly Oubre Jr. SF Royce O'Neale,,Jeremy Lamb,G,13.31%,21.5
16,1366998337,vendetta281 (1/5),0,348.5,C Karl-Anthony Towns PG Donovan Mitchell SG Andrew Wiggins F Josh Jackson PF Al Horford UTIL Marvin Bagley III G Kelly Oubre Jr. SF Royce O'Neale,,Evan Fournier,SG,13.11%,30.25
