NBA_Stats_ID,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,DDpts,DDreb,DDast,DDblk,DDstl,#ofDDig,DoubDoub,TripDoub,ActFP,concatNameTeam
203082,Terrence Ross,ORL,27,1,1,0,31,25,8,20,40,5,14,35.7,4,4,100,0,4,4,2,1,1,0,2,34.8,0,0,11,1,0,0,0,0,1,0,0,37,Terrence RossORL
1627750,Jamal Murray,DEN,21,1,0,1,34,12,4,17,23.5,2,6,33.3,2,3,66.7,3,6,9,5,4,3,0,2,35.3,0,0,3,1,0,0,0,0,1,0,0,35.75,Jamal MurrayDEN
203493,Reggie Bullock,DET,27,1,1,0,35,17,6,14,42.9,5,10,50,0,0,0,2,5,7,4,1,1,0,3,33.4,0,0,13,1,0,0,0,0,1,0,0,35.75,Reggie BullockDET
200746,LaMarcus Aldridge,SAS,33,1,0,1,33,17,8,14,57.1,0,1,0,1,1,100,1,8,9,3,0,1,0,1,35.3,0,0,-16,1,0,0,0,0,1,0,0,34.75,LaMarcus AldridgeSAS
203897,Zach LaVine,CHI,23,1,0,1,29,21,7,21,33.3,2,7,28.6,5,6,83.3,0,3,3,1,1,3,1,3,37.1,0,0,-6,1,0,0,0,0,1,0,0,34.75,Zach LaVineCHI
201188,Marc Gasol,MEM,33,1,0,1,34,15,7,14,50,1,5,20,0,0,0,0,5,5,5,1,1,2,4,36.5,0,0,-17,1,0,0,0,0,1,0,0,34.75,Marc GasolMEM
1626220,Royce O'Neale,UTA,25,1,1,0,37,8,3,8,37.5,2,4,50,0,0,0,0,11,11,4,0,1,2,3,36.2,0,0,13,0,1,0,0,0,1,0,0,34.75,Royce O'NealeUTA
201568,Danilo Gallinari,LAC,30,1,0,1,38,23,6,15,40,3,9,33.3,8,8,100,0,6,6,2,5,1,0,3,31.2,0,0,-9,1,0,0,0,0,1,0,0,34.5,Danilo GallinariLAC
201942,DeMar DeRozan,SAS,29,1,0,1,35,18,7,19,36.8,0,0,0,4,6,66.7,2,4,6,4,4,1,1,2,33.2,0,0,-15,1,0,0,0,0,1,0,0,33.5,DeMar DeRozanSAS
203992,Bogdan Bogdanovic,SAC,26,1,1,0,29,22,9,17,52.9,4,7,57.1,0,0,0,1,5,6,2,4,0,0,1,28.2,0,0,3,1,0,0,0,0,1,0,0,32.5,Bogdan BogdanovicSAC
203500,Steven Adams,OKC,25,1,1,0,34,12,3,5,60,0,0,0,6,8,75,2,7,9,2,0,2,1,3,34.8,0,0,14,1,0,0,0,0,1,0,0,32.25,Steven AdamsOKC
1628991,Jaren Jackson Jr.,MEM,19,1,0,1,28,13,5,8,62.5,1,2,50,2,2,100,0,5,5,2,1,3,2,2,36,0,0,-9,1,0,0,0,0,1,0,0,32.25,Jaren Jackson Jr.MEM
202699,Tobias Harris,LAC,26,1,0,1,37,11,4,9,44.4,2,2,100,1,2,50,0,10,10,2,3,2,1,3,32,1,0,-17,1,1,0,0,0,2,0,0,32,Tobias HarrisLAC
1627741,Buddy Hield,SAC,26,1,1,0,30,21,8,21,38.1,5,12,41.7,0,0,0,2,2,4,3,2,0,0,1,28.3,0,0,9,1,0,0,0,0,1,0,0,32,Buddy HieldSAC
200794,Paul Millsap,DEN,33,1,0,1,32,10,4,12,33.3,0,1,0,2,5,40,4,7,11,2,2,2,1,1,33.2,1,0,10,1,1,0,0,0,2,0,0,31.75,Paul MillsapDEN
1628389,Bam Adebayo,MIA,21,1,1,0,38,11,3,6,50,0,0,0,5,7,71.4,4,6,10,2,3,2,1,1,32,1,0,18,1,1,0,0,0,2,0,0,31,Bam AdebayoMIA
1628367,Josh Jackson,PHX,21,1,1,0,31,15,6,18,33.3,1,7,14.3,2,2,100,2,2,4,5,2,1,1,3,31.3,0,0,-6,1,0,0,0,0,1,0,0,31,Josh JacksonPHX
203901,Elfrid Payton,NOP,24,1,0,1,27,10,3,6,50,2,2,100,2,2,100,1,2,3,6,2,3,1,1,32.6,0,0,7,1,0,0,0,0,1,0,0,30.75,Elfrid PaytonNOP
203095,Evan Fournier,ORL,26,1,1,0,39,18,8,15,53.3,2,7,28.6,0,0,0,1,2,3,5,0,0,0,2,29.1,0,0,-3,1,0,0,0,0,1,0,0,30.25,Evan FournierORL
202694,Marcus Morris,BOS,29,1,0,1,31,17,6,12,50,3,6,50,2,4,50,2,6,8,1,0,0,0,2,28.1,0,0,10,1,0,0,0,0,1,0,0,30,Marcus MorrisBOS
1629001,De'Anthony Melton,PHX,20,1,1,0,32,2,0,7,0,0,3,0,2,2,100,1,2,3,10,2,4,1,4,33.6,0,0,-6,0,0,1,0,0,1,0,0,29.75,De'Anthony MeltonPHX
101107,Marvin Williams,CHA,32,1,0,1,33,6,2,9,22.2,1,5,20,1,1,100,1,7,8,2,0,2,3,2,33.6,0,0,-7,0,0,0,0,0,0,0,0,29.5,Marvin WilliamsCHA
