Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG,Jerome Robinson (11924206),Jerome Robinson,11924206,SG/G/UTIL,3000,CHA@LAC 01/08/2019 10:30PM ET,LAC,4.32
SF/PF,Mike Scott (11924427),Mike Scott,11924427,SF/PF/F/UTIL,3000,CHA@LAC 01/08/2019 10:30PM ET,LAC,11.78
PF/C,Kristaps Porzingis (11924209),Kristaps Porzingis,11924209,PF/C/F/UTIL,3000,NY@GS 01/08/2019 10:30PM ET,NY,0
PF/C,Isaiah Hicks (11924213),Isaiah Hicks,11924213,PF/C/F/UTIL,3000,NY@GS 01/08/2019 10:30PM ET,NY,0
SF/PF,Lance Thomas (11924217),Lance Thomas,11924217,SF/PF/F/UTIL,3000,NY@GS 01/08/2019 10:30PM ET,NY,8.73
SG/SF,Damion Lee (11924221),Damion Lee,11924221,SG/SF/F/G/UTIL,3000,NY@GS 01/08/2019 10:30PM ET,GS,8.58
SF/PF,Alfonzo McKinnie (11924226),Alfonzo McKinnie,11924226,SF/PF/F/UTIL,3000,NY@GS 01/08/2019 10:30PM ET,GS,11.39
C,Damian Jones (11924230),Damian Jones,11924230,C/UTIL,3000,NY@GS 01/08/2019 10:30PM ET,GS,13.82
SG/SF,Jacob Evans III (11924232),Jacob Evans III,11924232,SG/SF/F/G/UTIL,3000,NY@GS 01/08/2019 10:30PM ET,GS,2.15
SF,Marcus Derrickson (11924237),Marcus Derrickson,11924237,SF/F/UTIL,3000,NY@GS 01/08/2019 10:30PM ET,GS,2.05
PF,Udonis Haslem (11924240),Udonis Haslem,11924240,PF/F/UTIL,3000,DEN@MIA 01/08/2019 07:30PM ET,MIA,3.08
PF,Yante Maten (11924243),Yante Maten,11924243,PF/F/UTIL,3000,DEN@MIA 01/08/2019 07:30PM ET,MIA,0
SG/SF,Duncan Robinson (11924246),Duncan Robinson,11924246,SG/SF/F/G/UTIL,3000,DEN@MIA 01/08/2019 07:30PM ET,MIA,3.81
C,Thomas Welsh (11924251),Thomas Welsh,11924251,C/UTIL,3000,DEN@MIA 01/08/2019 07:30PM ET,DEN,3.71
PG/SG,Brandon Goodwin (11924253),Brandon Goodwin,11924253,PG/SG/G/UTIL,3000,DEN@MIA 01/08/2019 07:30PM ET,DEN,5
PF,Tyler Lydon (11924257),Tyler Lydon,11924257,PF/F/UTIL,3000,DEN@MIA 01/08/2019 07:30PM ET,DEN,2.77
SF/PF,Michael Porter Jr. (11924260),Michael Porter Jr.,11924260,SF/PF/F/UTIL,3000,DEN@MIA 01/08/2019 07:30PM ET,DEN,0
SF/PF,Jarred Vanderbilt (11924264),Jarred Vanderbilt,11924264,SF/PF/F/UTIL,3000,DEN@MIA 01/08/2019 07:30PM ET,DEN,0
SG/SF,Malachi Richardson (11924268),Malachi Richardson,11924268,SG/SF/F/G/UTIL,3000,ATL@TOR 01/08/2019 07:30PM ET,TOR,2.49
PG,Lorenzo Brown (11924273),Lorenzo Brown,11924273,PG/G/UTIL,3000,ATL@TOR 01/08/2019 07:30PM ET,TOR,6.59
PG/SG,Jordan Loyd (11924276),Jordan Loyd,11924276,PG/SG/G/UTIL,3000,ATL@TOR 01/08/2019 07:30PM ET,TOR,6.75
PF/C,Omari Spellman (11924280),Omari Spellman,11924280,PF/C/F/UTIL,3000,ATL@TOR 01/08/2019 07:30PM ET,ATL,15.34
PG,Jaylen Adams (11924284),Jaylen Adams,11924284,PG/G/UTIL,3000,ATL@TOR 01/08/2019 07:30PM ET,ATL,2.53
C,Miles Plumlee (11924287),Miles Plumlee,11924287,C/UTIL,3000,ATL@TOR 01/08/2019 07:30PM ET,ATL,9.40
PG/SG,Deonte Burton (11924289),Deonte Burton,11924289,PG/SG/G/UTIL,3000,MIN@OKC 01/08/2019 08:00PM ET,OKC,6.07
SF/PF,Donte Grantham (11924293),Donte Grantham,11924293,SF/PF/F/UTIL,3000,MIN@OKC 01/08/2019 08:00PM ET,OKC,0
SG/SF,Timothe Luwawu-Cabarrot (11924297),Timothe Luwawu-Cabarrot,11924297,SG/SF/F/G/UTIL,3000,MIN@OKC 01/08/2019 08:00PM ET,OKC,4.01
SG/SF,Hamidou Diallo (11924302),Hamidou Diallo,11924302,SG/SF/F/G/UTIL,3000,MIN@OKC 01/08/2019 08:00PM ET,OKC,9.68
SG/SF,Andre Roberson (11924307),Andre Roberson,11924307,SG/SF/F/G/UTIL,3000,MIN@OKC 01/08/2019 08:00PM ET,OKC,0
PF/C,Patrick Patterson (11924312),Patrick Patterson,11924312,PF/C/F/UTIL,3000,MIN@OKC 01/08/2019 08:00PM ET,OKC,9.24
PG/SG,Raymond Felton (11924316),Raymond Felton,11924316,PG/SG/G/UTIL,3000,MIN@OKC 01/08/2019 08:00PM ET,OKC,10.28
SF/PF,Luol Deng (11924320),Luol Deng,11924320,SF/PF/F/UTIL,3000,MIN@OKC 01/08/2019 08:00PM ET,MIN,8.88
PG/SG,Jerryd Bayless (11924324),Jerryd Bayless,11924324,PG/SG/G/UTIL,3000,MIN@OKC 01/08/2019 08:00PM ET,MIN,6.38
SG/SF,C.J. Williams (11924328),C.J. Williams,11924328,SG/SF/F/G/UTIL,3000,MIN@OKC 01/08/2019 08:00PM ET,MIN,3.5
SF,Keita Bates-Diop (11924333),Keita Bates-Diop,11924333,SF/F/UTIL,3000,MIN@OKC 01/08/2019 08:00PM ET,MIN,4.88
PG,Jared Terrell (11924336),Jared Terrell,11924336,PG/G/UTIL,3000,MIN@OKC 01/08/2019 08:00PM ET,MIN,4.83
SG/SF,Ben McLemore (11924339),Ben McLemore,11924339,SG/SF/F/G/UTIL,3000,SAC@PHO 01/08/2019 09:00PM ET,SAC,5.77
PF/C,Kosta Koufos (11924344),Kosta Koufos,11924344,PF/C/F/UTIL,3000,SAC@PHO 01/08/2019 09:00PM ET,SAC,12.96
PF/C,Zach Randolph (11924348),Zach Randolph,11924348,PF/C/F/UTIL,3000,SAC@PHO 01/08/2019 09:00PM ET,SAC,0
SF/PF,Wenyen Gabriel (11924352),Wenyen Gabriel,11924352,SF/PF/F/UTIL,3000,SAC@PHO 01/08/2019 09:00PM ET,SAC,0
PF/C,Skal Labissiere (11924356),Skal Labissiere,11924356,PF/C/F/UTIL,3000,SAC@PHO 01/08/2019 09:00PM ET,SAC,6.72
PG/SG,Frank Mason III (11924360),Frank Mason III,11924360,PG/SG/G/UTIL,3000,SAC@PHO 01/08/2019 09:00PM ET,SAC,12.07
SF/PF,Troy Williams (11924364),Troy Williams,11924364,SF/PF/F/UTIL,3000,SAC@PHO 01/08/2019 09:00PM ET,SAC,12.54
PF/C,Dragan Bender (11924368),Dragan Bender,11924368,PF/C/F/UTIL,3000,SAC@PHO 01/08/2019 09:00PM ET,PHO,5.08
PG,Jawun Evans (11924372),Jawun Evans,11924372,PG/G/UTIL,3000,SAC@PHO 01/08/2019 09:00PM ET,PHO,7.62
SG/SF,George King (11924375),George King,11924375,SG/SF/F/G/UTIL,3000,SAC@PHO 01/08/2019 09:00PM ET,PHO,1.25
PF/C,Ryan Anderson (11924380),Ryan Anderson,11924380,PF/C/F/UTIL,3000,SAC@PHO 01/08/2019 09:00PM ET,PHO,9.55
SG,Troy Daniels (11924384),Troy Daniels,11924384,SG/G/UTIL,3000,SAC@PHO 01/08/2019 09:00PM ET,PHO,10.81
SG,Devin Robinson (11924387),Devin Robinson,11924387,SG/G/UTIL,3000,WAS@PHI 01/08/2019 07:00PM ET,WAS,12.5
PG/SG,Ron Baker (11924390),Ron Baker,11924390,PG/SG/G/UTIL,3000,WAS@PHI 01/08/2019 07:00PM ET,WAS,4.15
PG,John Wall (11924394),John Wall,11924394,PG/G/UTIL,3000,WAS@PHI 01/08/2019 07:00PM ET,WAS,42.58
PG/SG,Jordan McRae (11924397),Jordan McRae,11924397,PG/SG/G/UTIL,3000,WAS@PHI 01/08/2019 07:00PM ET,WAS,2.88
C,Justin Patton (11924401),Justin Patton,11924401,C/UTIL,3000,WAS@PHI 01/08/2019 07:00PM ET,PHI,0
PG/SG,Shake Milton (11924403),Shake Milton,11924403,PG/SG/G/UTIL,3000,WAS@PHI 01/08/2019 07:00PM ET,PHI,7.22
PG,Demetrius Jackson (11924407),Demetrius Jackson,11924407,PG/G/UTIL,3000,WAS@PHI 01/08/2019 07:00PM ET,PHI,6.29
PG/SG,Markelle Fultz (11924410),Markelle Fultz,11924410,PG/SG/G/UTIL,3000,WAS@PHI 01/08/2019 07:00PM ET,PHI,19.18
SG/SF,Zhaire Smith (11924414),Zhaire Smith,11924414,SG/SF/F/G/UTIL,3000,WAS@PHI 01/08/2019 07:00PM ET,PHI,0
PF/C,Amir Johnson (11924419),Amir Johnson,11924419,PF/C/F/UTIL,3000,WAS@PHI 01/08/2019 07:00PM ET,PHI,8.99
