Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1362876269,youdacao,0,308,G James Harden PF John Collins C Marc Gasol SF Khris Middleton PG Eric Bledsoe UTIL De'Anthony Melton F Evan Turner SG Furkan Korkmaz,,James Harden,SG,92.86%,70.75
2,1362843101,hoop2410,0,303.75,SG James Harden C Clint Capela PF John Collins G Jordan Clarkson F Josh Jackson PG De'Anthony Melton UTIL Raul Neto SF Kelly Oubre Jr.,,Raul Neto,G,71.43%,19.25
3,1362944167,moklovin,0,300.75,SG James Harden F John Collins PF Domantas Sabonis C Marc Gasol PG Austin Rivers G De'Anthony Melton UTIL Raul Neto SF Kelly Oubre Jr.,,Furkan Korkmaz,SF,50.00%,30.25
4,1362947448,MakeItRain84,0,298,SG James Harden C Rudy Gobert PF John Collins F Joe Ingles PG Jordan Clarkson G De'Anthony Melton UTIL Raul Neto SF Kelly Oubre Jr.,,John Collins,PF,50.00%,51.5
5,1362954142,petteytheft89,0,290.5,PG James Harden G Donovan Mitchell UTIL Marc Gasol PF Trevor Ariza SG Joe Ingles F Jaren Jackson Jr. SF Furkan Korkmaz C Jakob Poeltl,,De'Anthony Melton,PG,50.00%,23.75
6,1363260038,TeeJayOrTj,10.72,282.25,SG James Harden PG D'Angelo Russell PF John Collins F Kyle Kuzma G Austin Rivers UTIL Raul Neto SF Furkan Korkmaz C Jakob Poeltl,,Kelly Oubre Jr.,SF,50.00%,21.25
7,1362958586,golions85,0,281.25,G James Harden F DeMar DeRozan PF John Collins C Marc Gasol PG Raul Neto UTIL J.J. Barea SF Kelly Oubre Jr. SG Furkan Korkmaz,,Jakob Poeltl,C,35.71%,7.75
8,1363293526,tastefultides,10.72,273.25,SG James Harden C Andre Drummond PF John Collins F Josh Jackson G De'Anthony Melton PG Raul Neto UTIL J.J. Barea SF Kelly Oubre Jr.,,Marc Gasol,C,35.71%,54.5
9,1362976790,pianoclub,21.44,261.25,UTIL Andre Drummond PF Julius Randle SG Donovan Mitchell G Zach LaVine C Marc Gasol SF Cedi Osman PG De'Anthony Melton F Reggie Bullock,,Joe Ingles,F,28.57%,33
10,1363141961,thekingofqueens,0,258.25,UTIL James Harden SG D'Angelo Russell PF Domantas Sabonis C DeAndre Jordan G Austin Rivers PG Raul Neto F Kelly Oubre Jr. SF Furkan Korkmaz,,Andre Drummond,UTIL,21.43%,37.75
11,1362781665,Makisupa,10.72,247,SG James Harden UTIL Andre Drummond PG D'Angelo Russell F Joe Ingles PF Jae Crowder G Raul Neto SF Furkan Korkmaz C Jakob Poeltl,,D'Angelo Russell,PG,21.43%,33.75
12,1363162407,Awesemo,0,243.5,SG James Harden F LaMarcus Aldridge PF Domantas Sabonis UTIL Tristan Thompson SF Harrison Barnes G De'Anthony Melton PG Shabazz Napier C Jakob Poeltl,,Domantas Sabonis,PF,21.43%,35.75
13,1363315647,wilson1,10.72,238,SG James Harden PF Blake Griffin UTIL Donovan Mitchell F Joe Ingles G Raul Neto PG J.J. Barea SF Kelly Oubre Jr. C Jakob Poeltl,,Austin Rivers,PG,21.43%,24
14,1363259102,IamPGM,10.72,232.75,SG James Harden UTIL Blake Griffin F DeMar DeRozan PF Dewayne Dedmon PG Raul Neto G T.J. McConnell C Ed Davis SF Furkan Korkmaz,,Donovan Mitchell,G,21.43%,51.5
,,,,,,,J.J. Barea,UTIL,21.43%,12.5
,,,,,,,Jordan Clarkson,G,14.29%,41
,,,,,,,Josh Jackson,F,14.29%,36.5
,,,,,,,DeMar DeRozan,F,14.29%,21.25
,,,,,,,Blake Griffin,UTIL,14.29%,22
,,,,,,,Jae Crowder,PF,7.14%,14.5
,,,,,,,Clint Capela,C,7.14%,39.75
,,,,,,,Khris Middleton,SF,7.14%,31.75
,,,,,,,Eric Bledsoe,PG,7.14%,26.5
,,,,,,,Evan Turner,F,7.14%,19
,,,,,,,Rudy Gobert,C,7.14%,37.5
,,,,,,,Trevor Ariza,PF,7.14%,26.75
,,,,,,,Jaren Jackson Jr.,F,7.14%,16
,,,,,,,Julius Randle,PF,7.14%,36
,,,,,,,Zach LaVine,G,7.14%,24
,,,,,,,Cedi Osman,SF,7.14%,16
,,,,,,,Reggie Bullock,F,7.14%,17.75
,,,,,,,DeAndre Jordan,C,7.14%,23.25
,,,,,,,LaMarcus Aldridge,F,7.14%,24.75
,,,,,,,Tristan Thompson,UTIL,7.14%,25
,,,,,,,Harrison Barnes,SF,7.14%,30.5
,,,,,,,Shabazz Napier,PG,7.14%,25.25
,,,,,,,Dewayne Dedmon,PF,7.14%,25.5
,,,,,,,T.J. McConnell,G,7.14%,12.25
,,,,,,,Ed Davis,C,7.14%,31.5
,,,,,,,Kyle Kuzma,F,7.14%,45
