Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1363091326,oxenduck (2/3),0,337.5,SG James Harden PF Anthony Davis G Donovan Mitchell PG Raul Neto UTIL Evan Turner C Ed Davis SF Furkan Korkmaz F Richaun Holmes,,James Harden,PG,47.94%,70.75
1,1363394494,mfumai7 (1/2),0,337.5,SF Giannis Antetokounmpo UTIL Clint Capela SG Donovan Mitchell C John Collins G Jordan Clarkson PG De'Anthony Melton F Furkan Korkmaz PF Richaun Holmes,,Kelly Oubre Jr.,G,39.52%,21.25
3,1363221516,jimmyscat (3/3),0,336.25,SG James Harden UTIL Donovan Mitchell C John Collins PF Domantas Sabonis PG Malcolm Brogdon G Jeremy Lin F Richaun Holmes SF Kyle Korver,,De'Anthony Melton,PG,30.57%,23.75
4,1363057212,MackDeezy,10.82,334,SG James Harden PG Donovan Mitchell PF John Collins C Marc Gasol F Josh Jackson UTIL Reggie Bullock G Kelly Oubre Jr. SF Furkan Korkmaz,,D'Angelo Russell,SG,28.03%,33.75
5,1363057530,Dalestradamus,10.82,333,F Anthony Davis UTIL John Collins PF Domantas Sabonis C Marc Gasol PG Jordan Clarkson G Austin Rivers SF Reggie Bullock SG Furkan Korkmaz,,John Collins,PF,27.43%,51.5
6,1363449414,82288 (3/3),0,331.25,SG James Harden PF Anthony Davis C Marc Gasol G Jeremy Lin PG Shabazz Napier SF Evan Turner F Kelly Oubre Jr. UTIL Ed Davis,,Raul Neto,PG,27.22%,19.25
7,1363231449,choptalk10 (2/3),0,328.75,PG James Harden SG Donovan Mitchell PF Domantas Sabonis C Marc Gasol G Jordan Clarkson UTIL De'Anthony Melton SF Kelly Oubre Jr. F Furkan Korkmaz,,Domantas Sabonis,C,25.04%,35.75
8,1363718060,MelloMan14,0,327.75,C Anthony Davis PF Giannis Antetokounmpo UTIL Joe Harris PG Jordan Clarkson SF Josh Jackson G De'Anthony Melton F Rodions Kurucs SG Furkan Korkmaz,,Josh Jackson,SF,22.78%,36.5
9,1363439261,Badcompany13 (2/3),0,327.5,PG James Harden SG Donovan Mitchell PF John Collins C Marc Gasol F Bobby Portis G Austin Rivers SF Kelly Oubre Jr. UTIL Ed Davis,,Furkan Korkmaz,SG,21.90%,30.25
10,1363452754,teamgracebrady,0,327.25,PG James Harden PF Anthony Davis UTIL John Collins SG Terry Rozier G Shabazz Napier SF Rodions Kurucs F Darius Miller C Zach Collins,,Andre Drummond,UTIL,16.58%,37.75
11,1362803553,MikeMacCombie (1/3),10.82,326,F Anthony Davis C Rudy Gobert SG Donovan Mitchell PF John Collins UTIL Reggie Jackson G De'Anthony Melton PG Shabazz Napier SF Furkan Korkmaz,,Blake Griffin,F,15.48%,22
11,1363410764,dublinking (1/2),10.82,326,F Anthony Davis C Rudy Gobert SG Donovan Mitchell PF John Collins UTIL Reggie Jackson G De'Anthony Melton PG Shabazz Napier SF Furkan Korkmaz,,Giannis Antetokounmpo,SF,15.42%,62.75
13,1363549035,tdg913 (3/3),0,325.25,SG James Harden F Anthony Davis C Marc Gasol G Khris Middleton UTIL Ed Davis PG Matthew Dellavedova PF Chandler Hutchison SF Jared Dudley,,Donovan Mitchell,G,15.06%,51.5
14,1363566906,Frank.Rittemann (3/3),0,324.75,UTIL James Harden SG D'Angelo Russell PG Donovan Mitchell C Marc Gasol PF Josh Jackson G De'Anthony Melton SF Furkan Korkmaz F Kyle Korver,,Dewayne Dedmon,PF,14.94%,25.5
15,1363432283,HoosierSwag (2/2),0,324.5,SG James Harden G Donovan Mitchell F John Collins PF Domantas Sabonis UTIL Jordan Clarkson PG De'Anthony Melton SF Furkan Korkmaz C Ante Zizic,,Austin Rivers,G,12.72%,24
16,1362893211,kbranicki,0,324.25,SG James Harden C John Collins PF Domantas Sabonis UTIL Marc Gasol SF Josh Jackson PG De'Anthony Melton G Kelly Oubre Jr. F Furkan Korkmaz,,Jordan Clarkson,G,11.90%,41
16,1363039025,FlyntCoal,0,324.25,SG James Harden G Donovan Mitchell C Domantas Sabonis UTIL Marc Gasol PF Josh Jackson PG De'Anthony Melton F Kelly Oubre Jr. SF Furkan Korkmaz,,Evan Turner,UTIL,11.24%,19
16,1363067035,styntru2u (1/3),0,324.25,UTIL James Harden C Anthony Davis SG Jordan Clarkson PF Josh Jackson PG De'Anthony Melton G Gerald Green F Kelly Oubre Jr. SF Furkan Korkmaz,,DeAndre Jordan,UTIL,10.76%,23.25
16,1363081347,sdub4mayor,0,324.25,SG James Harden UTIL John Collins PF Domantas Sabonis C Marc Gasol SF Josh Jackson PG De'Anthony Melton G Kelly Oubre Jr. F Furkan Korkmaz,,Reggie Bullock,F,9.79%,17.75
16,1363482942,bkuip23,0,324.25,SG James Harden C John Collins PF Domantas Sabonis UTIL Marc Gasol SF Josh Jackson PG De'Anthony Melton F Kelly Oubre Jr. G Furkan Korkmaz,,Khris Middleton,SG,9.56%,31.75
21,1362978832,jtorture78 (3/3),10.82,324,SG James Harden UTIL Rudy Gobert PG Donovan Mitchell C Marc Gasol G Reggie Jackson PF P.J. Tucker F Evan Turner SF Furkan Korkmaz,,Shabazz Napier,SG,9.54%,25.25
22,1363171208,Modzter (2/3),10.82,323.5,PG James Harden SG Jrue Holiday PF John Collins C Marc Gasol UTIL Reggie Jackson G Austin Rivers SF Evan Turner F Richaun Holmes,,Zach LaVine,SG,9.47%,24
22,1362753666,rdriskell,0,323.5,G James Harden SG D'Angelo Russell PG Donovan Mitchell PF John Collins UTIL D.J. Augustin SF Rodions Kurucs F Kelly Oubre Jr. C Richaun Holmes,,Clint Capela,UTIL,9.17%,39.75
24,1362894577,woodduck86 (1/3),10.82,323,PF Anthony Davis SF Giannis Antetokounmpo UTIL Clint Capela PG Jeremy Lin G Reggie Bullock SG Shabazz Napier C Ed Davis F Richaun Holmes,,Joel Embiid,C,9.02%,62
25,1363335138,HIXINATOR (3/3),10.82,322.75,PF Anthony Davis PG Donovan Mitchell C John Collins F Domantas Sabonis UTIL Josh Jackson G Reggie Bullock SF Kelly Oubre Jr. SG Furkan Korkmaz,,Anthony Davis,PF,8.84%,78.25
26,1363566932,degenaMATT (1/3),0,322.5,C Joel Embiid G Donovan Mitchell F Jimmy Butler PF John Collins UTIL Jordan Clarkson PG De'Anthony Melton SG Jeremy Lin SF Kelly Oubre Jr.,,Tristan Thompson,UTIL,8.45%,25
27,1363681361,Holyroller73 (3/3),10.82,321.5,UTIL James Harden PG Donovan Mitchell PF John Collins C Marc Gasol G Austin Rivers F Reggie Bullock SF Kelly Oubre Jr. SG Furkan Korkmaz,,Bruce Brown Jr.,G,8.00%,8.25
28,1363678124,Corabeth82,0,321,PG James Harden C Joel Embiid SG Donovan Mitchell SF Joe Ingles G Kelly Oubre Jr. UTIL Jakob Poeltl F Richaun Holmes PF Zach Collins,,DeMarre Carroll,PF,7.56%,21.25
29,1363603413,moneyminded26,0,320.75,SF Giannis Antetokounmpo G Donovan Mitchell PF John Collins UTIL Marc Gasol C Tristan Thompson PG Austin Rivers F Kelly Oubre Jr. SG Furkan Korkmaz,,Reggie Jackson,UTIL,7.49%,28
30,1363585959,datkidrell72,10.82,320.5,PG James Harden PF Anthony Davis C Clint Capela SG Jeremy Lin G Evan Turner UTIL Ed Davis F Richaun Holmes SF Michael Beasley,,Marc Gasol,C,7.34%,54.5
30,1363229438,bricks4bucks21 (2/3),0,320.5,SG James Harden PF Giannis Antetokounmpo UTIL Jordan Clarkson SF Josh Jackson G Austin Rivers PG De'Anthony Melton C Ed Davis F Furkan Korkmaz,,Kyle Kuzma,F,6.98%,45
30,1363370183,mattshorb307 (1/3),0,320.5,SG James Harden F Anthony Davis PF Dewayne Dedmon G Jordan Clarkson UTIL Austin Rivers PG De'Anthony Melton SF Furkan Korkmaz C Ian Mahinmi,,Ben Simmons,SF,6.67%,41.5
30,1363663664,boogie389 (2/3),0,320.5,PF Giannis Antetokounmpo PG D'Angelo Russell SG Donovan Mitchell C John Collins UTIL D.J. Augustin SF Wesley Matthews G De'Anthony Melton F Richaun Holmes,,Jusuf Nurkic,C,6.66%,32
30,1363688403,JED1980,0,320.5,PG James Harden PF Anthony Davis G Khris Middleton SF P.J. Tucker SG Gerald Green UTIL Shabazz Napier F Rodions Kurucs C Richaun Holmes,,Joe Ingles,F,6.60%,33
35,1363605002,DCSniperHTTR (3/3),0,320.25,PF Anthony Davis SF Giannis Antetokounmpo C Domantas Sabonis UTIL D.J. Augustin G Raul Neto PG Jeremy Lin SG Kelly Oubre Jr. F Richaun Holmes,,Jeremy Lin,SG,6.45%,30.75
35,1363618979,nupe2006 (1/3),0,320.25,PG James Harden PF John Collins UTIL DeAndre Jordan C Marc Gasol SF Khris Middleton G Kelly Oubre Jr. SG Furkan Korkmaz F Richaun Holmes,,Rodions Kurucs,F,6.43%,22.5
37,1362584320,nkamstra15 (3/3),10.82,319.75,PG James Harden SG Donovan Mitchell PF Kyle Kuzma C Marc Gasol UTIL Alec Burks G Austin Rivers SF Kelly Oubre Jr. F Furkan Korkmaz,,DeAndre' Bembry,SF,6.29%,7.5
37,1363173881,nellybixby74 (1/2),0,319.75,SG James Harden G Donovan Mitchell PF Domantas Sabonis C Marc Gasol SF Josh Jackson PG Raul Neto UTIL Kelly Oubre Jr. F Furkan Korkmaz,,Cedi Osman,UTIL,6.27%,16
39,1363415671,botbstiger (2/3),0,319.5,PG James Harden C Joel Embiid F Otto Porter Jr. SG Malcolm Brogdon PF P.J. Tucker SF Kelly Oubre Jr. UTIL Ed Davis G Furkan Korkmaz,,Bobby Portis,C,6.16%,22.5
40,1363380604,jbeard54 (1/2),0,318.75,PG James Harden PF John Collins F Domantas Sabonis G Khris Middleton UTIL Josh Jackson SG Jeremy Lin C Ed Davis SF Furkan Korkmaz,,Jrue Holiday,G,5.66%,38.75
40,1363527915,Cobies,0,318.75,PG James Harden C Joel Embiid UTIL Jordan Clarkson PF Josh Jackson G D.J. Augustin SG Austin Rivers F Evan Turner SF Furkan Korkmaz,,T.J. McConnell,G,5.66%,12.25
42,1363103899,nickrambo,10.82,318.5,PF Anthony Davis C Joel Embiid SF Kyle Kuzma PG Jordan Clarkson SG Alec Burks UTIL Ed Davis F Darius Miller G Kyle Korver,,Rudy Gobert,C,5.64%,37.5
42,1363296292,Ezilodi (1/3),0,318.5,SG James Harden UTIL Donovan Mitchell PF Domantas Sabonis C Marc Gasol PG Austin Rivers F P.J. Tucker G Raul Neto SF Furkan Korkmaz,,Malcolm Brogdon,PG,5.36%,35.25
